RON,S.ZORB.PDT_3002.DACA,S.ZORB.PDT_3502.DACA,S.ZORB.TC_5005.PV,S.ZORB.LI_9102.DACA,S.ZORB.SIS_TE_2802,S.ZORB.FC_1203.PV,S.ZORB.TE_5202.PV,S.ZORB.PDT_3602.DACA,Raw_RON,S.ZORB.TC_1606.PV,S.ZORB.FT_3001.DACA,S.ZORB.PDT_1004.DACA,S.ZORB.AT.0010.DACA.PV,S.ZORB.TE_9301.PV,S.ZORB.LT_1301.DACA,S.ZORB.FT_5101.PV,S.ZORB.TE_1608.PV,S.ZORB.FT_5201.PV,S.ZORB.TE_2501.DACA,S.ZORB.AT_6201.DACA,S.ZORB.PC_2401.DACA,S.ZORB.FT_1003.PV,JT,S.ZORB.BS_AT_2402.PV,S.ZORB.FC_5001.DACA,S.ZORB.PT_6005.DACA,S.ZORB.TE_1601.PV,S.ZORB.FT_1006.DACA.PV,S.ZORB.LT_2901.DACA
86.09,8.1771,9.3469,126.8988,51.4172,266.3523,11.8249,34.9366,0.7654,87.5,410.989,99.1375,32.679,0.54,189.3527,0.6618,943.4647,448.9052,107.509,206.9457,-40.5874,1.4006,49.8601,1.813333333,0.1755,2100.69,-0.3031,364.7475,4731.173,3.381
88.09,11.6958,9.1422,127.2841,43.0187,281.7903,11.3172,36.2831,0.4092,89.4,411.0036,140.7783,32.7773,0.5542,182.4582,1.2622,1015.5025,447.9691,104.2635,219.5131,-40.3226,1.409,49.2975,1.733333333,0.1578,1895.2841,-0.2944,365.0766,4689.3636,0.467
87.79,10.6104,11.6613,127.3513,15.2071,287.4893,11.88,35.1889,0.617,89.1,411.1322,136.4335,32.792,0.5324,191.8654,-0.1332,965.3377,445.5908,108.1291,207.5958,-40.4663,0.726,50.5869,2.23,0.1615,1839.5867,-0.3243,365.8356,4586.9571,-0.0152
88.26,17.5246,9.8505,122.0284,70.5407,272.2436,11.8419,34.766,0.5895,89.5,410.9796,148.0211,31.866,0.5435,178.9637,5.6237,1163.426,436.7635,72.4769,223.9466,-40.5506,1.4628,49.6284,1.72,0.161,1184.5851,-0.4534,368.5307,5556.612948,38.7744
88.26,7.8906,10.0108,122.3722,63.6733,273.75,11.8987,35.4174,0.2534,89.7,410.942,112.8361,30.569,0.5378,179.6558,-0.2871,1135.1003,444.5049,76.1636,220.2253,-40.3223,1.4366,48.8226,1.88,0.1621,1063.2977,-0.2823,366.2966,5573.749674,37.5799
87.66,8.1661,9.7957,127.8824,66.1129,264.8993,11.6617,34.5275,0.6461,89.2,411.0326,109.5413,32.2204,0.5451,192.9075,0.0262,1051.7201,441.3459,104.1943,212.8141,-40.4372,1.5026,47.8386,1.79,0.1693,1790.2397,-0.2802,367.6558,39,36.7503
88.58,5.7455,9.718,125.2367,25.1417,280.2701,11.8555,34.9203,0.6838,89.8,409.9659,86.5385,32.3689,0.5372,183.6474,-0.451,877.3909,445.8147,103.6029,217.9522,-40.4827,1.3257,47.0191,1.92,0.1602,1664.6205,-0.2855,364.4046,3769.4958,35.0983
88.06,5.6703,11.8644,118.9947,53.4276,265.931,11.8677,33.2625,0.6917,89.6,410.0261,90.2457,33.7623,0.5386,192.0912,0.4107,970.3805,426.5461,97.0565,210.8682,-40.8849,0.8393,48.6039,1.88,0.1734,1510.5941,-0.5776,370.1226,39,32.749
88.1,5.6075,9.9101,117.4953,26.5267,273.1288,12.0087,34.8072,0.7475,89.5,410.9441,88.6848,33.0637,0.5388,187.9251,-0.0513,602.3281,445.0703,100.644,201.7504,-40.6854,1.3784,48.7292,1.74,0.1726,1321.2013,-0.3542,364.8435,5575.1993,24.791
88.5,6.0589,9.8086,123.5958,58.7721,284.5116,11.4054,34.9073,0.7438,89.7,410.9736,93.29,32.261,0.5444,182.5949,-0.4569,711.6584,451.0622,99.1591,200.7416,-40.3978,1.5831,46.5672,2.92,0.1631,1650.1163,-0.2878,363.3705,5426.3782,21.0682
88.3,15.2832,9.9958,123.013,57.1132,285.5479,11.3999,35.4742,0.5938,89.5,411.0175,76.797,33.444,0.5328,199.2893,0.1069,713.18,453.2269,95.9174,180.3862,-40.4247,1.6994,42.5325,2.52,0.1588,1707.5984,-0.2632,362.4002,5403.5872,17.1739
88.3,16.0188,12.024,119.7987,64.2867,284.9267,11.747,34.5891,0.6254,89.6,410.9312,73.1468,33.1438,0.5522,195.0073,-0.6724,724.7799,437.4073,64.0451,219.6407,-40.647,0.8061,44.1241,1.73,0.1645,1088.6923,-0.4144,367.8673,5601.2034,16.8685
88.8,13.6414,11.0028,119.8462,31.1533,296.0302,11.6245,36.773,0.4203,90,411.8451,67.9423,33.2971,0.5516,193.7645,-0.5498,644.3644,452.93,76.4627,206.2147,-40.5865,0.996,42.8738,2.08,0.168,1316.2522,-0.2813,362.1021,5689.771,10.9702
89.1,14.6756,10.0487,118.5026,46.6897,282.1978,12.004,34.9648,0.5697,90.2,412.0668,72.0148,32.1364,0.5411,215.8354,-0.485,532.7799,453.6434,89.0849,188.0227,-40.4463,1.6402,45.507,1.84,0.1662,674.963,-0.3093,360.5769,5630.8673,7.0315
88.6,14.0923,9.5974,118.6617,40.8934,273.3318,12.0464,34.9012,0.6932,89.6,411.995,78.4433,30.0483,0.5392,213.948,2.8093,431.64,450.7038,104.7657,180.7194,-40.4713,1.5918,46.1872,1.98,0.1626,846.6957,-0.4129,360.0588,5715.6217,1.7368
88.42,10.3,9.9331,117.4872,32.0495,268.8507,12.2726,34.7304,0.6397,89.6,412.5793,60.166,31.8005,0.5202,217.426,0.1837,445.7189,453.5759,69.65,183.6702,-40.466,1.6701,46.8621,3.45,0.1622,1018.7153,-0.4152,361.1544,6299.4043,-0.0116
88.7,15.1034,10.1999,119.4129,66.1053,268.109,11.4408,34.1564,0.5884,90.1,412.6245,84.4371,31.919,0.5291,194.2055,0.183,589.8618,448.7593,102.7694,185.1724,-40.3948,1.5871,47.4615,1.67,0.1606,1536.4835,-0.4303,362.4778,5175.7821,-0.0105
89,11.8427,10.3279,118.6655,67.7521,273.7683,12.3165,33.6995,0.3031,90.2,411.8998,65.8254,30.7966,0.5526,219.8768,-0.029,508.2456,450.1158,113.914,189.7623,-40.6147,1.6341,48.039,3.13,0.1638,1276.116,-0.303,361.6141,5570.5475,-0.0072
88.9,11.946,10.4659,122.1561,46.7481,276.9918,11.7659,37.5488,0.4033,90.1,412.0332,60.4763,30.0266,0.5383,213.1529,-0.7201,571.8775,450.7366,120.4931,202.0527,-40.3978,1.6054,47.6839,2.78,0.1684,521.3735,-0.3094,362.9184,5615.3356,-0.0034
88.6,11.884,10.8598,119.749,39.0864,267.5168,12.3169,37.2687,0.5651,89.8,412.0225,66.886,30.9571,0.5476,203.5035,5.2783,448.0092,449.715,101.2109,189.3654,-41.1859,1.6375,47.1855,3.2,0.1719,1026.0148,-0.3357,362.8848,5566.8206,-0.011
88.2,15.2845,11.0016,122.1864,23.1933,272.5778,12.9089,36.207,0.4383,89.6,411.97,81.404,30.6889,0.5441,198.6117,-0.5048,742.3875,450.7937,111.2424,187.5643,-40.5416,1.5708,46.9517,2.53,0.1733,1233.9155,-0.3102,363.5377,5324.3292,-0.0076
88.3,15.4925,11.6756,119.989,28.2869,279.0293,12.9621,36.5488,0.3864,89.4,412.0881,81.0699,29.5231,0.5482,186.8901,-0.6166,600.147,456.4919,81.9687,192.2177,-40.6071,1.6375,47.6437,1.64,0.1697,967.339,-0.2585,361.838,5269.947,-0.0099
87.45,15.4299,13.8936,119.2001,36.829,274.6749,12.7838,35.9915,0.5314,88.7,411.9921,81.769,29.1773,0.5451,193.469,7.3849,452.9703,445.9721,109.1533,196.279,-40.7704,1.1353,47.5062,1.57,0.1687,1310.3649,-0.2329,363.5697,10090.8725,-0.0058
87.65,15.4725,14.0148,126.4123,62.4925,271.221,12.894,34.5701,0.5214,89.4,411.9919,81.0583,22.9663,0.5485,194.5063,-0.1745,477.0532,427.9813,109.2629,189.6676,-40.5397,1.2067,47.1155,1.78,0.17,1479.7604,-0.41,365.5435,10082.8536,-0.0041
88.02,16.4865,14.1275,124.013,40.8924,280.4243,12.6966,35.6727,0.4521,89.2,412.0359,86.4191,26.8277,0.5346,207.4932,-0.504,549.0304,430.1219,107.5904,193.8916,-40.4849,1.3034,48.9906,2.45,0.1686,1317.6124,-0.4151,365.8311,6038.7931,-0.006
88.02,17.2096,14.4354,128.9427,69.881,269.5131,12.6001,34.7867,0.6376,89.7,412.0761,91.4997,26.6185,0.5556,211.6751,1.092,586.7748,434.9316,111.66,181.0187,-40.6119,1.2797,50.7142,2.55,0.1742,1742.1338,-0.361,364.0332,6337.1394,42.246
87.22,17.7441,14.2085,128.9149,61.1256,276.6194,10.9656,35.9412,0.449,89,412.1147,92.5802,27.7057,0.5509,231.0963,4.9934,678.9923,433.7005,107.7937,188.1607,-40.502,1.2962,51.8026,2.68,0.1662,1753.1457,-0.3606,364.4969,6280.3462,41.4472
87.52,17.6047,14.438,128.6679,77.0814,276.4957,11.3503,35.7524,0.4061,89.1,412.0902,91.9841,26.134,0.5415,218.8761,-0.6097,561.0838,432.0726,113.1751,190.9696,-40.5011,1.1593,52.2127,1.71,0.1685,1591.7108,-0.3683,365.2396,6344.189,38.8325
87.22,14.5178,10.9175,128.7724,20.6464,270.0015,10.6068,36.3033,0.3339,88.8,412.0568,79.0311,30.116,0.5492,214.8981,6.4929,665.1696,448.8854,113.6815,186.854,-40.3425,1.5069,48.5118,1.64,0.1694,1795.7922,-0.3867,362.8968,6247.4563,37.5932
87.22,11.1319,11.4266,127.4614,45.3955,269.2308,10.9669,34.8543,0.3825,88.3,411.9743,59.3921,30.2647,0.5472,202.582,0.4257,564.2631,449.9343,123.0484,182.0723,-40.5966,1.5749,48.9631,2.77,0.1701,1775.7252,-0.3716,360.7688,6328.5237,37.3299
87.42,12.3737,12.9417,127.0207,20.9835,282.3321,10.4161,37.1633,0.3559,88.7,411.9905,63.9576,31.2585,0.5455,216.9835,-0.6107,746.9797,459.8501,133.6753,176.7058,-40.4896,1.6803,51.0104,2.1,0.1749,1810.3138,-0.319,360.437,6320.893,36.9304
87.72,12.0756,11.8998,129.0418,59.1078,267.5132,10.7175,35.0445,0.414,89,411.4887,66.7138,31.284,0.5246,205.437,-0.4728,693.3148,449.7746,133.936,152.3418,-40.3829,1.4614,49.5422,3.52,0.175,2236.9414,-0.3881,363.3976,6391.7368,36.5278
87.12,12.3074,13.4865,127.7567,65.8541,275.5647,10.8803,37.1281,0.4356,88.5,412.1067,63.3591,30.8405,0.5453,201.4968,-1.2165,669.4615,454.7072,134.1902,168.6173,-40.4721,1.5474,50.0137,5.553333333,0.1762,2041.3053,-0.3381,362.2351,6353.102,36.5288
86.42,12.1706,12.9144,126.9838,54.1512,272.5717,10.764,36.7492,0.3293,88,411.9557,64.2501,30.3638,0.5354,214.5532,0.7514,588.6595,452.615,146.3534,175.3671,-40.5373,1.6412,51.9559,2.52,0.1721,1993.6598,-0.3679,362.4449,6341.0332,36.0995
86.92,12.4588,12.8296,125.9504,53.8125,268.7912,7.308,36.8798,0.3525,88.7,409.9944,74.0987,37.9711,0.5355,212.1117,-1.2629,826.3085,459.3257,59.5542,179.9452,-40.562,1.6194,53.8622,2.66,0.1727,3375.4712,-0.3152,358.668,6355.1421,35.6839
88.82,16.535,13.483,127.9287,67.8058,277.9106,10.6245,36.7897,0.4593,90.6,412.932,103.7719,31.0312,0.5393,211.887,-0.6478,712.5972,453.6483,130.6563,175.9839,-40.4549,1.6376,46.357,2.87,0.176,2187.6414,-0.3456,363.6376,6724.2106,35.3505
89.32,12.4266,12.3825,127.995,69.4501,281.2027,10.6647,37.162,0.2898,90.8,410.9727,78.1076,30.5996,0.5356,210.748,0.0657,684.2711,456.604,132.4063,167.1731,-40.9844,1.7717,44.5169,2.86,0.1769,2238.6459,-0.2118,360.9808,6785.4186,34.7923
87.9,11.0977,16.7344,128.0047,24.0962,269.6779,12.4294,37.1446,0.379,89.3,412.9101,66.6568,22.5697,0.5398,195.5437,-1.2677,490.6509,422.4448,87.8457,190.4867,-40.4374,0.9671,73,3.13,0.1782,1779.8986,-0.4006,364.0378,5041.4311,26.7747
87,10.9597,14.4269,127.9354,59.9183,275.3892,12.0731,36.3029,0.2977,88.3,413.0216,63.5194,25.2569,0.5389,195.8796,-0.721,559.4803,437.46,87.8445,197.9038,-40.5015,0.6202,73,2.76,0.1795,1860.3745,-0.3923,364.2689,5162.7118,23.5565
87,12.5707,16.8909,127.9854,39.9975,286.7292,11.8746,37.0849,0.2845,88.4,412.9766,77.6931,24.8942,0.5455,205.6821,-1.2759,939.3095,432.8499,86.6836,218.1145,-40.4975,1.0848,73,2.52,0.182,2333.528,-0.489,365.9744,5200.9614,22.0537
86.9,9.9522,13.3903,126.9516,68.9909,272.6007,11.3913,36.6247,0.244,88.7,412.9538,60.9373,29.836,0.5418,210.4638,-1.2673,653.9009,450.5298,87.4027,196.5263,-40.4139,1.6496,73,2.53,0.1792,2079.4228,-0.3272,366.0343,5274.3382,21.4306
88.62,12.1491,12.2648,128.5749,37.8497,275.1007,11.8057,35.882,0.2612,90.1,413.0642,78.0989,27.9346,0.5478,200.8398,-1.0163,716.7338,448.8701,130.0072,197.8256,-40.4155,1.4891,48.8412,2.4,0.1807,1934.2686,-0.376,366.4373,6085.3911,18.6524
88.72,10.3807,11.9728,128.4416,52.3965,286.6865,12.5162,37.5878,0.2825,90.1,412.9805,54.2959,27.0532,0.5531,194.6817,-1.2732,725.5136,452.1401,130.4305,203.2238,-40.5769,1.5421,51.1199,2.03,0.1822,1632.1622,-0.3215,365.471,6253.7843,18.1118
88.22,12.5684,12.2394,128.2373,84.1572,285.6792,12.5512,37.6203,0.4153,89.9,411.9224,78.3105,28.3103,0.5439,193.9084,-1.2664,630.8194,448.4902,127.0595,210.5976,-40.4074,1.5147,51.8315,2.02,0.1819,1712.2275,-0.3502,365.2051,6209.4436,17.0658
87.92,12.7939,12.6064,128.5757,51.377,282.6068,12.6549,37.0864,0.3052,89.1,411.9423,81.8017,26.9449,0.5434,192.5208,-1.2733,576.4619,448.8515,127.8874,202.6156,-40.3752,1.5544,46.7028,2.61,0.1822,1749.7563,-0.3163,364.9656,6223.526,15.7985
87.02,12.0998,12.8082,128.5823,64.8786,277.6832,12.137,37.0746,0.2612,88,411.9741,73.5373,26.6768,0.555,193.3557,-1.2742,704.501,454.6362,127.864,194.4696,-40.6439,1.5497,46.9218,1.96,0.1877,1904.9267,-0.2543,364.8305,6226.3645,14.6779
87.12,12.7647,12.8676,128.4865,33.9949,275.5189,12.0901,37.1291,0.3556,88.7,412.0391,78.5592,26.4717,0.5455,193.9399,-1.2785,704.2689,451.2072,129.2369,198.0813,-40.677,1.5646,48.5239,2.41,0.1893,1772.8075,-0.2857,365.3843,6246.7784,13.6612
87.72,15.4267,12.2306,126.7428,81.8488,284.6047,12.1882,36.6128,0.3424,89.3,412.0151,106.5204,28.8812,0.5465,191.0364,-1.2753,605.1618,454.6717,128.1171,191.0263,-40.6724,1.3314,55.1585,2.11,0.1855,1651.4147,-0.2395,363.9399,6389.4313,8.9557
85.82,12.6284,11.9431,126.765,71.2052,281.5904,12.1905,36.0078,0.2369,87.6,407.4618,93.6335,26.548,0.5448,193.9381,-1.2773,537.8288,440.6328,131.9042,206.1894,-40.6027,1.5329,52.3614,1.8,0.1838,1626.0091,-0.4075,361.9604,6398.0067,5.8869
85.72,13.8932,12.4106,127.2006,42.1541,271.888,11.7059,35.9498,0.2414,86.9,410.4184,104.5597,22.4521,0.5402,195.1273,-1.2694,619.6558,446.8034,142.0298,189.8395,-40.6174,1.5078,50.0544,2.12,0.1848,1764.1259,-0.331,364.1792,6303.5283,4.6089
85.72,10.2823,12.3009,126.2641,28.5321,266.9551,8.3891,35.6926,0.2122,87.2,408.3578,71.1197,29.867,0.5471,198.3203,-1.272,760.9293,448.406,55.6873,200.4885,-40.4123,1.5483,51.4535,1.84,0.1872,2771.2359,-0.3279,362.2575,6249.0524,2.2578
89.62,6.4792,11.7619,129.7102,27.7557,285.58,12.1139,36.984,0.3519,90.6,407.7742,33.0504,23.7271,0.5445,194.8102,-0.5764,773.533,450.2106,127.996,193.5438,-40.568,1.5711,48.3261,2.02,0.182,2197.1063,-0.3194,358.5506,6267.6362,-0.0028
