ChemicalName,ChemicalID,DiseaseName,DiseaseID
1-(1-methanesulfonylpiperidin-4-yl)-3-(4-trifluoromethoxyphenyl)urea,C561619,Cardiomegaly,MESH:D006332
1-(1-methanesulfonylpiperidin-4-yl)-3-(4-trifluoromethoxyphenyl)urea,C561619,Seizures,MESH:D012640
"1-(1-methylethyl)-4-((1-(6-(trifluoromethyl)-3-pyridinyl)-4-piperidinyl)carbonyl)hexahydro-1H-1,4-diazepine",C519817,Amnesia,MESH:D000647
"1-(1-methylethyl)-4-((1-(6-(trifluoromethyl)-3-pyridinyl)-4-piperidinyl)carbonyl)hexahydro-1H-1,4-diazepine",C519817,Hyperalgesia,MESH:D006930
1-(1-naphthyl)piperazine,C048241,Feeding and Eating Disorders,MESH:D001068
1-(2-(1-adamantyl)ethyl)-1-pentyl-3-(3-(4-pyridyl)propyl)urea,C530925,"Arthritis, Experimental",MESH:D001169
1-(2-(1-adamantyl)ethyl)-1-pentyl-3-(3-(4-pyridyl)propyl)urea,C530925,"Encephalomyelitis, Autoimmune, Experimental",MESH:D004681
1-(2-((1-ethoxycarbonyloxyethoxycarbonylmethyl)carbamoyl)-3-phenylpropyldisulfanylmethyl)-3-methylsulfanylpropylamine,C534222,Hyperalgesia,MESH:D006930
1-(2-(2-thienyl)-2-adamantyl) morpholine,C508955,Seizures,MESH:D012640
"1,2,3,4,8,9,10,10a-octahydro-7bH-cyclopenta(b)(1,4)diazepino(6,7,1hj)indole",C501656,Hyperkinesis,MESH:D006948
1-(2-(3-(4-methoxyphenyl)propoxy)-4-methoxyphenylethyl)-1H-imidazole,C063159,Hyperalgesia,MESH:D006930
"1,2,3,4-tetrahydroisoquinoline",C014843,Substance Withdrawal Syndrome,MESH:D013375
12-(3-adamantan-1-ylureido)dodecanoic acid,C504897,Brain Infarction,MESH:D020520
12-(3-adamantan-1-ylureido)dodecanoic acid,C504897,Hyperplasia,MESH:D006965
12-(3-adamantan-1-ylureido)dodecanoic acid,C504897,Hypertension,MESH:D006973
12-(3-adamantan-1-ylureido)dodecanoic acid,C504897,Pulmonary Edema,MESH:D011654
12-(3-adamantan-1-ylureido)dodecanoic acid,C504897,Pulmonary Fibrosis,MESH:D011658
12-(3-adamantan-1-ylureido)dodecanoic acid,C504897,Weight Loss,MESH:D015431
"1-(2,3-dichlorobenzoyl)-5-methoxy-2-methyl-(2-(mopholin-4-yl)ethyl)-1H-indole",C463040,Hyperalgesia,MESH:D006930
"1-(2,3-dichlorobenzoyl)-5-methoxy-2-methyl-(2-(mopholin-4-yl)ethyl)-1H-indole",C463040,Pancreatic Neoplasms,MESH:D010190
"1-(2,3-dihydro-1,4-benzodioxin-5-yl)-4-((5-(4-fluorophenyl)-3-pyridinyl)methyl)piperazine",C504317,Catalepsy,MESH:D002375
"1,2,4-triazole",C045575,Chemical and Drug Induced Liver Injury,MESH:D056486
"1,2,4-triazolo(1,5-c)pyrimidine",C494034,Catalepsy,MESH:D002375
"1,25-dihydroxy-16-ene-vitamin D3",C087630,"Encephalomyelitis, Autoimmune, Experimental",MESH:D004681
"1,25-dihydroxy-24-oxo-16-ene-vitamin D3",C090785,"Encephalomyelitis, Autoimmune, Experimental",MESH:D004681
"1,25-dihydroxyergocalciferol",C003564,Postoperative Complications,MESH:D011183
"1,25-dihydroxyvitamin D",C097949,Kidney Diseases,MESH:D007674
"1,25-dihydroxyvitamin D",C097949,Proteinuria,MESH:D011507
"1,25-dihydroxyvitamin D",C097949,Rickets,MESH:D012279
12-acetoxyhawtriwaic acid lactone,C513234,Dermatitis,MESH:D003872
12-acetoxyhawtriwaic acid lactone,C513234,Edema,MESH:D004487
12-acetoxyhawtriwaic acid lactone,C513234,"Hypersensitivity, Delayed",MESH:D006968
12-acetoxyhawtriwaic acid lactone,C513234,Inflammation,MESH:D007249
12-acetoxyhawtriwaic acid lactone,C513234,Neurogenic Inflammation,MESH:D020078
"1-(2-amino-2-carboxyethyl)-3-(2-carboxybenzyl)pyrimidine-2,4-dione",C509618,Status Epilepticus,MESH:D013226
1-(2-amino-3-methyl-butyryl)-azetidine-2-carbonitrile,C503634,Hyperkinesis,MESH:D006948
"1,2-bis(2-aminophenoxy)ethane N,N,N',N'-tetraacetic acid acetoxymethyl ester",C070379,Drug-Related Side Effects and Adverse Reactions,MESH:D064420
"1,2-bis(2-aminophenoxy)ethane N,N,N',N'-tetraacetic acid acetoxymethyl ester",C070379,"Mercury Poisoning, Nervous System",MESH:D020262
"1,2-bis(2-aminophenoxy)ethane N,N,N',N'-tetraacetic acid acetoxymethyl ester",C070379,Necrosis,MESH:D009336
"1,2-bis(2-aminophenoxy)ethane N,N,N',N'-tetraacetic acid acetoxymethyl ester",C070379,Ventricular Fibrillation,MESH:D014693
(1-(2-(bis(4-fluorophenyl)methoxy)ethyl)-4-(3-hydroxy-3-phenylpropyl) piperazinyl decanoate),C461261,Amphetamine-Related Disorders,MESH:D019969
(1-(2-(bis(4-fluorophenyl)methoxy)ethyl)-4-(3-hydroxy-3-phenylpropyl) piperazinyl decanoate),C461261,Essential Tremor,MESH:D020329
"1,2-bis(methylsulfonyl)-1--(2-chloroethyl)-2-((1-(4-nitrophenyl)ethoxy)carbonyl)hydrazine",C118156,Breast Neoplasms,MESH:D001943
"1,2-bis(methylsulfonyl)-1--(2-chloroethyl)-2-((1-(4-nitrophenyl)ethoxy)carbonyl)hydrazine",C118156,Carcinoma,MESH:D002277
1-(2-bromophenyl)-3-(7-cyano-3H-benzotriazol-4-yl)urea,C549500,Hypertension,MESH:D006973
1-(2-bromophenyl)-3-(7-cyano-3H-benzotriazol-4-yl)urea,C549500,Vascular Remodeling,MESH:D066253
"1-(2-chlorobenzyl)-5'-phenyl-3'H-spiro(indoline-3,2'-(1,3,4)thiadiazol)-2-one",C569107,Neoplasm Invasiveness,MESH:D009361
1-(2-chloroethyl)-1-nitrosourea,C017139,Glioblastoma,MESH:D005909
1-(2-chloroethyl)-1-nitrosourea,C017139,Melanoma,MESH:D008545
"1-(2-cyano-3,12-dioxooleana-1,9-dien-28-oyl) imidazole",C472829,Chemical and Drug Induced Liver Injury,MESH:D056486
"1-(2-cyano-3,12-dioxooleana-1,9-dien-28-oyl) imidazole",C472829,"Liver Neoplasms, Experimental",MESH:D008114
"1-(2-cyano-3,12-dioxooleana-1,9-dien-28-oyl) imidazole",C472829,Multiple Myeloma,MESH:D009101
"1-(2-cyano-3,12-dioxooleana-1,9-dien-28-oyl) imidazole",C472829,Neoplasms,MESH:D009369
"1-(2-deoxy-beta-L-erythropentafuranosyl)-5-methyl-2,4(1H)-pyrimidinone",C487780,Hepatitis B,MESH:D006509
"1,2-dichloroethylene",C035384,"Micronuclei, Chromosome-Defective",MESH:D048629
"1,2-Dihydroxybenzene-3,5-Disulfonic Acid Disodium Salt",D014013,Necrosis,MESH:D009336
"1,2-Dihydroxybenzene-3,5-Disulfonic Acid Disodium Salt",D014013,Pulmonary Fibrosis,MESH:D011658
"1-((2-dimethylamino)ethylamino)-4-(2-(3-hydroxymethylpiperidin-1-yl)ethylamino)-5,8-dihydroxyanthracene-9,10-dione",C505980,Ovarian Neoplasms,MESH:D010051
"1,2-Dipalmitoylphosphatidylcholine",D015060,Kidney Diseases,MESH:D007674
"1,2-Dipalmitoylphosphatidylcholine",D015060,Pain,MESH:D010146
"1,2-Dipalmitoylphosphatidylcholine",D015060,"Reflex, Abnormal",MESH:D012021
"1-(2-fluorophenyl)-3-(2-(morpholin-2-yl)ethyl)-1,3-dihydro-2,1,3-benzothiadiazole 2,2-dioxide",C568514,Pain,MESH:D010146
1-(2-hydroxy-1-phenylethyl)-3-(4-(pyridin-4-yl)phenyl)urea,C552258,"Arthritis, Experimental",MESH:D001169
1-(2-hydroxy-1-phenylethyl)-3-(4-(pyridin-4-yl)phenyl)urea,C552258,Diabetic Neuropathies,MESH:D003929
"1,2-linoleoylphosphatidylcholine",C002448,Learning Disabilities,MESH:D007859
"1,2-linoleoylphosphatidylcholine",C002448,Memory Disorders,MESH:D008569
1-(2-methoxyphenyl)-4-(4-(2-phthalimido)butyl)piperazine,C058895,Amnesia,MESH:D000647
1-(2-methoxyphenyl)-4-(4-(2-phthalimido)butyl)piperazine,C058895,Hyperkinesis,MESH:D006948
"1-(2-methoxy-phenyl)-4-(4-(4-(6-imidazol(2,1-b) thiazolyl)-phenoxy)-butyl-4-(14)C)-piperazine dimethane",C427703,Amnesia,MESH:D000647
"1-(2-methoxy-phenyl)-4-(4-(4-(6-imidazol(2,1-b) thiazolyl)-phenoxy)-butyl-4-(14)C)-piperazine dimethane",C427703,Learning Disabilities,MESH:D007859
"1-(2-methylbenzoxazol-6-yl)-3-(1,5)naphthyridin-4-yl urea",C420062,Amphetamine-Related Disorders,MESH:D019969
"1-(2-methylbenzoxazol-6-yl)-3-(1,5)naphthyridin-4-yl urea",C420062,Binge-Eating Disorder,MESH:D056912
"1-(2-methylbenzoxazol-6-yl)-3-(1,5)naphthyridin-4-yl urea",C420062,Cocaine-Related Disorders,MESH:D019970
"1-(2-methylbenzoxazol-6-yl)-3-(1,5)naphthyridin-4-yl urea",C420062,"Dyskinesia, Drug-Induced",MESH:D004409
"1-(2-methylbenzoxazol-6-yl)-3-(1,5)naphthyridin-4-yl urea",C420062,Fatty Liver,MESH:D005234
"1-(2-methylbenzoxazol-6-yl)-3-(1,5)naphthyridin-4-yl urea",C420062,Hepatomegaly,MESH:D006529
"1-(2-methylbenzoxazol-6-yl)-3-(1,5)naphthyridin-4-yl urea",C420062,Hyperphagia,MESH:D006963
"1-(2-methylbenzoxazol-6-yl)-3-(1,5)naphthyridin-4-yl urea",C420062,Obesity,MESH:D009765
"1-(2-methylbenzoxazol-6-yl)-3-(1,5)naphthyridin-4-yl urea",C420062,Substance Withdrawal Syndrome,MESH:D013375
1-(2-phenethyl)-4-(2-pyridyl)piperazine,C519696,Seizures,MESH:D012640
1-(2-trifluoromethylphenyl)imidazole,C098186,Seizures,MESH:D012640
1-(2-trifluoromethylphenyl)imidazole,C098186,Status Epilepticus,MESH:D013226
1-(2-(tris(4-methoxyphenyl)methoxy)ethyl)-3-piperidinecarboxylic acid,C092337,Sleep Wake Disorders,MESH:D012893
130-nm albumin-bound paclitaxel,C520255,Breast Neoplasms,MESH:D001943
"13,17,21-trimethyldocosa-12,16,20-trien-11-one",C509503,Macular Degeneration,MESH:D008268
1-(3-(2-(1-benzothiophen-5-yl) ethoxy) propyl)-3-azetidinol maleate,C503102,Alzheimer Disease,MESH:D000544
1-(3-(2-(1-benzothiophen-5-yl) ethoxy) propyl)-3-azetidinol maleate,C503102,Nervous System Diseases,MESH:D009422
1-(3-(2-(1-benzothiophen-5-yl) ethoxy) propyl)-3-azetidinol maleate,C503102,Parkinson Disease,MESH:D010300
"1-(3-(4-(3-chlorophenyl)-1-piperazinyl)propyl)-3,4-dihydro-5-methoxy-2(1H)-quinolinone",C404207,Learning Disabilities,MESH:D007859
"1-(3-(4-(3-chlorophenyl)-1-piperazinyl)propyl)-3,4-dihydro-5-methoxy-2(1H)-quinolinone",C404207,Memory Disorders,MESH:D008569
"1-(3',4',5'-trimethoxyphenyl)-3-(3'',4''-dimethoxy-2'-hydroxyphenyl)propane",C552420,"Carcinoma, Hepatocellular",MESH:D006528
"1-(3,4-dichlorophenyl)-3-azabicyclo-(3.1.0)hexane hydrochloride",C474071,Depressive Disorder,MESH:D003866
"1-(3,4-dichlorophenyl)-3-azabicyclo-(3.1.0)hexane hydrochloride",C474071,"Disease Models, Animal",MESH:D004195
"1-(3,4-dihydro-6,7-dimethoxy-2(1H)-isoquinolinyl)-3,3-dimethyl-2-((4-pyridinylmethyl)amino)-1-butanone",C572065,Hypothermia,MESH:D007035
"1-(3,4-dihydroxyphenyl)-3-(2-methoxyphenyl)prop-2-en-1-one",C000603962,Reperfusion Injury,MESH:D015427
"1-(3,4-dihydroxyphenyl)-3-(2-methoxyphenyl)prop-2-en-1-one",C000603962,Retinal Diseases,MESH:D012164
"1-(3,4-dihydroxyphenyl)-3-(2-methoxyphenyl)prop-2-en-1-one",C000603962,Sepsis,MESH:D018805
"1,3,5,6-tetrahydroxyxanthone",C528657,Stomach Ulcer,MESH:D013276
"1,3-benzenediamidoethanethiol",C473336,Mercury Poisoning,MESH:D008630
"1,3-benzothiazol-2-yl(2-((2-(3-pyridinyl)ethyl)amino)-4-pyrimidinyl)acetonitrile",C489138,"Leukemia, Monocytic, Acute",MESH:D007948
"1-((3-benzyl-3-methyl-2,3-dihydro-1-benzofuran-6-yl)carbonyl)piperidine",C534147,Hyperalgesia,MESH:D006930
"1,3-bis(4-hydroxyphenyl)-4-methyl-5-(4-(2-piperidinylethoxy)phenol)-1H-pyrazole",C524478,Disorders of Sex Development,MESH:D012734
"1,3-butylene glycol",C028491,Brain Edema,MESH:D001929
"1,3-butylene glycol",C028491,Brain Ischemia,MESH:D002545
"1,3-butylene glycol",C028491,Chemical and Drug Induced Liver Injury,MESH:D056486
"1,3-butylene glycol",C028491,"Diabetes Mellitus, Experimental",MESH:D003921
"1,3-butylene glycol",C028491,Dog Diseases,MESH:D004283
"1,3-butylene glycol",C028491,"Hypoxia, Brain",MESH:D002534
"1,3-butylene glycol",C028491,"Ischemic Attack, Transient",MESH:D002546
"1,3-butylene glycol",C028491,Nerve Degeneration,MESH:D009410
"1,3-butylene glycol",C028491,Poisoning,MESH:D011041
1-(3-chlorophenyl)biguanide,C065734,Hypertension,MESH:D006973
1-(3-chlorophenyl)piperazine,C015068,Alzheimer Disease,MESH:D000544
1-(3-chlorophenyl)piperazine,C015068,Cocaine-Related Disorders,MESH:D019970
1-(3-chlorophenyl)piperazine,C015068,Feeding and Eating Disorders,MESH:D001068
1-(3-chlorophenyl)piperazine,C015068,Hyperkinesis,MESH:D006948
"1,3-diacetoxytetradeca-6,12-dien-8,10-diyne",C579534,Edema,MESH:D004487
"1,3-dimethylthiourea",C038983,Acute Kidney Injury,MESH:D058186
"1,3-dimethylthiourea",C038983,Albuminuria,MESH:D000419
"1,3-dimethylthiourea",C038983,"Glomerulosclerosis, Focal Segmental",MESH:D005923
"1,3-dimethylthiourea",C038983,Kidney Diseases,MESH:D007674
"1,3-dimethylthiourea",C038983,"Liver Cirrhosis, Experimental",MESH:D008106
"1,3-dimethylthiourea",C038983,"Micronuclei, Chromosome-Defective",MESH:D048629
"1,3-dimethylthiourea",C038983,Necrosis,MESH:D009336
"1,3-dimethylthiourea",C038983,Proteinuria,MESH:D011507
"1,3-dipropyl-8-cyclopentylxanthine",C051360,Basal Ganglia Diseases,MESH:D001480
"1,3-dipropyl-8-cyclopentylxanthine",C051360,Chemical and Drug Induced Liver Injury,MESH:D056486
"1,3-dipropyl-8-cyclopentylxanthine",C051360,Drug-Related Side Effects and Adverse Reactions,MESH:D064420
"1,3-dipropyl-8-cyclopentylxanthine",C051360,Extravasation of Diagnostic and Therapeutic Materials,MESH:D005119
"1,3-dipropyl-8-cyclopentylxanthine",C051360,Hypotension,MESH:D007022
"1,3-dipropyl-8-cyclopentylxanthine",C051360,Ventricular Dysfunction,MESH:D018754
13-hydroxylupanine-2-pyrrolecarbonic acid,C013362,"Arrhythmias, Cardiac",MESH:D001145
13-hydroxylupanine-2-pyrrolecarbonic acid,C013362,Drug-Related Side Effects and Adverse Reactions,MESH:D064420
13-hydroxylupanine-2-pyrrolecarbonic acid,C013362,Ventricular Fibrillation,MESH:D014693
1-(3-trifluoromethylphenyl)piperazine,C018406,Seizures,MESH:D012640
"1-(4-(1,1-dimethylheptyl)-2,6-dimethoxyphenyl)-3-methylcyclohexanol",C531961,Extravasation of Diagnostic and Therapeutic Materials,MESH:D005119
"1-(4-((2-(2-aminopyrimidin-5-yl)-7-methyl-4-morpholinothieno(3,2-d)pyrimidin-6-yl)methyl)piperazin-1-yl)-2-hydroxypropan-1-one",C569670,"Carcinoma, Non-Small-Cell Lung",MESH:D002289
"1-(4-((2-(2-aminopyrimidin-5-yl)-7-methyl-4-morpholinothieno(3,2-d)pyrimidin-6-yl)methyl)piperazin-1-yl)-2-hydroxypropan-1-one",C569670,Neoplasms,MESH:D009369
1-(4-(2-(bis(4-fluorophenyl)methoxy)ethyl)piperazinyl)-3-phenylpropan-2-ol,C452424,Cocaine-Related Disorders,MESH:D019970
1-((4-(aminocarbonyl)pyridinio)trimethylene)-2-((hydroxyimino)methyl)pyridinium,C531547,Poisoning,MESH:D011041
1-(4-(benzothiazol-2-yloxy)benzyl)piperidine-4-carboxylic acid,C521339,Edema,MESH:D004487
1-(4-(benzothiazol-2-yloxy)benzyl)piperidine-4-carboxylic acid,C521339,Inflammation,MESH:D007249
1-(4-(benzothiazol-2-yloxy)benzyl)piperidine-4-carboxylic acid,C521339,Peritonitis,MESH:D010538
"14-benzyloxy-4,5-epoxy-3-hydroxy-17-methylmorphinan-6-one",C500851,Nociceptive Pain,MESH:D059226
"1,4-bis(2-(3,5-dichloropyridyloxy))benzene",C028474,Chemical and Drug Induced Liver Injury,MESH:D056486
"1,4-bis(2-(3,5-dichloropyridyloxy))benzene",C028474,"Cholestasis, Intrahepatic",MESH:D002780
"1,4-bis(2-(3,5-dichloropyridyloxy))benzene",C028474,Glucose Intolerance,MESH:D018149
"1,4-bis(2-(3,5-dichloropyridyloxy))benzene",C028474,Paralysis,MESH:D010243
1-(4-carbamoylpyridinium)-4-(4-hydroxyiminomethylpyridinium)but-2-ene,C524716,Organophosphate Poisoning,MESH:D062025
1-(4-chlorobenzoyl)-5-methoxy-2-1H-indole-3-acetic acid 3-(nitrooxymethyl)phenyl ester,C420084,Colonic Neoplasms,MESH:D003110
1-(4-chlorobenzoyl)-5-methoxy-2-1H-indole-3-acetic acid 3-(nitrooxymethyl)phenyl ester,C420084,Necrosis,MESH:D009336
"1-(4-chlorophenyl)-4-piperidin-1-yl-1,5-dihydroimidazol-2-one",C504151,Epilepsy,MESH:D004827
"1,4-cyclohexanediol",C064620,Skin Diseases,MESH:D012871
14-dehydroxy-3-glucodigitoxigenin,C048858,Heart Failure,MESH:D006333
1-(4'-hydroxy-2'-butenoxy)methyl-2-nitroimidazole,C047778,Breast Neoplasms,MESH:D001943
1-(4'-hydroxy-2'-butenoxy)methyl-2-nitroimidazole,C047778,"Carcinoma, Squamous Cell",MESH:D002294
14-hydroxydocosahexaenoic acid,C059528,Acute Lung Injury,MESH:D055371
14-hydroxydocosahexaenoic acid,C059528,Pneumonia,MESH:D011014
1-(4-hydroxyiminomethylpyridinium)-3-(carbamoylpyridinium) propane dibromide,C481758,Poisoning,MESH:D011041
14-methoxymetopon,C081949,Nociceptive Pain,MESH:D059226
14-methyl-8-oxacyclorphan,C050133,Catalepsy,MESH:D002375
14-methyl-8-oxacyclorphan,C050133,Muscle Rigidity,MESH:D009127
1-((4-methylsulfonyl)phenyl)-3-trifluoromethyl-5-(4-fluorophenyl)pyrazole,C090859,Hyperalgesia,MESH:D006930
"1,4-naphthoquinone",C035342,Inflammation,MESH:D007249
1-(4-nitro-2-(trifluoromethyl)phenyl)-4-(3-(trifluoromethyl)phenyl)piperazine,C562246,Prostatic Hyperplasia,MESH:D011470
14-O-methyloxymorphone,C547349,Nociceptive Pain,MESH:D059226
"1,4-phenylenebis(methylene)selenocyanate",C074153,Adenocarcinoma,MESH:D000230
"1,4-phenylenebis(methylene)selenocyanate",C074153,Colonic Neoplasms,MESH:D003110
"1,4-phenylenebis(methylene)selenocyanate",C074153,Intestinal Neoplasms,MESH:D007414
"1,4-phenylenebis(methylene)selenocyanate",C074153,"Mammary Neoplasms, Experimental",MESH:D008325
"1,4-phenylenebis(methylene)selenocyanate",C074153,Neoplasms,MESH:D009369
"1,4-phenylenebis(methylene)selenocyanate, glutathione conjugate",C477941,Adenocarcinoma,MESH:D000230
"1,4-phenylenebis(methylene)selenocyanate, glutathione conjugate",C477941,"Mammary Neoplasms, Experimental",MESH:D008325
"1,5-anhydrofructose",C048927,Pneumonia,MESH:D011014
1-(5-bromofur-2-il)-2-bromo-2-nitroethene,C106444,Bacterial Infections and Mycoses,MESH:D001423
1-((5-chloro-1H-indol-2-yl)carbonyl)-4-methylpiperazine,C484309,Nerve Degeneration,MESH:D009410
1-((5-chloro-1H-indol-2-yl)carbonyl)-4-methylpiperazine,C484309,Pruritus,MESH:D011537
15-crown-5,C042148,Myocardial Ischemia,MESH:D017202
"15-deoxy-delta(12,14)-prostaglandin J2",C097240,"Encephalomyelitis, Autoimmune, Experimental",MESH:D004681
"15-deoxy-delta(12,14)-prostaglandin J2",C097240,Extravasation of Diagnostic and Therapeutic Materials,MESH:D005119
"15-deoxy-delta(12,14)-prostaglandin J2",C097240,Inflammation,MESH:D007249
"15-deoxy-delta(12,14)-prostaglandin J2",C097240,"Leukemia, Lymphocytic, Chronic, B-Cell",MESH:D015451
"15-deoxy-delta(12,14)-prostaglandin J2",C097240,"Leukemia, Myeloid, Acute",MESH:D015470
"15-deoxy-delta(12,14)-prostaglandin J2",C097240,Liver Cirrhosis,MESH:D008103
"15-deoxy-delta(12,14)-prostaglandin J2",C097240,Lung Injury,MESH:D055370
"15-deoxy-delta(12,14)-prostaglandin J2",C097240,Pulmonary Edema,MESH:D011654
"15-deoxy-delta(12,14)-prostaglandin J2",C097240,Reperfusion Injury,MESH:D015427
"15-deoxy-delta(12,14)-prostaglandin J2",C097240,Urinary Bladder Diseases,MESH:D001745
15-deoxyprostaglandin J2,C477819,"Infarction, Middle Cerebral Artery",MESH:D020244
15-deoxyprostaglandin J2,C477819,"Mammary Neoplasms, Experimental",MESH:D008325
15-deoxyprostaglandin J2,C477819,Myocardial Infarction,MESH:D009203
"1,5-dihydroxyisoquinoline",C095653,Kidney Diseases,MESH:D007674
1-(5-hydroxy-5-methylhexyl)-3-methylxanthine,C062028,Candidiasis,MESH:D002177
1-(5-Isoquinolinesulfonyl)-2-Methylpiperazine,D019307,Glaucoma,MESH:D005901
1-(5-Isoquinolinesulfonyl)-2-Methylpiperazine,D019307,Substance Withdrawal Syndrome,MESH:D013375
15(S)-15-methylprostaglandin E1,C025170,Glomerulonephritis,MESH:D005921
15(S)-15-methylprostaglandin E1,C025170,Immune Complex Diseases,MESH:D007105
15(S)-15-methylprostaglandin E1,C025170,Inflammation,MESH:D007249
15(S)-15-methylprostaglandin E1,C025170,Vasculitis,MESH:D014657
"16,16-Dimethylprostaglandin E2",D015064,Carbon Tetrachloride Poisoning,MESH:D002252
"16,16-Dimethylprostaglandin E2",D015064,Chemical and Drug Induced Liver Injury,MESH:D056486
"16,16-Dimethylprostaglandin E2",D015064,Duodenal Ulcer,MESH:D004381
"16,16-Dimethylprostaglandin E2",D015064,Necrosis,MESH:D009336
"16,16-Dimethylprostaglandin E2",D015064,Reperfusion Injury,MESH:D015427
"16,16-Dimethylprostaglandin E2",D015064,Stomach Diseases,MESH:D013272
"16,16-Dimethylprostaglandin E2",D015064,Stomach Ulcer,MESH:D013276
"1-(6-(2,4-dichlorophenyl)-3-pyridazinyl)-4-piperidinol",C054250,Seizures,MESH:D012640
"1-(6-((2-(dimethylamino)ethyl)(methyl)amino)-1,3-dimethyl-1H-pyrazolo(3,4-b)pyridine-5-carbonyl)-3-(3-isopropoxyphenyl)urea",C558737,"Arthritis, Experimental",MESH:D001169
"1-(6-((2-(dimethylamino)ethyl)(methyl)amino)-1,3-dimethyl-1H-pyrazolo(3,4-b)pyridine-5-carbonyl)-3-(3-isopropoxyphenyl)urea",C558737,Bone Resorption,MESH:D001862
"1-(6-((2-(dimethylamino)ethyl)(methyl)amino)-1,3-dimethyl-1H-pyrazolo(3,4-b)pyridine-5-carbonyl)-3-(3-isopropoxyphenyl)urea",C558737,"Encephalomyelitis, Autoimmune, Experimental",MESH:D004681
"1-(6-((2-(dimethylamino)ethyl)(methyl)amino)-1,3-dimethyl-1H-pyrazolo(3,4-b)pyridine-5-carbonyl)-3-(3-isopropoxyphenyl)urea",C558737,"Hypersensitivity, Delayed",MESH:D006968
"1-(6-((2-(dimethylamino)ethyl)(methyl)amino)-1,3-dimethyl-1H-pyrazolo(3,4-b)pyridine-5-carbonyl)-3-(3-isopropoxyphenyl)urea",C558737,Peritonitis,MESH:D010538
"1-(6-((3-methoxyestra-1,3,5(10)-trien-17-yl)amino)hexyl)-1H-pyrrole-2,5-dione",C060229,Edema,MESH:D004487
"1-(6-((3-methoxyestra-1,3,5(10)-trien-17-yl)amino)hexyl)-1H-pyrrole-2,5-dione",C060229,Pain,MESH:D010146
"1-(6,6-bis(4-fluorophenyl)hexyl)-4-(3,4,5-trimethoxybenzyl)piperazine",C534047,Hyperalgesia,MESH:D006930
