Title,Summary,GSE,Taxon,Sequencing_type,Publish_date
scRNAseq on sorted T-cells and CITE-seq on PBMCs,Purpose: Analysis at the single cell level of the CD4+ and CD8+ Lymphocytes T extracted and PBMCs from healthy human donor Methods: Single Cell RNAseq performed using the 10X genomics platform,GSE185712,Homo sapiens,Expression profiling by high throughput sequencing,2023/10/11
CITE-seq reveals inhibition of NF-kB pathway in B cells from vitamin D-treated multiple sclerosis patients,Vitamin D deficiency is a risk factor for multiple sclerosis (MS) and is correlated with disease activity and progression. Vitamin D treatment has emerged as potentially protective__ even though results from randomized controlled trials are conflicting. Here__ we used single-cell RNA-seq (scRNA-seq) coupled with barcoded antibodies targeting surface markers (CITE-seq) to discover candidate genes and pathways regulated in PBMC subpopulations from MS patients treated with high-dose vitamin D (n=5) or placebo (n=5). Best candidates were combined with genes involved in immune function and vitamin D metabolism for validation in a new cohort (n=8 in each group) by high-throughput qPCR (HT-qPCR) in naive CD4__ Th1__ Th17__ Treg__ naive CD8__ memory and naive B cells__ and MAIT cells__ sorted by FACS. CITE-seq showed no significant changes in the proportions of these subpopulations in vitamin D-treated patients. Of the 92 candidate genes revealed by CITE-seq__ differential expression of five genes (UXT__ SNRPN__ SUB1__ GNLY and KLF6) was validated by HT-qPCR. CITE-seq also revealed the regulation of several pathways by vitamin D in naive and memory B cells__ including MAPK__ TLR and interleukin pathways__ that contribute to counteract EBV-induced resistance to apoptosis through inhibition of the NF-kB pathway.,GSE239626,Homo sapiens,Expression profiling by high throughput sequencing,2023/10/05
Microenvironment-dependent growth of Sezary cells in humanized IL-15 mice [scRNA/TCR-seq],Sezary syndrome (SS) is a rare__ aggressive leukemic variant of cutaneous T cell lymphoma (CTCL) that lacks adequate therapeutic options and representative small animal models. Here we demonstrate that IL-15 is a critical CTCL growth and survival factor. Importantly__ a genetically engineered immunodeficient mouse model expressing human IL-15 uniquely supported the growth of patient derived Sezary cells relative to conventional immunodeficient mouse strains. Patient derived xenograft (PDX) SS models recapacitated the pathologic features of the human disease__ including skin infiltration and spread of leukemic cells to the periphery__ and maintained the dependence on human IL-15 upon serial in vivo passaging. Detailed molecular characterization of the engrafted cells by single cell transcriptome analysis revealed tissue specific regulation of gene expression and distinct clonal engraftment patterns. Overall__ we document an important dependence of Sezary cell survival and proliferation on IL-15 signaling and the utility of the humanized IL-15__ immunodeficient mice for SS PDX model generation. Furthermore__ these studies advocate for the thorough molecular understanding of the resultant PDX models to maximize their translational impact.,GSE229406,Homo sapiens,Expression profiling by high throughput sequencing,2023/09/29
COSMOS: A Platform for real-time morphology-based__ label-free cell sorting using deep learning (targeted RNA-Seq),Cells are the singular building blocks of life__ and comprehensive understanding of morphology among other properties is crucial to assessment of underlying heterogeneity. We developed Computational Sorting and Mapping of Single Cells (COSMOS)__ a platform based on Artificial Intelligence (AI) and microfluidics to characterize and sort single cells based on real-time deep learning interpretation of high-resolution brightfield images. Supervised deep learning models were applied to characterize and sort cell lines and dissociated primary tissue based on high-dimensional embedding vectors of morphology without need for biomarker labels and stains/dyes. We demonstrate COSMOS capabilities with multiple human cell lines and tissue samples. These early results suggest that our neural networks embedding space can capture and recapitulate deep visual characteristics and can be used to efficiently purify unlabeled viable cells with desired morphological traits. Our approach resolves a technical gap in ability to perform real-time deep learning assessment and sorting of cells based on high-resolution brightfield images.,GSE241835,Homo sapiens,Expression profiling by high throughput sequencing,2023/09/25
COSMOS: A Platform for real-time morphology-based__ label-free cell sorting using deep learning (scRNA-Seq),Cells are the singular building blocks of life__ and comprehensive understanding of morphology among other properties is crucial to assessment of underlying heterogeneity. We developed Computational Sorting and Mapping of Single Cells (COSMOS)__ a platform based on Artificial Intelligence (AI) and microfluidics to characterize and sort single cells based on real-time deep learning interpretation of high-resolution brightfield images. Supervised deep learning models were applied to characterize and sort cell lines and dissociated primary tissue based on high-dimensional embedding vectors of morphology without need for biomarker labels and stains/dyes. We demonstrate COSMOS capabilities with multiple human cell lines and tissue samples. These early results suggest that our neural networks embedding space can capture and recapitulate deep visual characteristics and can be used to efficiently purify unlabeled viable cells with desired morphological traits. Our approach resolves a technical gap in ability to perform real-time deep learning assessment and sorting of cells based on high-resolution brightfield images.,GSE241834,Homo sapiens,Expression profiling by high throughput sequencing,2023/09/25
A single-cell atlas of the peripheral immune response in patients with influenza A virus infection,Influenza A virus (IAV) continues to be a critical global health problem__ especially for vulnerable populations such as children and pregnant women. While certain circulating cell subsets are thought to differentially modulate the immune response to IAV infection__ the nature and function of these subsets is unclear. Our findings provide a comprehensive understanding of the cellular subtypes and molecular characteristics of PBMCs across different populations with IAV infection. By revealing significant differences in immune responses to IAV among these populations__ our study could aid in the development of immune intervention measures to control IAV and improve patient outcomes.,GSE243629,Homo sapiens,Expression profiling by high throughput sequencing,2023/09/21
Single-cell epigenetic__ transcriptional__ and protein states of HIV-1-infected cells [scATAC-seq],The heterogeneity and rarity of HIV-1-infected cells hampers effective cure strategies. We used single-cell DOGMA-seq to simultaneously capture transcription factor accessibility__ transcriptome__ 156 surface proteins__ HIV-1 DNA__ and HIV-1 RNA from six HIV-1+ individuals during viremia and after suppressive antiretroviral therapy. We identified 252 transcriptionally inactive (HIV-1 DNA+ RNA–) and 270 transcriptionally active (HIV-1 RNA+) HIV-1-infected cells from 82__549 memory CD4+ T cells. We identified increased transcription factor accessibility in HIV-1 DNA+ RNA– cells (RORC) and HIV-1 RNA+ cells (IRF and AP-1)__ in addition to CNC and MAF in both. Both HIV-1 DNA+ RNA– and HIV-1 RNA+ cells upregulate IKZF3 (Aiolos) that correlates with proliferation of HIV-1-infected cells. We revealed that the heterogeneous HIV-1-infected T cells comprise four distinct immune programs driven by epigenetic regulators – IRF-activation__ Eomes-cytotoxic effector__ AP-1-migration__ and cell death. Our study revealed the single-cell epigenetic__ transcriptional__ and protein states of transcriptionally inactive and active HIV-1-infected cells.,GSE239915,Homo sapiens,Genome binding/occupancy profiling by high throughput sequencing,2023/09/20
Single-cell epigenetic__ transcriptional__ and protein states of HIV-1-infected cells [scRNA-seq],The heterogeneity and rarity of HIV-1-infected cells hampers effective cure strategies. We used single-cell DOGMA-seq to simultaneously capture transcription factor accessibility__ transcriptome__ 156 surface proteins__ HIV-1 DNA__ and HIV-1 RNA from six HIV-1+ individuals during viremia and after suppressive antiretroviral therapy. We identified 252 transcriptionally inactive (HIV-1 DNA+ RNA–) and 270 transcriptionally active (HIV-1 RNA+) HIV-1-infected cells from 82__549 memory CD4+ T cells. We identified increased transcription factor accessibility in HIV-1 DNA+ RNA– cells (RORC) and HIV-1 RNA+ cells (IRF and AP-1)__ in addition to CNC and MAF in both. Both HIV-1 DNA+ RNA– and HIV-1 RNA+ cells upregulate IKZF3 (Aiolos) that correlates with proliferation of HIV-1-infected cells. We revealed that the heterogeneous HIV-1-infected T cells comprise four distinct immune programs driven by epigenetic regulators – IRF-activation__ Eomes-cytotoxic effector__ AP-1-migration__ and cell death. Our study revealed the single-cell epigenetic__ transcriptional__ and protein states of transcriptionally inactive and active HIV-1-infected cells.,GSE239909,Homo sapiens,Expression profiling by high throughput sequencing,2023/09/20
Single-cell epigenetic__ transcriptional__ and protein states of HIV-1-infected cells [Feature_Barcoding],The heterogeneity and rarity of HIV-1-infected cells hampers effective cure strategies. We used single-cell DOGMA-seq to simultaneously capture transcription factor accessibility__ transcriptome__ 156 surface proteins__ HIV-1 DNA__ and HIV-1 RNA from six HIV-1+ individuals during viremia and after suppressive antiretroviral therapy. We identified 252 transcriptionally inactive (HIV-1 DNA+ RNA–) and 270 transcriptionally active (HIV-1 RNA+) HIV-1-infected cells from 82__549 memory CD4+ T cells. We identified increased transcription factor accessibility in HIV-1 DNA+ RNA– cells (RORC) and HIV-1 RNA+ cells (IRF and AP-1)__ in addition to CNC and MAF in both. Both HIV-1 DNA+ RNA– and HIV-1 RNA+ cells upregulate IKZF3 (Aiolos) that correlates with proliferation of HIV-1-infected cells. We revealed that the heterogeneous HIV-1-infected T cells comprise four distinct immune programs driven by epigenetic regulators – IRF-activation__ Eomes-cytotoxic effector__ AP-1-migration__ and cell death. Our study revealed the single-cell epigenetic__ transcriptional__ and protein states of transcriptionally inactive and active HIV-1-infected cells.,GSE239903,Homo sapiens,Other,2023/09/20
Single cell RNA-seq for human and bovine PBMCs stimulated with M. tuberculosis,We propose a custom pipeline for combining data from experiments on multispecies studies tested on data from human and bovine peripheral blood mononuclear cellssamples__ stimulated with Mycobacterium tuberculosis.,GSE218065,Homo sapiens; Bos taurus,Expression profiling by high throughput sequencing,2023/09/15
Multiomic Single Cell Evaluation Reveals Inflammatory Cytokines Affect Innate Lymphoid Cell Fate After Allogeneic Stem Cell Transplantation,This SuperSeries is composed of the SubSeries listed below.,GSE232003,Mus musculus; Homo sapiens,Genome binding/occupancy profiling by high throughput sequencing; Expression profiling by high throughput sequencing,2023/09/14
Multiomic Single Cell Evaluation Reveals Inflammatory Cytokines Affect Innate Lymphoid Cell Fate After Allogeneic Stem Cell Transplantation [scATAC-Seq],Type II innate lymphoid cells (ILC2s) maintain homeostasis and barrier integrity in mucosal tissues. Previous work has shown that in mice and humans__ ILC2s fail to reconstitute after allogeneic hematopoietic stem cell transplantation (allo-HSCT). Determining the mechanisms involved in their impaired reconstitution could improve transplant outcomes. By integrating chromatin and transcriptomic analysis of marked__ transplanted ILC2s at the single cell level__ we identify a previously unreported population of converted ILC1-like cells in the small intestine post-transplant. Exposure of ILC2s to proinflammatory cytokines in vitro results in a mixed ILC1-ILC2 phenotype but was able to convert only an extremely small population of ILC2s to ILC1s as observed in vivo. Whereas ILC2s protected against acute graft-versus-host disease (aGVHD) mediated-morbidity and mortality__ infusion of proinflammatory cytokine-exposed ILC2s accelerated aGvHD. Finally__ circulating peripheral blood mononuclear cells from patients with aGvHD have an altered ILC2-associated chromatin landscape compared to transplanted controls. These data demonstrate__ for the first time__ that ILC2s fail to repopulate their protective niche after allo-HSCT in part due to conversion to a pro-pathogenic population marked by an ILC1-like chromatin state__ providing novel insights into the contribution of ILC plasticity to aGvHD pathogenesis after allo-HSCT.,GSE232002,Homo sapiens,Genome binding/occupancy profiling by high throughput sequencing,2023/09/14
Single-cell multi-omics sequencing reveals the functional regulatory landscape of STAT3-V637M Hyper-IgE syndrome,Hyper-IgE syndrome (HIES) is a primary immunodeficiency characterized by__ among others__ the excessive production of IgE and repetitive bacterial/fungal infections. Although STAT3 is a known causative factor of HIES__ the biological consequences of STAT3 mutation are not completely understood__ especially at the epigenetic level. Here__ we used multi-omic approaches to decipher the multidimensional immune disturbance in a male HIES patient harboring STAT3-V637M. In his peripheral blood mononuclear cell (PBMC) we found significant clonal expansion of CD8 T cells (whose expression of CD8 subunits was increased__ resulting in enhanced responsiveness to MHC I molecules)__ but not CD4 T cells and B cells in his. The lack of T cells-B cells interaction could be responsible for the limited number of his B cells__ although they exhibited a higher potential in producing immunoglobulin__ elevated SPIC binding might bias this process toward IgE isotype production. Immune checkpoint inhibitors__ including CTLA4__ LAG3__ were overexpressed in his PBMC-CD4 T cells__ accompanied by reduced CD28 and IL6ST (gp130) expression. For his CD4 T cells__ integrative analyses predicted upstream transcription factors (ETV6__ KLF13__ and RORA) for LAG3__ IL6ST__ and CD28__ respectively. The down-regulated phagocytic__ and nitric oxide synthetic genes in his PBMC-monocytes seem to be the culprit of his disseminated bacterial/fungal infection. In his bronchoalveolar lavage fluid (BALF)__ we identified two macrophages with anti-bacterial properties__ which were characterized by CXCL8/S100A8/S100A9__ or SOD2__ respectively. Together__ this study comprehensively described how the immune cell landscape was disturbed in STAT3-V637M HIES and provided a resource for further studies on STAT3 biology.,GSE212479,Homo sapiens,Expression profiling by high throughput sequencing; Genome binding/occupancy profiling by high throughput sequencing; Other,2023/09/07
Comprehensive single-cell immune profiling of tumor-infiltrating T lymphocytes in acral lentiginous melanoma with therapeutic implications.,Acral lentiginous melanoma (ALM) is the most common melanoma subtype in non-Caucasians. Despite significant advances in cancer immunotherapy__ current immune checkpoint inhibitors remain unsatisfactory for ALM. Hence__ we conducted a comprehensive immune profiling using single-cell RNA sequencing and single-cell T cell receptor (TCR) sequencing analysis__ along with the reactivity screening of TCRs of tumor-infiltrating T lymphocytes (TILs) in ALM. We identified tumor-reactive CD8 T cell populations__ primarily exhibiting an exhausted state__ within multiple phenotypic subsets of TILs in ALM. In comparison to cutaneous melanoma__ clusters with tumor-reactive phenotype presented a lower abundance__ and enrichment of Treg cells were observed__ suggesting suppressive immune microenvironment of ALM. We found a heterogeneous expression of co-inhibitory molecules in tumor-reactive CD8 TILs__ with a subpopulation of activated T cells that was rich in genes related to cytotoxicity and marked by the expression of KLRC1 (NKG2A)__ a suppressive co-inhibitory molecule with therapeutic implications. Overall__ our study provides a foundation for enhancing the efficacy of immunotherapy in ALM.,GSE242477,Homo sapiens,Expression profiling by high throughput sequencing; Other,2023/09/06
Single cell transcriptomic atlas of human plasmacytoid dendritic cells reveals a distinct cytotoxic-like subset in HIV-1 infected individuals.,To understand how the transcriptome of pDCs is impacted by HIV-1 infection and exogenous stimulation__ we sorted pDCs from people with HIV-1 (PWH) on antiretroviral treatment before and after toll-like receptor 9 (TLR9) agonist treatment__ as well as from healthy controls__ and performed single-cell (sc)-RNA sequencing. We generated a transcriptomic atlas of over 112__000 pDCs. Our cluster analysis revealed an inducible cytotoxic-like pDC cluster characterized by high expression of both antiviral and cytotoxic genes. We further reported that this cytotoxic-like pDC cluster is distinct from NK and T cells. This observation was further supported by our cell-cell communication analysis revealing that cytotoxic-like pDCs exhibit similar incoming and outgoing cellular communicating signals as other pDCs. In addition to the cytotoxic-like pDC cluster__ we also characterized two homogenous pDC clusters (pDC1 and pDC2) and an exhausted pDC cluster. In conclusion__ our findings provide a comprehensive pDC transcriptomic atlas and open a new scope on the mechanisms of regulation and function of cytotoxic-like pDCs in HIV and other infections.,GSE228078,Homo sapiens,Expression profiling by high throughput sequencing,2023/09/05
