Version,Accession
KX285031.1,KX285031
KX285032.1,KX285032
KX285033.1,KX285033
KX285034.1,KX285034
KX285035.1,KX285035
KX285036.1,KX285036
KX285037.1,KX285037
KX285038.1,KX285038
KX285039.1,KX285039
KX285040.1,KX285040
KX285041.1,KX285041
KX285042.1,KX285042
KX285043.1,KX285043
KX285044.1,KX285044
KX285045.1,KX285045
KX285046.1,KX285046
KX285047.1,KX285047
KX285048.1,KX285048
KX285049.1,KX285049
KX285050.1,KX285050
KX285051.1,KX285051
KX285052.1,KX285052
KX285053.1,KX285053
KX285054.1,KX285054
KX285055.1,KX285055
KX285056.1,KX285056
KX285057.1,KX285057
KX285058.1,KX285058
KX285059.1,KX285059
KX285060.1,KX285060
KX285061.1,KX285061
KX285062.1,KX285062
KX285065.1,KX285065
KX285066.1,KX285066
KX285067.1,KX285067
KX285068.1,KX285068
KX285069.1,KX285069
KX285070.1,KX285070
KX285071.1,KX285071
KX285072.1,KX285072
KX285073.1,KX285073
KX285074.1,KX285074
KX285075.1,KX285075
KX285076.1,KX285076
KX285077.1,KX285077
KX285078.1,KX285078
KX285079.1,KX285079
KX285080.1,KX285080
KX285081.1,KX285081
KX285082.1,KX285082
KX285083.1,KX285083
KX285084.1,KX285084
KX285085.1,KX285085
KX285086.1,KX285086
KX285087.1,KX285087
KX285088.1,KX285088
KX285089.1,KX285089
KX285090.1,KX285090
KX285091.1,KX285091
KX285092.1,KX285092
KX285093.1,KX285093
KX285094.1,KX285094
KX285095.1,KX285095
KX285097.1,KX285097
KX285098.1,KX285098
KX285099.1,KX285099
KX285100.1,KX285100
KX285101.1,KX285101
KX285102.1,KX285102
KX285103.1,KX285103
KX285104.1,KX285104
KX285105.1,KX285105
KX285106.1,KX285106
KX285107.1,KX285107
KX285108.1,KX285108
KX285109.1,KX285109
KX285110.1,KX285110
KX285111.1,KX285111
KX285112.1,KX285112
KX285113.1,KX285113
KX285114.1,KX285114
KX285115.1,KX285115
KX285116.1,KX285116
KX285117.1,KX285117
KX285118.1,KX285118
KX285119.1,KX285119
KX285120.1,KX285120
KX285121.1,KX285121
KX285122.1,KX285122
KX285123.1,KX285123
KX285124.1,KX285124
KX285125.1,KX285125
KX285126.1,KX285126
KX285127.1,KX285127
KX285128.1,KX285128
KX285129.1,KX285129
KX285130.1,KX285130
KX285131.1,KX285131
KX285132.1,KX285132
KX285133.1,KX285133
KX285134.1,KX285134
KX285135.1,KX285135
KX285136.1,KX285136
KX285137.1,KX285137
KX285138.1,KX285138
KX285139.1,KX285139
KX285140.1,KX285140
KX285141.1,KX285141
KX285142.1,KX285142
KX285143.1,KX285143
KX285144.1,KX285144
KX285145.1,KX285145
KX285146.1,KX285146
KX285147.1,KX285147
KX285148.1,KX285148
KX285149.1,KX285149
KX285150.1,KX285150
KX285151.1,KX285151
KX285152.1,KX285152
KX285153.1,KX285153
KX285154.1,KX285154
KX285155.1,KX285155
KX285156.1,KX285156
KX285157.1,KX285157
KX285158.1,KX285158
KX285159.1,KX285159
KX285160.1,KX285160
KX285161.1,KX285161
KX285162.1,KX285162
KX285163.1,KX285163
KX285164.1,KX285164
KX285165.1,KX285165
KX285166.1,KX285166
KX285167.1,KX285167
KX285168.1,KX285168
KX285169.1,KX285169
KX285170.1,KX285170
KX285171.1,KX285171
KX285172.1,KX285172
KX285173.1,KX285173
KX285174.1,KX285174
KX285175.1,KX285175
KX285176.1,KX285176
KX285177.1,KX285177
KX285178.1,KX285178
KX285179.1,KX285179
KX285180.1,KX285180
KX285181.1,KX285181
KX285182.1,KX285182
KX285183.1,KX285183
KX285184.1,KX285184
KX285185.1,KX285185
KX285186.1,KX285186
KX285187.1,KX285187
KX285188.1,KX285188
KX285189.1,KX285189
KX285190.1,KX285190
KX285191.1,KX285191
KX285192.1,KX285192
KX285193.1,KX285193
KX285194.1,KX285194
KX285195.1,KX285195
KX285196.1,KX285196
KX285197.1,KX285197
KX285198.1,KX285198
KX285199.1,KX285199
KX285200.1,KX285200
KX285201.1,KX285201
KX285202.1,KX285202
KX285203.1,KX285203
KX285204.1,KX285204
KX285205.1,KX285205
KX285206.1,KX285206
KX285207.1,KX285207
KX285208.1,KX285208
KX285209.1,KX285209
KX285210.1,KX285210
KX285211.1,KX285211
KX285212.1,KX285212
KX285213.1,KX285213
KX285214.1,KX285214
KX285215.1,KX285215
KX285216.1,KX285216
KX285217.1,KX285217
KX285218.1,KX285218
KX285219.1,KX285219
KX285220.1,KX285220
KX285221.1,KX285221
KX285222.1,KX285222
KX285223.1,KX285223
KX285224.1,KX285224
KX285225.1,KX285225
KX285226.1,KX285226
KX285227.1,KX285227
KX285228.1,KX285228
KX285229.1,KX285229
KX285230.1,KX285230
KX285231.1,KX285231
KX285232.1,KX285232
KX285233.1,KX285233
KX285234.1,KX285234
KX285235.1,KX285235
KX285236.1,KX285236
KX285237.1,KX285237
KX285238.1,KX285238
KX285239.1,KX285239
KX285240.1,KX285240
KX285241.1,KX285241
KX285242.1,KX285242
KX285243.1,KX285243
KX285244.1,KX285244
KX285245.1,KX285245
KX285246.1,KX285246
KX285247.1,KX285247
KX285248.1,KX285248
KX285249.1,KX285249
KX285250.1,KX285250
KX285251.1,KX285251
KX285252.1,KX285252
KX285253.1,KX285253
KX285254.1,KX285254
KX285255.1,KX285255
KX285256.1,KX285256
KX285257.1,KX285257
KX285258.1,KX285258
KX285259.1,KX285259
KX285260.1,KX285260
KX285261.1,KX285261
KX285262.1,KX285262
KX285263.1,KX285263
KX285264.1,KX285264
KX285265.1,KX285265
KX285266.1,KX285266
KX285267.1,KX285267
KX285268.1,KX285268
KX285269.1,KX285269
KX285270.1,KX285270
KX285271.1,KX285271
KX285272.1,KX285272
KX285273.1,KX285273
KX285274.1,KX285274
KX285275.1,KX285275
KX285276.1,KX285276
KX285277.1,KX285277
KX285278.1,KX285278
KX285279.1,KX285279
KX285280.1,KX285280
KX285281.1,KX285281
KX285282.1,KX285282
KX285283.1,KX285283
KX285284.1,KX285284
KX285285.1,KX285285
KX285286.1,KX285286
KX285287.1,KX285287
KX285288.1,KX285288
KX285289.1,KX285289
KX285290.1,KX285290
KX285291.1,KX285291
KX285292.1,KX285292
KX285293.1,KX285293
KX285294.1,KX285294
KX285295.1,KX285295
KX285296.1,KX285296
KX285297.1,KX285297
KX285298.1,KX285298
KX285299.1,KX285299
KX285300.1,KX285300
KX285301.1,KX285301
KX285302.1,KX285302
KX285303.1,KX285303
KX285304.1,KX285304
KX285305.1,KX285305
KX285306.1,KX285306
KX285307.1,KX285307
KX285308.1,KX285308
KX285309.1,KX285309
KX285310.1,KX285310
KX285311.1,KX285311
KX285312.1,KX285312
KX285313.1,KX285313
KX285314.1,KX285314
KX285315.1,KX285315
KX285316.1,KX285316
KX285317.1,KX285317
KX285318.1,KX285318
KX285319.1,KX285319
KX285320.1,KX285320
KX285321.1,KX285321
KX285322.1,KX285322
KX285323.1,KX285323
KX285324.1,KX285324
KX285325.1,KX285325
KX285326.1,KX285326
KX285327.1,KX285327
KX285328.1,KX285328
KX285329.1,KX285329
KX285330.1,KX285330
KX285331.1,KX285331
KX285332.1,KX285332
KX285333.1,KX285333
KX285334.1,KX285334
KX285335.1,KX285335
KX285336.1,KX285336
KX285337.1,KX285337
KX285338.1,KX285338
KX285339.1,KX285339
KX285340.1,KX285340
KX285341.1,KX285341
KX285342.1,KX285342
KX285343.1,KX285343
KX285344.1,KX285344
KX285345.1,KX285345
KX285346.1,KX285346
KX285347.1,KX285347
KX285348.1,KX285348
KX285349.1,KX285349
KX285350.1,KX285350
KX285351.1,KX285351
KX285352.1,KX285352
KX285353.1,KX285353
KX285354.1,KX285354
KX285355.1,KX285355
KX285356.1,KX285356
KX285357.1,KX285357
KX285358.1,KX285358
KX285359.1,KX285359
KX285360.1,KX285360
KX285361.1,KX285361
KX285362.1,KX285362
KX285363.1,KX285363
KX285364.1,KX285364
KX285365.1,KX285365
KX285366.1,KX285366
KX285367.1,KX285367
KX285368.1,KX285368
KX285369.1,KX285369
KX285370.1,KX285370
KX285371.1,KX285371
KX285372.1,KX285372
KX285374.1,KX285374
KX285375.1,KX285375
KX285376.1,KX285376
KX285377.1,KX285377
KX285378.1,KX285378
KX285379.1,KX285379
KX285380.1,KX285380
KX285381.1,KX285381
KX285382.1,KX285382
KX285383.1,KX285383
KX285384.1,KX285384
KX285385.1,KX285385
KX285386.1,KX285386
KX285387.1,KX285387
KX285388.1,KX285388
KX285389.1,KX285389
KX285390.1,KX285390
KX285391.1,KX285391
KX285392.1,KX285392
KX285393.1,KX285393
KX285394.1,KX285394
KX285395.1,KX285395
KX285396.1,KX285396
KX285397.1,KX285397
KX285398.1,KX285398
KX285399.1,KX285399
KX285400.1,KX285400
KX285401.1,KX285401
KX285402.1,KX285402
KX285403.1,KX285403
KX285404.1,KX285404
KX285405.1,KX285405
KX285406.1,KX285406
KX285407.1,KX285407
KX285408.1,KX285408
KX285409.1,KX285409
KX285410.1,KX285410
KX285411.1,KX285411
KX285412.1,KX285412
KX285413.1,KX285413
KX285414.1,KX285414
KX285415.1,KX285415
KX285416.1,KX285416
KX285417.1,KX285417
KX285418.1,KX285418
KX285419.1,KX285419
KX285420.1,KX285420
KX285421.1,KX285421
KX285422.1,KX285422
KX285423.1,KX285423
KX285424.1,KX285424
KX285425.1,KX285425
KX285426.1,KX285426
KX285427.1,KX285427
KX285428.1,KX285428
KX285429.1,KX285429
KX285430.1,KX285430
KX285431.1,KX285431
KX285433.1,KX285433
KX285434.1,KX285434
KX285435.1,KX285435
KX285436.1,KX285436
KX285437.1,KX285437
KX285438.1,KX285438
KX285440.1,KX285440
KX285441.1,KX285441
KX285442.1,KX285442
KX285444.1,KX285444
KX285445.1,KX285445
KX285446.1,KX285446
KX285447.1,KX285447
KX285448.1,KX285448
KX285449.1,KX285449
KX285450.1,KX285450
KX285451.1,KX285451
KX285452.1,KX285452
KX285453.1,KX285453
KX285454.1,KX285454
KX285455.1,KX285455
KX285456.1,KX285456
KX285457.1,KX285457
KX285458.1,KX285458
KX285459.1,KX285459
KX285460.1,KX285460
KX285461.1,KX285461
KX285462.1,KX285462
KX285463.1,KX285463
KX285464.1,KX285464
KX285465.1,KX285465
KX285466.1,KX285466
KX285467.1,KX285467
KX285468.1,KX285468
KX285469.1,KX285469
KX285470.1,KX285470
KX285471.1,KX285471
KX285472.1,KX285472
KX285473.1,KX285473
KX285474.1,KX285474
KX285475.1,KX285475
KX285476.1,KX285476
KX285477.1,KX285477
KX285478.1,KX285478
KX285479.1,KX285479
KX285480.1,KX285480
KX285481.1,KX285481
KX285482.1,KX285482
KX285483.1,KX285483
KX285484.1,KX285484
KX285485.1,KX285485
KX285486.1,KX285486
KX285487.1,KX285487
KX285488.1,KX285488
KX285489.1,KX285489
KX285490.1,KX285490
KX285491.1,KX285491
KX285492.1,KX285492
KX285493.1,KX285493
KX285494.1,KX285494
KX285499.1,KX285499
KX285500.1,KX285500
KX285501.1,KX285501
KX285502.1,KX285502
KX285503.1,KX285503
KX285504.1,KX285504
KX285505.1,KX285505
KX285506.1,KX285506
KX285507.1,KX285507
KX285508.1,KX285508
KX285509.1,KX285509
KX285510.1,KX285510
KX285511.1,KX285511
KX285512.1,KX285512
KX285513.1,KX285513
KX285721.1,KX285721
KX285722.1,KX285722
KX285723.1,KX285723
KX285724.1,KX285724
KX285725.1,KX285725
KX285726.1,KX285726
KX285727.1,KX285727
KX285728.1,KX285728
KX285729.1,KX285729
KX285730.1,KX285730
KX285731.1,KX285731
KX285732.1,KX285732
KX285733.1,KX285733
KX285734.1,KX285734
KX285735.1,KX285735
KX285736.1,KX285736
KX285737.1,KX285737
KX285738.1,KX285738
KX285739.1,KX285739
KX285740.1,KX285740
KX285741.1,KX285741
KX285742.1,KX285742
KX285743.1,KX285743
KX285744.1,KX285744
KX285745.1,KX285745
KX285746.1,KX285746
KX285747.1,KX285747
KX285748.1,KX285748
KX285749.1,KX285749
KX285750.1,KX285750
KX285751.1,KX285751
KX285752.1,KX285752
KX285753.1,KX285753
KX285754.1,KX285754
KX285755.1,KX285755
KX285756.1,KX285756
KX285757.1,KX285757
KX285758.1,KX285758
KX285759.1,KX285759
KX285760.1,KX285760
KX285761.1,KX285761
KX285762.1,KX285762
KX285763.1,KX285763
KX285764.1,KX285764
KX285765.1,KX285765
KX285766.1,KX285766
KX285767.1,KX285767
KX285768.1,KX285768
KX285769.1,KX285769
KX285770.1,KX285770
KX285771.1,KX285771
KX285772.1,KX285772
KX285773.1,KX285773
KX285774.1,KX285774
KX285775.1,KX285775
KX285776.1,KX285776
KX285777.1,KX285777
KX285778.1,KX285778
KX285779.1,KX285779
KX285780.1,KX285780
KX285781.1,KX285781
KX285782.1,KX285782
KX285783.1,KX285783
KX285784.1,KX285784
KX285785.1,KX285785
KX285786.1,KX285786
KX285787.1,KX285787
KX285788.1,KX285788
KX285789.1,KX285789
KX285790.1,KX285790
KX285791.1,KX285791
KX285792.1,KX285792
KX285794.1,KX285794
KX285795.1,KX285795
KX285796.1,KX285796
KX285797.1,KX285797
KX285799.1,KX285799
KX285800.1,KX285800
KX285801.1,KX285801
KX285802.1,KX285802
KX285803.1,KX285803
KX285804.1,KX285804
KX285805.1,KX285805
KX285806.1,KX285806
KX285807.1,KX285807
KX285808.1,KX285808
KX285809.1,KX285809
KX285810.1,KX285810
KX285811.1,KX285811
KX285812.1,KX285812
KX285813.1,KX285813
KX285814.1,KX285814
KX285815.1,KX285815
KX285816.1,KX285816
KX285817.1,KX285817
KX285818.1,KX285818
KX285819.1,KX285819
KX285820.1,KX285820
KX285821.1,KX285821
KX285822.1,KX285822
KX285823.1,KX285823
KX285824.1,KX285824
KX285825.1,KX285825
KX285826.1,KX285826
KX285827.1,KX285827
KX285828.1,KX285828
KX285829.1,KX285829
KX285830.1,KX285830
KX285831.1,KX285831
KX285832.1,KX285832
KX285833.1,KX285833
KX285834.1,KX285834
KX285835.1,KX285835
KX285836.1,KX285836
KX285837.1,KX285837
KX285838.1,KX285838
KX285839.1,KX285839
KX285840.1,KX285840
KX285841.1,KX285841
KX285842.1,KX285842
KX285843.1,KX285843
KX285844.1,KX285844
KX285845.1,KX285845
KX285846.1,KX285846
KX285847.1,KX285847
KX285848.1,KX285848
KX285849.1,KX285849
KX285850.1,KX285850
KX285851.1,KX285851
KX285852.1,KX285852
KX285853.1,KX285853
KX285854.1,KX285854
KX285855.1,KX285855
KX285856.1,KX285856
KX285857.1,KX285857
KX285858.1,KX285858
KX285859.1,KX285859
KX285860.1,KX285860
KX285861.1,KX285861
KX285862.1,KX285862
KX285863.1,KX285863
KX285864.1,KX285864
KX285865.1,KX285865
KX285866.1,KX285866
KX285867.1,KX285867
KX285868.1,KX285868
KX285869.1,KX285869
KX285870.1,KX285870
KX285871.1,KX285871
KX285872.1,KX285872
KX285873.1,KX285873
KX285874.1,KX285874
KX285875.1,KX285875
KX285876.1,KX285876
KX285877.1,KX285877
KX285878.1,KX285878
KX285879.1,KX285879
KX285880.1,KX285880
KX285881.1,KX285881
KX285882.1,KX285882
KX285883.1,KX285883
KX285884.1,KX285884
KX285885.1,KX285885
KX285886.1,KX285886
KX285887.1,KX285887
KX285888.1,KX285888
KX285889.1,KX285889
KX285890.1,KX285890
KX285891.1,KX285891
KX285892.1,KX285892
KX285893.1,KX285893
KX285894.1,KX285894
KX285895.1,KX285895
KX285896.1,KX285896
KX285897.1,KX285897
KX285898.1,KX285898
KX285899.1,KX285899
KX285900.1,KX285900
KX285901.1,KX285901
KX285902.1,KX285902
KX285903.1,KX285903
KX285904.1,KX285904
KX285905.1,KX285905
KX285906.1,KX285906
KX285907.1,KX285907
KX285908.1,KX285908
KX285909.1,KX285909
KX285910.1,KX285910
KX285911.1,KX285911
KX285912.1,KX285912
KX285913.1,KX285913
KX285914.1,KX285914
KX285915.1,KX285915
KX285916.1,KX285916
KX285917.1,KX285917
KX285918.1,KX285918
KX285919.1,KX285919
KX285920.1,KX285920
KX285921.1,KX285921
KX285922.1,KX285922
KX285923.1,KX285923
KX285924.1,KX285924
KX285925.1,KX285925
KX285926.1,KX285926
KX285927.1,KX285927
KX285928.1,KX285928
KX285929.1,KX285929
KX285930.1,KX285930
KX285931.1,KX285931
KX285932.1,KX285932
KX285933.1,KX285933
KX285934.1,KX285934
KX285935.1,KX285935
KX285936.1,KX285936
KX285937.1,KX285937
KX285938.1,KX285938
KX285939.1,KX285939
KX285940.1,KX285940
KX285941.1,KX285941
KX285942.1,KX285942
KX285943.1,KX285943
KX285944.1,KX285944
KX285945.1,KX285945
KX285946.1,KX285946
KX285947.1,KX285947
KX285948.1,KX285948
KX285949.1,KX285949
KX285950.1,KX285950
KX285951.1,KX285951
KX285952.1,KX285952
KX285953.1,KX285953
KX285954.1,KX285954
KX285955.1,KX285955
KX285956.1,KX285956
KX285957.1,KX285957
KX285958.1,KX285958
KX285959.1,KX285959
KX285960.1,KX285960
KX285961.1,KX285961
KX285962.1,KX285962
KX285963.1,KX285963
KX285964.1,KX285964
KX285965.1,KX285965
KX285966.1,KX285966
KX285967.1,KX285967
KX285968.1,KX285968
KX285969.1,KX285969
KX285970.1,KX285970
KX285971.1,KX285971
KX285972.1,KX285972
KX285973.1,KX285973
KX285974.1,KX285974
KX285975.1,KX285975
KX285976.1,KX285976
KX285977.1,KX285977
KX285978.1,KX285978
KX285979.1,KX285979
KX285980.1,KX285980
KX285981.1,KX285981
KX285982.1,KX285982
KX285983.1,KX285983
KX285984.1,KX285984
KX285985.1,KX285985
KX285986.1,KX285986
KX285987.1,KX285987
KX285988.1,KX285988
KX285989.1,KX285989
KX285990.1,KX285990
KX285991.1,KX285991
KX285992.1,KX285992
KX285993.1,KX285993
KX285994.1,KX285994
KX285995.1,KX285995
KX285996.1,KX285996
KX285997.1,KX285997
KX285998.1,KX285998
KX285999.1,KX285999
KX286000.1,KX286000
KX286001.1,KX286001
KX286002.1,KX286002
KX286003.1,KX286003
KX286004.1,KX286004
KX286005.1,KX286005
KX286006.1,KX286006
KX286007.1,KX286007
KX286008.1,KX286008
KX286009.1,KX286009
KX286010.1,KX286010
KX286011.1,KX286011
KX286012.1,KX286012
KX286013.1,KX286013
KX286014.1,KX286014
KX286015.1,KX286015
KX286016.1,KX286016
KX286038.1,KX286038
KX286039.1,KX286039
KX286244.1,KX286244
KX286245.1,KX286245
KX286246.1,KX286246
KX286247.1,KX286247
KX286248.1,KX286248
KX286249.1,KX286249
KX286250.1,KX286250
KX286251.1,KX286251
KX286252.1,KX286252
KX286253.1,KX286253
KX286254.1,KX286254
KX286255.1,KX286255
KX286256.1,KX286256
KX286257.1,KX286257
KX286258.1,KX286258
KX286259.1,KX286259
KX286260.1,KX286260
KX286261.1,KX286261
KX286262.1,KX286262
KX286264.1,KX286264
KX286265.1,KX286265
KX286266.1,KX286266
KX286267.1,KX286267
KX286268.1,KX286268
KX286269.1,KX286269
KX286270.1,KX286270
KX286271.1,KX286271
KX286272.1,KX286272
KX286273.1,KX286273
KX286274.1,KX286274
KX286275.1,KX286275
KX286276.1,KX286276
KX286277.1,KX286277
KX286278.1,KX286278
KX286279.1,KX286279
KX286280.1,KX286280
KX286281.1,KX286281
KX286282.1,KX286282
KX286283.1,KX286283
KX286284.1,KX286284
KX286285.1,KX286285
KX286286.1,KX286286
KX286287.1,KX286287
KX286288.1,KX286288
KX286289.1,KX286289
KX286290.1,KX286290
KX286291.1,KX286291
KX286292.1,KX286292
KX286293.1,KX286293
KX286294.1,KX286294
KX286295.1,KX286295
KX286296.1,KX286296
KX286298.1,KX286298
KX286299.1,KX286299
KX286300.1,KX286300
KX286301.1,KX286301
KX286302.1,KX286302
KX286303.1,KX286303
KX286304.1,KX286304
KX286305.1,KX286305
KX286306.1,KX286306
KX286307.1,KX286307
KX286308.1,KX286308
KX286309.1,KX286309
KX286310.1,KX286310
KX286311.1,KX286311
KX286312.1,KX286312
KX286313.1,KX286313
KX286314.1,KX286314
KX286315.1,KX286315
KX286316.1,KX286316
KX286317.1,KX286317
KX286318.1,KX286318
KX286319.1,KX286319
KX286320.1,KX286320
KX286321.1,KX286321
KX286322.1,KX286322
KX286323.1,KX286323
KX286324.1,KX286324
KX286325.1,KX286325
KX286326.1,KX286326
KX286327.1,KX286327
KX285719.2,KX285719
KX285720.2,KX285720
MT891182.1,MT891182
MT832127.1,MT832127
MT832128.1,MT832128
MT064699.1,MT064699
MT064734.1,MT064734
MT064758.1,MT064758
MT064759.1,MT064759
MT064763.1,MT064763
MT064764.1,MT064764
MT064765.1,MT064765
MT064766.1,MT064766
MT064767.1,MT064767
MT064768.1,MT064768
MT064770.1,MT064770
MT064771.1,MT064771
MT064772.1,MT064772
MT065039.1,MT065039
MT065040.1,MT065040
MT065041.1,MT065041
MT065042.1,MT065042
MT065043.1,MT065043
MT065044.1,MT065044
MT065045.1,MT065045
MT065046.1,MT065046
MT065047.1,MT065047
MT065048.1,MT065048
MT065052.1,MT065052
MT065053.1,MT065053
MT065054.1,MT065054
MT065055.1,MT065055
MT065056.1,MT065056
MT065057.1,MT065057
MT065058.1,MT065058
MT065059.1,MT065059
MT065060.1,MT065060
MT065061.1,MT065061
MT065062.1,MT065062
MT065063.1,MT065063
MT065064.1,MT065064
MT065065.1,MT065065
MT065066.1,MT065066
MT065067.1,MT065067
MT065068.1,MT065068
MT065069.1,MT065069
MT065070.1,MT065070
MT065072.1,MT065072
MT065073.1,MT065073
MT065074.1,MT065074
MT065076.1,MT065076
MT083146.1,MT083146
MT083199.1,MT083199
MT083205.1,MT083205
MT083206.1,MT083206
MT083207.1,MT083207
MT083208.1,MT083208
MT083209.1,MT083209
MT083211.1,MT083211
MT083297.1,MT083297
MT083417.1,MT083417
MT083450.1,MT083450
MT083451.1,MT083451
MT083452.1,MT083452
MT083453.1,MT083453
MT083454.1,MT083454
MT083455.1,MT083455
MT083457.1,MT083457
MT083458.1,MT083458
MT083459.1,MT083459
MT083460.1,MT083460
