,VirusTaxID,Virus,VirusGenus,VirusFamily
3099,694014,avian coronavirus,gammacoronavirus,coronaviridae
3100,694014,avian coronavirus,gammacoronavirus,coronaviridae
3101,694014,avian coronavirus,gammacoronavirus,coronaviridae
3102,694014,avian coronavirus,gammacoronavirus,coronaviridae
3103,694014,avian coronavirus,gammacoronavirus,coronaviridae
3104,694014,avian coronavirus,gammacoronavirus,coronaviridae
3105,694014,avian coronavirus,gammacoronavirus,coronaviridae
3106,694014,avian coronavirus,gammacoronavirus,coronaviridae
3107,694014,avian coronavirus,gammacoronavirus,coronaviridae
3108,694014,avian coronavirus,gammacoronavirus,coronaviridae
3109,694014,avian coronavirus,gammacoronavirus,coronaviridae
3110,694014,avian coronavirus,gammacoronavirus,coronaviridae
3111,694014,avian coronavirus,gammacoronavirus,coronaviridae
3112,694014,avian coronavirus,gammacoronavirus,coronaviridae
3113,694014,avian coronavirus,gammacoronavirus,coronaviridae
3114,694014,avian coronavirus,gammacoronavirus,coronaviridae
3115,694014,avian coronavirus,gammacoronavirus,coronaviridae
3116,694014,avian coronavirus,gammacoronavirus,coronaviridae
3623,694014,avian coronavirus,gammacoronavirus,coronaviridae
3624,694014,avian coronavirus,gammacoronavirus,coronaviridae
3625,694014,avian coronavirus,gammacoronavirus,coronaviridae
3626,694014,avian coronavirus,gammacoronavirus,coronaviridae
3627,694014,avian coronavirus,gammacoronavirus,coronaviridae
3628,694014,avian coronavirus,gammacoronavirus,coronaviridae
3766,694014,avian coronavirus,gammacoronavirus,coronaviridae
3767,694014,avian coronavirus,gammacoronavirus,coronaviridae
3768,694014,avian coronavirus,gammacoronavirus,coronaviridae
3769,694014,avian coronavirus,gammacoronavirus,coronaviridae
3770,694014,avian coronavirus,gammacoronavirus,coronaviridae
3771,694014,avian coronavirus,gammacoronavirus,coronaviridae
3772,694014,avian coronavirus,gammacoronavirus,coronaviridae
3773,694014,avian coronavirus,gammacoronavirus,coronaviridae
3774,694014,avian coronavirus,gammacoronavirus,coronaviridae
3775,694014,avian coronavirus,gammacoronavirus,coronaviridae
3776,694014,avian coronavirus,gammacoronavirus,coronaviridae
3777,694014,avian coronavirus,gammacoronavirus,coronaviridae
3778,694014,avian coronavirus,gammacoronavirus,coronaviridae
3779,694014,avian coronavirus,gammacoronavirus,coronaviridae
3780,694014,avian coronavirus,gammacoronavirus,coronaviridae
3781,694014,avian coronavirus,gammacoronavirus,coronaviridae
3782,694014,avian coronavirus,gammacoronavirus,coronaviridae
3783,694014,avian coronavirus,gammacoronavirus,coronaviridae
3784,694014,avian coronavirus,gammacoronavirus,coronaviridae
3785,694014,avian coronavirus,gammacoronavirus,coronaviridae
3786,694014,avian coronavirus,gammacoronavirus,coronaviridae
3787,694014,avian coronavirus,gammacoronavirus,coronaviridae
3788,694014,avian coronavirus,gammacoronavirus,coronaviridae
3789,694014,avian coronavirus,gammacoronavirus,coronaviridae
3790,694014,avian coronavirus,gammacoronavirus,coronaviridae
3791,694014,avian coronavirus,gammacoronavirus,coronaviridae
3792,694014,avian coronavirus,gammacoronavirus,coronaviridae
3793,694014,avian coronavirus,gammacoronavirus,coronaviridae
3794,694014,avian coronavirus,gammacoronavirus,coronaviridae
3795,694014,avian coronavirus,gammacoronavirus,coronaviridae
3796,694014,avian coronavirus,gammacoronavirus,coronaviridae
3797,694014,avian coronavirus,gammacoronavirus,coronaviridae
3798,694014,avian coronavirus,gammacoronavirus,coronaviridae
3799,694014,avian coronavirus,gammacoronavirus,coronaviridae
3800,694014,avian coronavirus,gammacoronavirus,coronaviridae
3801,694014,avian coronavirus,gammacoronavirus,coronaviridae
3802,694014,avian coronavirus,gammacoronavirus,coronaviridae
3803,694014,avian coronavirus,gammacoronavirus,coronaviridae
3804,694014,avian coronavirus,gammacoronavirus,coronaviridae
3805,694014,avian coronavirus,gammacoronavirus,coronaviridae
3806,694014,avian coronavirus,gammacoronavirus,coronaviridae
3807,694014,avian coronavirus,gammacoronavirus,coronaviridae
3808,694014,avian coronavirus,gammacoronavirus,coronaviridae
3809,694014,avian coronavirus,gammacoronavirus,coronaviridae
3810,694014,avian coronavirus,gammacoronavirus,coronaviridae
3811,694014,avian coronavirus,gammacoronavirus,coronaviridae
3812,694014,avian coronavirus,gammacoronavirus,coronaviridae
3813,694014,avian coronavirus,gammacoronavirus,coronaviridae
3814,694014,avian coronavirus,gammacoronavirus,coronaviridae
3815,694014,avian coronavirus,gammacoronavirus,coronaviridae
3816,694014,avian coronavirus,gammacoronavirus,coronaviridae
3817,694014,avian coronavirus,gammacoronavirus,coronaviridae
3818,694014,avian coronavirus,gammacoronavirus,coronaviridae
3819,694014,avian coronavirus,gammacoronavirus,coronaviridae
3820,694014,avian coronavirus,gammacoronavirus,coronaviridae
3821,694014,avian coronavirus,gammacoronavirus,coronaviridae
3822,694014,avian coronavirus,gammacoronavirus,coronaviridae
3823,694014,avian coronavirus,gammacoronavirus,coronaviridae
3824,694014,avian coronavirus,gammacoronavirus,coronaviridae
3825,694014,avian coronavirus,gammacoronavirus,coronaviridae
3826,694014,avian coronavirus,gammacoronavirus,coronaviridae
3827,694014,avian coronavirus,gammacoronavirus,coronaviridae
3828,694014,avian coronavirus,gammacoronavirus,coronaviridae
3829,694014,avian coronavirus,gammacoronavirus,coronaviridae
3830,694014,avian coronavirus,gammacoronavirus,coronaviridae
3831,694014,avian coronavirus,gammacoronavirus,coronaviridae
3832,694014,avian coronavirus,gammacoronavirus,coronaviridae
3833,694014,avian coronavirus,gammacoronavirus,coronaviridae
3834,694014,avian coronavirus,gammacoronavirus,coronaviridae
3835,694014,avian coronavirus,gammacoronavirus,coronaviridae
3836,694014,avian coronavirus,gammacoronavirus,coronaviridae
3837,694014,avian coronavirus,gammacoronavirus,coronaviridae
3838,694014,avian coronavirus,gammacoronavirus,coronaviridae
3839,694014,avian coronavirus,gammacoronavirus,coronaviridae
3840,694014,avian coronavirus,gammacoronavirus,coronaviridae
3841,694014,avian coronavirus,gammacoronavirus,coronaviridae
3842,694014,avian coronavirus,gammacoronavirus,coronaviridae
3843,694014,avian coronavirus,gammacoronavirus,coronaviridae
3844,694014,avian coronavirus,gammacoronavirus,coronaviridae
3845,694014,avian coronavirus,gammacoronavirus,coronaviridae
3846,694014,avian coronavirus,gammacoronavirus,coronaviridae
3847,694014,avian coronavirus,gammacoronavirus,coronaviridae
3848,694014,avian coronavirus,gammacoronavirus,coronaviridae
3849,694014,avian coronavirus,gammacoronavirus,coronaviridae
3850,694014,avian coronavirus,gammacoronavirus,coronaviridae
3851,694014,avian coronavirus,gammacoronavirus,coronaviridae
3852,694014,avian coronavirus,gammacoronavirus,coronaviridae
3853,694014,avian coronavirus,gammacoronavirus,coronaviridae
3854,694014,avian coronavirus,gammacoronavirus,coronaviridae
3855,694014,avian coronavirus,gammacoronavirus,coronaviridae
3856,694014,avian coronavirus,gammacoronavirus,coronaviridae
3857,694014,avian coronavirus,gammacoronavirus,coronaviridae
3858,694014,avian coronavirus,gammacoronavirus,coronaviridae
3859,694014,avian coronavirus,gammacoronavirus,coronaviridae
3860,694014,avian coronavirus,gammacoronavirus,coronaviridae
3861,694014,avian coronavirus,gammacoronavirus,coronaviridae
3862,694014,avian coronavirus,gammacoronavirus,coronaviridae
3863,694014,avian coronavirus,gammacoronavirus,coronaviridae
3864,694014,avian coronavirus,gammacoronavirus,coronaviridae
3865,694014,avian coronavirus,gammacoronavirus,coronaviridae
3866,694014,avian coronavirus,gammacoronavirus,coronaviridae
3867,694014,avian coronavirus,gammacoronavirus,coronaviridae
3868,694014,avian coronavirus,gammacoronavirus,coronaviridae
3869,694014,avian coronavirus,gammacoronavirus,coronaviridae
3870,694014,avian coronavirus,gammacoronavirus,coronaviridae
3871,694014,avian coronavirus,gammacoronavirus,coronaviridae
3872,694014,avian coronavirus,gammacoronavirus,coronaviridae
3873,694014,avian coronavirus,gammacoronavirus,coronaviridae
3874,694014,avian coronavirus,gammacoronavirus,coronaviridae
3875,694014,avian coronavirus,gammacoronavirus,coronaviridae
3876,694014,avian coronavirus,gammacoronavirus,coronaviridae
8395,694014,avian coronavirus,gammacoronavirus,coronaviridae
8396,694014,avian coronavirus,gammacoronavirus,coronaviridae
8397,694014,avian coronavirus,gammacoronavirus,coronaviridae
8398,694014,avian coronavirus,gammacoronavirus,coronaviridae
8842,694014,avian coronavirus,gammacoronavirus,coronaviridae
8843,694014,avian coronavirus,gammacoronavirus,coronaviridae
8844,694014,avian coronavirus,gammacoronavirus,coronaviridae
8845,694014,avian coronavirus,gammacoronavirus,coronaviridae
8847,1911231,deltacoronavirus sp.,deltacoronavirus,coronaviridae
8848,2163008,gammacoronavirus sp.,gammacoronavirus,coronaviridae
9102,2042539,coronavirus predict cov-12,alphacoronavirus,coronaviridae
9103,2042539,coronavirus predict cov-12,alphacoronavirus,coronaviridae
9104,2042539,coronavirus predict cov-12,alphacoronavirus,coronaviridae
9121,1269302,coronavirus btcov/kcr24/ano_geo/crc/2010,,coronaviridae
9122,1269302,coronavirus btcov/kcr24/ano_geo/crc/2010,,coronaviridae
9123,1269305,coronavirus btcov/kcr289/ano_geo/crc/2010,,coronaviridae
9124,1269305,coronavirus btcov/kcr289/ano_geo/crc/2010,,coronaviridae
9125,1269306,coronavirus btcov/kcr291/ano_geo/crc/2010,,coronaviridae
9126,1269306,coronavirus btcov/kcr291/ano_geo/crc/2010,,coronaviridae
9127,1269307,coronavirus btcov/kcr293/ano_geo/crc/2010,,coronaviridae
9128,1269307,coronavirus btcov/kcr293/ano_geo/crc/2010,,coronaviridae
9447,694014,avian coronavirus,gammacoronavirus,coronaviridae
9448,694014,avian coronavirus,gammacoronavirus,coronaviridae
9449,694014,avian coronavirus,gammacoronavirus,coronaviridae
9450,694014,avian coronavirus,gammacoronavirus,coronaviridae
9451,694014,avian coronavirus,gammacoronavirus,coronaviridae
9452,694014,avian coronavirus,gammacoronavirus,coronaviridae
9453,694014,avian coronavirus,gammacoronavirus,coronaviridae
9454,694014,avian coronavirus,gammacoronavirus,coronaviridae
9455,694014,avian coronavirus,gammacoronavirus,coronaviridae
9456,694014,avian coronavirus,gammacoronavirus,coronaviridae
9457,694014,avian coronavirus,gammacoronavirus,coronaviridae
9458,694014,avian coronavirus,gammacoronavirus,coronaviridae
9459,694014,avian coronavirus,gammacoronavirus,coronaviridae
9460,694014,avian coronavirus,gammacoronavirus,coronaviridae
9461,694014,avian coronavirus,gammacoronavirus,coronaviridae
9462,694014,avian coronavirus,gammacoronavirus,coronaviridae
9463,694014,avian coronavirus,gammacoronavirus,coronaviridae
9464,694014,avian coronavirus,gammacoronavirus,coronaviridae
9465,694014,avian coronavirus,gammacoronavirus,coronaviridae
9466,694014,avian coronavirus,gammacoronavirus,coronaviridae
9467,694014,avian coronavirus,gammacoronavirus,coronaviridae
9468,694014,avian coronavirus,gammacoronavirus,coronaviridae
9469,694014,avian coronavirus,gammacoronavirus,coronaviridae
9470,694014,avian coronavirus,gammacoronavirus,coronaviridae
9471,694014,avian coronavirus,gammacoronavirus,coronaviridae
9472,694014,avian coronavirus,gammacoronavirus,coronaviridae
9473,694014,avian coronavirus,gammacoronavirus,coronaviridae
9474,694014,avian coronavirus,gammacoronavirus,coronaviridae
9475,694014,avian coronavirus,gammacoronavirus,coronaviridae
9476,694014,avian coronavirus,gammacoronavirus,coronaviridae
9477,694014,avian coronavirus,gammacoronavirus,coronaviridae
9478,694014,avian coronavirus,gammacoronavirus,coronaviridae
9479,694014,avian coronavirus,gammacoronavirus,coronaviridae
9480,694014,avian coronavirus,gammacoronavirus,coronaviridae
9481,694014,avian coronavirus,gammacoronavirus,coronaviridae
9482,694014,avian coronavirus,gammacoronavirus,coronaviridae
9483,694014,avian coronavirus,gammacoronavirus,coronaviridae
9484,694014,avian coronavirus,gammacoronavirus,coronaviridae
9485,694014,avian coronavirus,gammacoronavirus,coronaviridae
9486,694014,avian coronavirus,gammacoronavirus,coronaviridae
9487,694014,avian coronavirus,gammacoronavirus,coronaviridae
9488,694014,avian coronavirus,gammacoronavirus,coronaviridae
9489,694014,avian coronavirus,gammacoronavirus,coronaviridae
9490,694014,avian coronavirus,gammacoronavirus,coronaviridae
9491,694014,avian coronavirus,gammacoronavirus,coronaviridae
9492,694014,avian coronavirus,gammacoronavirus,coronaviridae
9493,694014,avian coronavirus,gammacoronavirus,coronaviridae
9494,694014,avian coronavirus,gammacoronavirus,coronaviridae
9495,694014,avian coronavirus,gammacoronavirus,coronaviridae
9496,694014,avian coronavirus,gammacoronavirus,coronaviridae
9497,694014,avian coronavirus,gammacoronavirus,coronaviridae
9498,694014,avian coronavirus,gammacoronavirus,coronaviridae
9499,694014,avian coronavirus,gammacoronavirus,coronaviridae
9500,694014,avian coronavirus,gammacoronavirus,coronaviridae
9501,694014,avian coronavirus,gammacoronavirus,coronaviridae
9595,694014,avian coronavirus,gammacoronavirus,coronaviridae
9596,694014,avian coronavirus,gammacoronavirus,coronaviridae
9597,694014,avian coronavirus,gammacoronavirus,coronaviridae
9598,694014,avian coronavirus,gammacoronavirus,coronaviridae
9599,694014,avian coronavirus,gammacoronavirus,coronaviridae
9600,694014,avian coronavirus,gammacoronavirus,coronaviridae
9603,2569586,canada goose coronavirus,gammacoronavirus,coronaviridae
9672,694014,avian coronavirus,gammacoronavirus,coronaviridae
9676,694014,avian coronavirus,gammacoronavirus,coronaviridae
9707,1934040,anser cygnoides coronavirus,deltacoronavirus,coronaviridae
9712,694014,avian coronavirus,gammacoronavirus,coronaviridae
9713,694014,avian coronavirus,gammacoronavirus,coronaviridae
9714,694014,avian coronavirus,gammacoronavirus,coronaviridae
9715,694014,avian coronavirus,gammacoronavirus,coronaviridae
9745,694014,avian coronavirus,gammacoronavirus,coronaviridae
9746,694014,avian coronavirus,gammacoronavirus,coronaviridae
9747,694014,avian coronavirus,gammacoronavirus,coronaviridae
9748,694014,avian coronavirus,gammacoronavirus,coronaviridae
9749,694014,avian coronavirus,gammacoronavirus,coronaviridae
10080,1289544,coronavirus mex_cov-1,alphacoronavirus,coronaviridae
10081,1289550,coronavirus mex_cov-5a,alphacoronavirus,coronaviridae
10265,2501960,china rattus coronavirus hku24,betacoronavirus,coronaviridae
10266,2501960,china rattus coronavirus hku24,betacoronavirus,coronaviridae
10267,1679909,coronavirus rcov/ks11_0997/apo_agr/ger/2011,,coronaviridae
10268,1679909,coronavirus rcov/ks11_0997/apo_agr/ger/2011,,coronaviridae
10269,1679920,coronavirus rcov/rmu10_620/apo_agr/ger/2010,,coronaviridae
10270,1679920,coronavirus rcov/rmu10_620/apo_agr/ger/2010,,coronaviridae
10716,1508222,longquan aa mouse coronavirus,betacoronavirus,coronaviridae
10717,1508222,longquan aa mouse coronavirus,betacoronavirus,coronaviridae
10718,1508222,longquan aa mouse coronavirus,betacoronavirus,coronaviridae
10719,1508222,longquan aa mouse coronavirus,betacoronavirus,coronaviridae
10758,2050018,rodent coronavirus,,coronaviridae
10759,2050018,rodent coronavirus,,coronaviridae
10760,2050018,rodent coronavirus,,coronaviridae
10761,2050018,rodent coronavirus,,coronaviridae
10762,2050018,rodent coronavirus,,coronaviridae
10811,2501960,china rattus coronavirus hku24,betacoronavirus,coronaviridae
10812,2501960,china rattus coronavirus hku24,betacoronavirus,coronaviridae
10813,2501960,china rattus coronavirus hku24,betacoronavirus,coronaviridae
10814,1964806,coronavirus accov-jc34,alphacoronavirus,coronaviridae
10815,1964806,coronavirus accov-jc34,alphacoronavirus,coronaviridae
10816,1964806,coronavirus accov-jc34,alphacoronavirus,coronaviridae
10817,1964807,coronavirus jc02,,coronaviridae
10818,1964807,coronavirus jc02,,coronaviridae
10819,1964810,coronavirus jc66,,coronaviridae
10820,1964810,coronavirus jc66,,coronaviridae
10821,1964811,coronavirus jc81,,coronaviridae
10822,1964811,coronavirus jc81,,coronaviridae
10823,1508224,lucheng rn rat coronavirus,alphacoronavirus,coronaviridae
10824,1508224,lucheng rn rat coronavirus,alphacoronavirus,coronaviridae
10825,1508224,lucheng rn rat coronavirus,alphacoronavirus,coronaviridae
10842,1964808,coronavirus jc30,,coronaviridae
10854,2050018,rodent coronavirus,,coronaviridae
10855,2050018,rodent coronavirus,,coronaviridae
10870,1679884,coronavirus rcov/d_rmu10_1087/apo_fla/ger/2010,,coronaviridae
10871,1679884,coronavirus rcov/d_rmu10_1087/apo_fla/ger/2010,,coronaviridae
10872,1679917,coronavirus rcov/rmu10_3052/apo_fla/ger/2010,,coronaviridae
10873,1679917,coronavirus rcov/rmu10_3052/apo_fla/ger/2010,,coronaviridae
10874,1679918,coronavirus rcov/rmu10_3147/apo_fla/ger/2010,,coronaviridae
10875,1679918,coronavirus rcov/rmu10_3147/apo_fla/ger/2010,,coronaviridae
11062,1964808,coronavirus jc30,,coronaviridae
11063,1964808,coronavirus jc30,,coronaviridae
11064,2501960,china rattus coronavirus hku24,betacoronavirus,coronaviridae
11065,2501960,china rattus coronavirus hku24,betacoronavirus,coronaviridae
11070,1508224,lucheng rn rat coronavirus,alphacoronavirus,coronaviridae
11071,1508224,lucheng rn rat coronavirus,alphacoronavirus,coronaviridae
11096,2794357,apodemus peninsulae coronavirus,betacoronavirus,coronaviridae
11097,2794357,apodemus peninsulae coronavirus,betacoronavirus,coronaviridae
11155,2050018,rodent coronavirus,,coronaviridae
11156,2050018,rodent coronavirus,,coronaviridae
11157,2050018,rodent coronavirus,,coronaviridae
11324,2050018,rodent coronavirus,,coronaviridae
11325,2050018,rodent coronavirus,,coronaviridae
11390,694014,avian coronavirus,gammacoronavirus,coronaviridae
11391,694014,avian coronavirus,gammacoronavirus,coronaviridae
11392,694014,avian coronavirus,gammacoronavirus,coronaviridae
11393,694014,avian coronavirus,gammacoronavirus,coronaviridae
11394,694014,avian coronavirus,gammacoronavirus,coronaviridae
11450,694003,betacoronavirus 1,betacoronavirus,coronaviridae
11453,694005,murine coronavirus,betacoronavirus,coronaviridae
11454,694005,murine coronavirus,betacoronavirus,coronaviridae
11455,694005,murine coronavirus,betacoronavirus,coronaviridae
11697,694009,severe acute respiratory syndrome-related coronavirus,betacoronavirus,coronaviridae
11719,694014,avian coronavirus,gammacoronavirus,coronaviridae
11720,694014,avian coronavirus,gammacoronavirus,coronaviridae
11721,694014,avian coronavirus,gammacoronavirus,coronaviridae
11722,694014,avian coronavirus,gammacoronavirus,coronaviridae
11723,694014,avian coronavirus,gammacoronavirus,coronaviridae
11724,694014,avian coronavirus,gammacoronavirus,coronaviridae
11725,694014,avian coronavirus,gammacoronavirus,coronaviridae
11726,694014,avian coronavirus,gammacoronavirus,coronaviridae
11727,694014,avian coronavirus,gammacoronavirus,coronaviridae
11789,694014,avian coronavirus,gammacoronavirus,coronaviridae
11790,694014,avian coronavirus,gammacoronavirus,coronaviridae
11791,694014,avian coronavirus,gammacoronavirus,coronaviridae
11792,694014,avian coronavirus,gammacoronavirus,coronaviridae
11793,694014,avian coronavirus,gammacoronavirus,coronaviridae
11794,694014,avian coronavirus,gammacoronavirus,coronaviridae
11795,694014,avian coronavirus,gammacoronavirus,coronaviridae
11796,694014,avian coronavirus,gammacoronavirus,coronaviridae
11797,694014,avian coronavirus,gammacoronavirus,coronaviridae
11798,694014,avian coronavirus,gammacoronavirus,coronaviridae
11799,694014,avian coronavirus,gammacoronavirus,coronaviridae
11800,694014,avian coronavirus,gammacoronavirus,coronaviridae
11801,694014,avian coronavirus,gammacoronavirus,coronaviridae
11802,694014,avian coronavirus,gammacoronavirus,coronaviridae
11803,694014,avian coronavirus,gammacoronavirus,coronaviridae
11804,694014,avian coronavirus,gammacoronavirus,coronaviridae
11818,694014,avian coronavirus,gammacoronavirus,coronaviridae
11819,694014,avian coronavirus,gammacoronavirus,coronaviridae
11820,694014,avian coronavirus,gammacoronavirus,coronaviridae
11821,694014,avian coronavirus,gammacoronavirus,coronaviridae
11822,694014,avian coronavirus,gammacoronavirus,coronaviridae
11823,694014,avian coronavirus,gammacoronavirus,coronaviridae
11824,694014,avian coronavirus,gammacoronavirus,coronaviridae
11860,1911231,deltacoronavirus sp.,deltacoronavirus,coronaviridae
11861,2734510,duck coronavirus 2714,gammacoronavirus,coronaviridae
11862,2163008,gammacoronavirus sp.,gammacoronavirus,coronaviridae
12464,2776968,shorebird deltacoronavirus,deltacoronavirus,coronaviridae
12515,1269312,coronavirus btcov/kp256/art_jam/pan/2010,,coronaviridae
12516,1269312,coronavirus btcov/kp256/art_jam/pan/2010,,coronaviridae
12517,1269313,coronavirus btcov/kp524/art_jam/pan/2010,,coronaviridae
12518,1269313,coronavirus btcov/kp524/art_jam/pan/2010,,coronaviridae
12519,1269315,coronavirus btcov/kp565/art_jam/pan/2010,,coronaviridae
12520,1269315,coronavirus btcov/kp565/art_jam/pan/2010,,coronaviridae
12521,1289549,coronavirus mex_cov-4,alphacoronavirus,coronaviridae
12522,1289549,coronavirus mex_cov-4,alphacoronavirus,coronaviridae
12523,1289549,coronavirus mex_cov-4,alphacoronavirus,coronaviridae
12524,1289550,coronavirus mex_cov-5a,alphacoronavirus,coronaviridae
12525,1289550,coronavirus mex_cov-5a,alphacoronavirus,coronaviridae
12526,1289550,coronavirus mex_cov-5a,alphacoronavirus,coronaviridae
12527,1289551,coronavirus mex_cov-5b,alphacoronavirus,coronaviridae
12528,1289551,coronavirus mex_cov-5b,alphacoronavirus,coronaviridae
12529,1289551,coronavirus mex_cov-5b,alphacoronavirus,coronaviridae
12530,1289551,coronavirus mex_cov-5b,alphacoronavirus,coronaviridae
12531,1289551,coronavirus mex_cov-5b,alphacoronavirus,coronaviridae
12595,1508220,bat coronavirus,,coronaviridae
12596,1508220,bat coronavirus,,coronaviridae
12597,1897067,bat coronavirus art.lit/1816/bra/2010,alphacoronavirus,coronaviridae
12598,1897067,bat coronavirus art.lit/1816/bra/2010,alphacoronavirus,coronaviridae
12599,1897068,bat coronavirus art.lit/2064/bra/2011,betacoronavirus,coronaviridae
12600,1897068,bat coronavirus art.lit/2064/bra/2011,betacoronavirus,coronaviridae
12601,1897069,bat coronavirus art.lit/2294/bra/2012,alphacoronavirus,coronaviridae
12602,1897069,bat coronavirus art.lit/2294/bra/2012,alphacoronavirus,coronaviridae
12604,1269292,coronavirus bcov/pb675/art_lit/pan/2011,,coronaviridae
12605,1269292,coronavirus bcov/pb675/art_lit/pan/2011,,coronaviridae
