Host,Virus,HostTaxID,VirusTaxID,HostNCBIResolved,VirusNCBIResolved,ICTVRatified,HostGenus,HostFamily,HostOrder,HostClass,HostOriginal,VirusGenus,VirusFamily,VirusOrder,VirusClass,VirusOriginal,HostFlagID,DetectionMethod,DetectionOriginal,Database,DatabaseVersion,PublicationYear,ReferenceText,PMID,ReleaseYear,ReleaseMonth,ReleaseDay,CollectionYear,CollectionMonth,CollectionDay,AssocID,DatabaseDOI,NCBIAccession
anas superciliosa,avian coronavirus,45632,694014,True,True,True,anas,anatidae,anseriformes,aves,Anas superciliosa,gammacoronavirus,coronaviridae,nidovirales,pisoniviricetes,Avian coronavirus,False,PCR/Sequencing,GenBank,GenBank,Aug2021FlatFile,,,,2018.0,4.0,19.0,2016.0,12.0,21.0,,,"MG764110.1, MG764111.1, MG764112.1, MG764113.1, MG764114.1, MG764115.1, MG764116.1"
anas superciliosa,deltacoronavirus sp.,45632,1911231,True,True,False,anas,anatidae,anseriformes,aves,Anas superciliosa,deltacoronavirus,coronaviridae,nidovirales,pisoniviricetes,Deltacoronavirus sp.,False,PCR/Sequencing,GenBank,GenBank,Aug2021FlatFile,,,,2018.0,6.0,11.0,2016.0,12.0,,,,"MH013331.1, MH013332.1, MH013333.1, MH013334.1, MH013335.1, MH013336.1, MH013337.1, MH013338.1, MH013339.1"
anas superciliosa,gammacoronavirus sp.,45632,2163008,True,True,False,anas,anatidae,anseriformes,aves,Anas superciliosa,gammacoronavirus,coronaviridae,nidovirales,pisoniviricetes,Gammacoronavirus sp.,False,PCR/Sequencing,GenBank,GenBank,Aug2021FlatFile,,,,2018.0,6.0,11.0,2016.0,12.0,,,,"MG991677.1, MG991678.1, MG991679.1"
anoura caudifer,coronavirus predict cov-12,27642,2042539,True,True,False,anoura,phyllostomidae,chiroptera,mammalia,Anoura caudifer,alphacoronavirus,coronaviridae,nidovirales,pisoniviricetes,Coronavirus PREDICT CoV-12,False,PCR/Sequencing,GenBank,GenBank,Aug2021FlatFile,,,,2017.0,11.0,14.0,2009.0,9.0,28.0,,,"KX285053.1, KX285055.1, KX285788.1, KX285797.1"
anoura geoffroyi,coronavirus btcov/kcr24/ano_geo/crc/2010,148021,1269302,True,True,False,anoura,phyllostomidae,chiroptera,mammalia,Anoura geoffroyi,,coronaviridae,nidovirales,pisoniviricetes,Coronavirus BtCoV/KCR24/Ano_geo/CRC/2010,False,PCR/Sequencing,GenBank,GenBank,Aug2021FlatFile,,,,2013.0,6.0,12.0,2010.0,,,,,JQ731778.1
anoura geoffroyi,coronavirus btcov/kcr289/ano_geo/crc/2010,148021,1269305,True,True,False,anoura,phyllostomidae,chiroptera,mammalia,Anoura geoffroyi,,coronaviridae,nidovirales,pisoniviricetes,Coronavirus BtCoV/KCR289/Ano_geo/CRC/2010,False,PCR/Sequencing,GenBank,GenBank,Aug2021FlatFile,,,,2013.0,6.0,12.0,2010.0,,,,,JQ731775.1
anoura geoffroyi,coronavirus btcov/kcr291/ano_geo/crc/2010,148021,1269306,True,True,False,anoura,phyllostomidae,chiroptera,mammalia,Anoura geoffroyi,,coronaviridae,nidovirales,pisoniviricetes,Coronavirus BtCoV/KCR291/Ano_geo/CRC/2010,False,PCR/Sequencing,GenBank,GenBank,Aug2021FlatFile,,,,2013.0,6.0,12.0,2010.0,,,,,JQ731776.1
anoura geoffroyi,coronavirus btcov/kcr293/ano_geo/crc/2010,148021,1269307,True,True,False,anoura,phyllostomidae,chiroptera,mammalia,Anoura geoffroyi,,coronaviridae,nidovirales,pisoniviricetes,Coronavirus BtCoV/KCR293/Ano_geo/CRC/2010,False,PCR/Sequencing,GenBank,GenBank,Aug2021FlatFile,,,,2013.0,6.0,12.0,2010.0,,,,,JQ731777.1
anser anser,avian coronavirus,8843,694014,True,True,True,anser,anatidae,anseriformes,aves,anser anser,gammacoronavirus,coronaviridae,nidovirales,pisoniviricetes,avian coronavirus,False,PCR/Sequencing,NCBI Nucleotide,EID2,Wardeh et al. 2015 Sci Data,,NCBI Nucleotide,,2004.0,,,,,,153055.0,https://doi.org/10.1038/sdata.2015.49,56311232
anser caerulescens,avian coronavirus,8849,694014,True,True,True,anser,anatidae,anseriformes,aves,anser caerulescens,gammacoronavirus,coronaviridae,nidovirales,pisoniviricetes,avian coronavirus,False,PCR/Sequencing,NCBI Nucleotide,EID2,Wardeh et al. 2015 Sci Data,,NCBI Nucleotide,,2010.0,,,,,,153136.0,https://doi.org/10.1038/sdata.2015.49,295060575
anser cygnoides,anser cygnoides coronavirus,8845,1934040,True,True,False,anser,anatidae,anseriformes,aves,Anser cygnoides,deltacoronavirus,coronaviridae,nidovirales,pisoniviricetes,Anser cygnoides coronavirus,False,PCR/Sequencing,GenBank,GenBank,Aug2021FlatFile,,,,2018.0,1.0,31.0,2013.0,6.0,25.0,,,"KU321643.1, KU321644.1, KU321645.1"
anser cygnoides,avian coronavirus,8845,694014,True,True,True,anser,anatidae,anseriformes,aves,Anser cygnoides,gammacoronavirus,coronaviridae,nidovirales,pisoniviricetes,Avian coronavirus,False,PCR/Sequencing,GenBank,GenBank,Aug2021FlatFile,,,,2019.0,12.0,15.0,2015.0,,,,,MN689139.1
anser fabalis,avian coronavirus,132587,694014,True,True,True,anser,anatidae,anseriformes,aves,Anser fabalis,gammacoronavirus,coronaviridae,nidovirales,pisoniviricetes,Avian coronavirus,False,PCR/Sequencing,GenBank,GenBank,Aug2021FlatFile,,,,2014.0,7.0,12.0,2009.0,12.0,16.0,,,"KJ690954.1, KJ690955.1, KJ690960.1, KJ690961.1, KJ690969.1, KJ690970.1"
antrozous dubiaquercus,coronavirus mex_cov-1,249033,1289544,True,True,False,antrozous,vespertilionidae,chiroptera,mammalia,Bauerus dubiaquercus,alphacoronavirus,coronaviridae,nidovirales,pisoniviricetes,PREDICT_CoV-1,False,PCR/Sequencing,PREDICT,PREDICT,March92021FlatFile,,,,2021.0,3.0,9.0,2010.0,7.0,1.0,,,KC117186
antrozous dubiaquercus,coronavirus mex_cov-5a,249033,1289550,True,True,False,antrozous,vespertilionidae,chiroptera,mammalia,Bauerus dubiaquercus,alphacoronavirus,coronaviridae,nidovirales,pisoniviricetes,PREDICT_CoV-5,False,PCR/Sequencing,PREDICT,PREDICT,March92021FlatFile,,,,2021.0,3.0,9.0,2009.0,6.0,1.0,,,KC117188
apodemus agrarius,china rattus coronavirus hku24,39030,2501960,True,True,True,apodemus,muridae,rodentia,mammalia,Apodemus agrarius,betacoronavirus,coronaviridae,nidovirales,pisoniviricetes,China Rattus coronavirus HKU24,False,PCR/Sequencing,GenBank,GenBank,Aug2021FlatFile,,,,2020.0,10.0,6.0,2014.0,,,,,MT820630.1
apodemus agrarius,coronavirus rcov/ks11_0997/apo_agr/ger/2011,39030,1679909,True,True,False,apodemus,muridae,rodentia,mammalia,Apodemus agrarius,,coronaviridae,nidovirales,pisoniviricetes,Coronavirus RCoV/KS11_0997/Apo_agr/GER/2011,False,PCR/Sequencing,GenBank,GenBank,Aug2021FlatFile,,,,2016.0,10.0,31.0,2011.0,,,,,KM888160.1
apodemus agrarius,coronavirus rcov/rmu10_620/apo_agr/ger/2010,39030,1679920,True,True,False,apodemus,muridae,rodentia,mammalia,Apodemus agrarius,,coronaviridae,nidovirales,pisoniviricetes,Coronavirus RCoV/RMU10_620/Apo_agr/GER/2010,False,PCR/Sequencing,GenBank,GenBank,Aug2021FlatFile,,,,2016.0,10.0,31.0,2010.0,,,,,KM888164.1
apodemus agrarius,longquan aa mouse coronavirus,39030,1508222,True,True,False,apodemus,muridae,rodentia,mammalia,Apodemus agrarius,betacoronavirus,coronaviridae,nidovirales,pisoniviricetes,Longquan Aa mouse coronavirus,False,PCR/Sequencing,GenBank,GenBank,Aug2021FlatFile,,,,2014.0,10.0,30.0,2011.0,,,,,"KF294346.1, KF294347.1, KF294349.1, KF294351.1, KF294355.1, KF294356.1, KF294357.1"
apodemus agrarius,rodent coronavirus,39030,2050018,True,True,False,apodemus,muridae,rodentia,mammalia,Apodemus agrarius,,coronaviridae,nidovirales,pisoniviricetes,Rodent coronavirus,False,PCR/Sequencing,GenBank,GenBank,Aug2021FlatFile,,,,2017.0,12.0,31.0,2014.0,12.0,,,,KY370061.1
apodemus chevrieri,china rattus coronavirus hku24,129246,2501960,True,True,True,apodemus,muridae,rodentia,mammalia,Apodemus chevrieri,betacoronavirus,coronaviridae,nidovirales,pisoniviricetes,China Rattus coronavirus HKU24,False,PCR/Sequencing,GenBank,GenBank,Aug2021FlatFile,,,,2020.0,10.0,6.0,2014.0,,,,,"MT820629.1, MW011458.1, MW011459.1, MW011462.1, MW011463.1, MW011464.1, MW011465.1, MW011466.1, MW011467.1, MW011468.1"
apodemus chevrieri,coronavirus accov-jc34,129246,1964806,True,True,False,apodemus,muridae,rodentia,mammalia,Apodemus chevrieri,alphacoronavirus,coronaviridae,nidovirales,pisoniviricetes,Coronavirus AcCoV-JC34,False,PCR/Sequencing,GenBank,GenBank,Aug2021FlatFile,,,,2017.0,5.0,31.0,2011.0,10.0,,,,KX964649.1
apodemus chevrieri,coronavirus jc02,129246,1964807,True,True,False,apodemus,muridae,rodentia,mammalia,Apodemus chevrieri,,coronaviridae,nidovirales,pisoniviricetes,Coronavirus JC02,False,PCR/Sequencing,GenBank,GenBank,Aug2021FlatFile,,,,2017.0,10.0,31.0,2011.0,10.0,,,,KX964653.1
apodemus chevrieri,coronavirus jc66,129246,1964810,True,True,False,apodemus,muridae,rodentia,mammalia,Apodemus chevrieri,,coronaviridae,nidovirales,pisoniviricetes,Coronavirus JC66,False,PCR/Sequencing,GenBank,GenBank,Aug2021FlatFile,,,,2017.0,10.0,31.0,2011.0,10.0,,,,KX964651.1
apodemus chevrieri,coronavirus jc81,129246,1964811,True,True,False,apodemus,muridae,rodentia,mammalia,Apodemus chevrieri,,coronaviridae,nidovirales,pisoniviricetes,Coronavirus JC81,False,PCR/Sequencing,GenBank,GenBank,Aug2021FlatFile,,,,2017.0,10.0,31.0,2011.0,10.0,,,,KX964652.1
apodemus chevrieri,lucheng rn rat coronavirus,129246,1508224,True,True,True,apodemus,muridae,rodentia,mammalia,Apodemus chevrieri,alphacoronavirus,coronaviridae,nidovirales,pisoniviricetes,Lucheng Rn rat coronavirus,False,PCR/Sequencing,GenBank,GenBank,Aug2021FlatFile,,,,2020.0,10.0,6.0,2014.0,,,,,"MW011447.1, MW011448.1, MW011449.1, MW011450.1, MW011451.1, MW011453.1, MW011454.1"
apodemus draco,rodent coronavirus,129247,2050018,True,True,False,apodemus,muridae,rodentia,mammalia,Apodemus draco,,coronaviridae,nidovirales,pisoniviricetes,Rodent coronavirus,False,PCR/Sequencing,GenBank,GenBank,Aug2021FlatFile,,,,2017.0,12.0,31.0,2014.0,12.0,,,,KY370072.1
apodemus flavicollis,coronavirus rcov/d_rmu10_1087/apo_fla/ger/2010,54292,1679884,True,True,False,apodemus,muridae,rodentia,mammalia,Apodemus flavicollis,,coronaviridae,nidovirales,pisoniviricetes,Coronavirus RCoV/D_RMU10_1087/Apo_fla/GER/2010,False,PCR/Sequencing,GenBank,GenBank,Aug2021FlatFile,,,,2016.0,10.0,31.0,2010.0,,,,,KM888159.1
apodemus flavicollis,coronavirus rcov/rmu10_3052/apo_fla/ger/2010,54292,1679917,True,True,False,apodemus,muridae,rodentia,mammalia,Apodemus flavicollis,,coronaviridae,nidovirales,pisoniviricetes,Coronavirus RCoV/RMU10_3052/Apo_fla/GER/2010,False,PCR/Sequencing,GenBank,GenBank,Aug2021FlatFile,,,,2016.0,10.0,31.0,2010.0,,,,,KM888158.1
apodemus flavicollis,coronavirus rcov/rmu10_3147/apo_fla/ger/2010,54292,1679918,True,True,False,apodemus,muridae,rodentia,mammalia,Apodemus flavicollis,,coronaviridae,nidovirales,pisoniviricetes,Coronavirus RCoV/RMU10_3147/Apo_fla/GER/2010,False,PCR/Sequencing,GenBank,GenBank,Aug2021FlatFile,,,,2016.0,10.0,31.0,2010.0,,,,,KM888157.1
apodemus ilex,coronavirus jc30,256595,1964808,True,True,False,apodemus,muridae,rodentia,mammalia,Apodemus ilex,,coronaviridae,nidovirales,pisoniviricetes,Coronavirus JC30,False,PCR/Sequencing,GenBank,GenBank,Aug2021FlatFile,,,,2017.0,10.0,31.0,2011.0,10.0,,,,KX964650.1
apodemus latronum,china rattus coronavirus hku24,214933,2501960,True,True,True,apodemus,muridae,rodentia,mammalia,Apodemus latronum,betacoronavirus,coronaviridae,nidovirales,pisoniviricetes,China Rattus coronavirus HKU24,False,PCR/Sequencing,GenBank,GenBank,Aug2021FlatFile,,,,2020.0,10.0,6.0,2015.0,,,,,"MT820628.1, MW011460.1"
apodemus latronum,lucheng rn rat coronavirus,214933,1508224,True,True,True,apodemus,muridae,rodentia,mammalia,Apodemus latronum,alphacoronavirus,coronaviridae,nidovirales,pisoniviricetes,Lucheng Rn rat coronavirus,False,PCR/Sequencing,GenBank,GenBank,Aug2021FlatFile,,,,2020.0,10.0,6.0,2014.0,,,,,MW011446.1
apodemus peninsulae,apodemus peninsulae coronavirus,105297,2794357,True,True,False,apodemus,muridae,rodentia,mammalia,Apodemus peninsulae,betacoronavirus,coronaviridae,nidovirales,pisoniviricetes,Apodemus peninsulae coronavirus,False,PCR/Sequencing,GenBank,GenBank,Aug2021FlatFile,,,,2020.0,12.0,12.0,2019.0,7.0,,,,MT430884.1
apodemus peninsulae,rodent coronavirus,105297,2050018,True,True,False,apodemus,muridae,rodentia,mammalia,Apodemus peninsulae,,coronaviridae,nidovirales,pisoniviricetes,Rodent coronavirus,False,PCR/Sequencing,GenBank,GenBank,Aug2021FlatFile,,,,2017.0,12.0,31.0,2014.0,12.0,,,,KY370047.1
apodemus sylvaticus,rodent coronavirus,10129,2050018,True,True,False,apodemus,muridae,rodentia,mammalia,Apodemus sylvaticus,,coronaviridae,nidovirales,pisoniviricetes,Rodent coronavirus,False,PCR/Sequencing,GenBank,GenBank,Aug2021FlatFile,,,,2017.0,12.0,31.0,2015.0,9.0,,,,KY370067.1
aptenodytes patagonicus,avian coronavirus,9234,694014,True,True,True,aptenodytes,spheniscidae,sphenisciformes,aves,aptenodytes patagonicus,gammacoronavirus,coronaviridae,nidovirales,pisoniviricetes,avian coronavirus,False,PCR/Sequencing,NCBI Nucleotide,EID2,Wardeh et al. 2015 Sci Data,,NCBI Nucleotide,,2010.0,,,,,,153301.0,https://doi.org/10.1038/sdata.2015.49,283510348
ara ararauna,betacoronavirus 1,9226,694003,True,True,True,ara,psittacidae,psittaciformes,aves,Ara ararauna,betacoronavirus,coronaviridae,nidovirales,pisoniviricetes,Betacoronavirus 1,False,PCR/Sequencing,GenBank,GenBank,Aug2021FlatFile,,,,2015.0,8.0,10.0,2009.0,,,,,KP965428.1
ardea cinerea,avian coronavirus,30390,694014,True,True,True,ardea,ardeidae,pelecaniformes,aves,ardea cinerea,gammacoronavirus,coronaviridae,nidovirales,pisoniviricetes,avian coronavirus,False,PCR/Sequencing,NCBI Nucleotide,EID2,Wardeh et al. 2015 Sci Data,,NCBI Nucleotide,,2011.0,,,,,,153385.0,https://doi.org/10.1038/sdata.2015.49,353444952
ardeola bacchus,avian coronavirus,188375,694014,True,True,True,ardeola,ardeidae,pelecaniformes,aves,ardeola bacchus,gammacoronavirus,coronaviridae,nidovirales,pisoniviricetes,avian coronavirus,False,PCR/Sequencing,NCBI Nucleotide,EID2,Wardeh et al. 2015 Sci Data,,NCBI Nucleotide,,2011.0,,,,,,153431.0,https://doi.org/10.1038/sdata.2015.49,353445030
arenaria interpres,avian coronavirus,54971,694014,True,True,True,arenaria,scolopacidae,charadriiformes,aves,Arenaria interpres,gammacoronavirus,coronaviridae,nidovirales,pisoniviricetes,Avian coronavirus,False,PCR/Sequencing,GenBank,GenBank,Aug2021FlatFile,,,,2018.0,4.0,19.0,2016.0,11.0,18.0,,,"MG764134.1, MG764135.1, MG764136.1, MG764137.1, MG764138.1, MG764139.1, MG764140.1, MG764141.1"
arenaria interpres,deltacoronavirus sp.,54971,1911231,True,True,False,arenaria,scolopacidae,charadriiformes,aves,Arenaria interpres,deltacoronavirus,coronaviridae,nidovirales,pisoniviricetes,Deltacoronavirus sp.,False,PCR/Sequencing,GenBank,GenBank,Aug2021FlatFile,,,,2018.0,4.0,13.0,2016.0,11.0,18.0,,,MH090081.1
arenaria interpres,duck coronavirus 2714,54971,2734510,True,True,True,arenaria,scolopacidae,charadriiformes,aves,Arenaria interpres,gammacoronavirus,coronaviridae,nidovirales,pisoniviricetes,Duck coronavirus 2714,False,PCR/Sequencing,GenBank,GenBank,Aug2021FlatFile,,,,2021.0,7.0,14.0,2015.0,,,,,MT993597.1
arenaria interpres,gammacoronavirus sp.,54971,2163008,True,True,False,arenaria,scolopacidae,charadriiformes,aves,Arenaria interpres,gammacoronavirus,coronaviridae,nidovirales,pisoniviricetes,Gammacoronavirus sp.,False,PCR/Sequencing,GenBank,GenBank,Aug2021FlatFile,,,,2018.0,4.0,13.0,2016.0,11.0,19.0,,,MH090080.1
arenaria interpres,shorebird deltacoronavirus,54971,2776968,True,True,False,arenaria,scolopacidae,charadriiformes,aves,Arenaria interpres,deltacoronavirus,coronaviridae,nidovirales,pisoniviricetes,Shorebird deltacoronavirus,False,PCR/Sequencing,GenBank,GenBank,Aug2021FlatFile,,,,2021.0,7.0,14.0,2014.0,,,,,MT993565.1
artibeus jamaicensis,coronavirus btcov/kp256/art_jam/pan/2010,9417,1269312,True,True,False,artibeus,phyllostomidae,chiroptera,mammalia,Artibeus jamaicensis,,coronaviridae,nidovirales,pisoniviricetes,Coronavirus BtCoV/KP256/Art_jam/PAN/2010,False,PCR/Sequencing,GenBank,GenBank,Aug2021FlatFile,,,,2013.0,6.0,12.0,2010.0,,,,,JQ731784.1
artibeus jamaicensis,coronavirus btcov/kp524/art_jam/pan/2010,9417,1269313,True,True,False,artibeus,phyllostomidae,chiroptera,mammalia,Artibeus jamaicensis,,coronaviridae,nidovirales,pisoniviricetes,Coronavirus BtCoV/KP524/Art_jam/PAN/2010,False,PCR/Sequencing,GenBank,GenBank,Aug2021FlatFile,,,,2013.0,6.0,12.0,2010.0,,,,,JQ731785.1
artibeus jamaicensis,coronavirus btcov/kp565/art_jam/pan/2010,9417,1269315,True,True,False,artibeus,phyllostomidae,chiroptera,mammalia,Artibeus jamaicensis,,coronaviridae,nidovirales,pisoniviricetes,Coronavirus BtCoV/KP565/Art_jam/PAN/2010,False,PCR/Sequencing,GenBank,GenBank,Aug2021FlatFile,,,,2013.0,6.0,12.0,2010.0,,,,,JQ731786.1
artibeus jamaicensis,coronavirus mex_cov-4,9417,1289549,True,True,False,artibeus,phyllostomidae,chiroptera,mammalia,Artibeus jamaicensis,alphacoronavirus,coronaviridae,nidovirales,pisoniviricetes,Coronavirus Mex_CoV-4,False,PCR/Sequencing,GenBank,GenBank,Aug2021FlatFile,,,,2013.0,2.0,10.0,2010.0,8.0,,,,KC117194.1
artibeus jamaicensis,coronavirus mex_cov-5a,9417,1289550,True,True,False,artibeus,phyllostomidae,chiroptera,mammalia,Artibeus jamaicensis,alphacoronavirus,coronaviridae,nidovirales,pisoniviricetes,Coronavirus Mex_CoV-5a,False,PCR/Sequencing,GenBank,GenBank,Aug2021FlatFile,,,,2013.0,2.0,10.0,2010.0,7.0,,,,KC117188.1
artibeus jamaicensis,coronavirus mex_cov-5b,9417,1289551,True,True,False,artibeus,phyllostomidae,chiroptera,mammalia,Artibeus jamaicensis,alphacoronavirus,coronaviridae,nidovirales,pisoniviricetes,Coronavirus Mex_CoV-5b,False,PCR/Sequencing,GenBank,GenBank,Aug2021FlatFile,,,,2013.0,2.0,10.0,2010.0,10.0,,,,KC117202.1
artibeus lituratus,bat coronavirus,27634,1508220,True,True,False,artibeus,phyllostomidae,chiroptera,mammalia,Artibeus lituratus,,coronaviridae,nidovirales,pisoniviricetes,Bat coronavirus,False,PCR/Sequencing,GenBank,GenBank,Aug2021FlatFile,,,,2021.0,1.0,2.0,2012.0,,,,,MN872695.1
artibeus lituratus,bat coronavirus art.lit/1816/bra/2010,27634,1897067,True,True,False,artibeus,phyllostomidae,chiroptera,mammalia,Artibeus lituratus,alphacoronavirus,coronaviridae,nidovirales,pisoniviricetes,Bat coronavirus Art.lit/1816/BRA/2010,False,PCR/Sequencing,GenBank,GenBank,Aug2021FlatFile,,,,2016.0,9.0,5.0,2010.0,,,,,KT717380.1
artibeus lituratus,bat coronavirus art.lit/2064/bra/2011,27634,1897068,True,True,False,artibeus,phyllostomidae,chiroptera,mammalia,Artibeus lituratus,betacoronavirus,coronaviridae,nidovirales,pisoniviricetes,Bat coronavirus Art.lit/2064/BRA/2011,False,PCR/Sequencing,GenBank,GenBank,Aug2021FlatFile,,,,2016.0,9.0,5.0,2011.0,,,,,KT717381.1
artibeus lituratus,bat coronavirus art.lit/2294/bra/2012,27634,1897069,True,True,False,artibeus,phyllostomidae,chiroptera,mammalia,Artibeus lituratus,alphacoronavirus,coronaviridae,nidovirales,pisoniviricetes,Bat coronavirus Art.lit/2294/BRA/2012,False,PCR/Sequencing,GenBank,GenBank,Aug2021FlatFile,,,,2016.0,9.0,5.0,2012.0,,,,,KT717382.1
artibeus lituratus,coronavirus bcov/pb675/art_lit/pan/2011,27634,1269292,True,True,False,artibeus,phyllostomidae,chiroptera,mammalia,Artibeus lituratus,,coronaviridae,nidovirales,pisoniviricetes,Coronavirus BCoV/PB675/Art_lit/PAN/2011,False,PCR/Sequencing,GenBank,GenBank,Aug2021FlatFile,,,,2013.0,6.0,12.0,2011.0,,,,,JQ731788.1
artibeus lituratus,coronavirus btcov/kp534/art_lit/pan/2010,27634,1269314,True,True,False,artibeus,phyllostomidae,chiroptera,mammalia,Artibeus lituratus,,coronaviridae,nidovirales,pisoniviricetes,Coronavirus BtCoV/KP534/Art_lit/PAN/2010,False,PCR/Sequencing,GenBank,GenBank,Aug2021FlatFile,,,,2013.0,6.0,12.0,2010.0,,,,,JQ731787.1
artibeus lituratus,coronavirus mex_cov-11a,27634,1289546,True,True,False,artibeus,phyllostomidae,chiroptera,mammalia,Artibeus lituratus,betacoronavirus,coronaviridae,nidovirales,pisoniviricetes,Coronavirus Mex_CoV-11a,False,PCR/Sequencing,GenBank,GenBank,Aug2021FlatFile,,,,2013.0,2.0,10.0,2010.0,10.0,,,,KC117207.1
