GSE,Title,PMID,Summary,Design,Experiment_type,Platform,Contributors,Organization_name,Country,Sample,Status,Submission_date,Last_update_date
GSE239750,Integrated BATF transcriptional network regulates suppressive intratumoral regulatory T cells,,"Human regulatory T cells (Tregs) are crucial regulators of tissue repair, autoimmune diseases, and cancer. However, it is challenging to inhibit the suppressive function of Tregs for cancer therapy, without impacting immune homeostasis. Identifying pathways that may distinguish tumor-restricted Tregs is important, yet the transcriptional programs that control intratumoral Treg gene expression, and that are distinct from Tregs in healthy tissues, remain largely unknown. We profiled single-cell transcriptomes of CD4+ T cells in tumors and peripheral blood from patients with head and neck squamous cell carcinomas (HNSCC), in non-tumor tonsil tissues and in peripheral blood from healthy donors. We identified a subpopulation of activated Tregs expressing multiple tumor necrosis factor receptor (TNFR) genes (TNFR+ Tregs) that is highly enriched in the tumor microenvironment (TME) compared with non-tumor tissue and the periphery. TNFR+ Tregs are associated with worse prognosis in HNSCC and across multiple solid tumor types. Mechanistically, the transcription factor BATF is a central component of a gene regulatory network that governs key aspects of TNFR+ Tregs. CRISPR/Cas9-mediated BATF knockout in human activated Tregs in conjunction with bulk RNA sequencing, immunophenotyping and in vitro functional assays, corroborated the central role of BATF in limiting excessive activation and promoting the survival of human activated Tregs. Finally, we identified a suite of surface molecules reflective of the BATF-driven transcriptional network on intratumoral Tregs in patients with HNSCC. These findings uncover a primary transcriptional regulator of highly suppressive intratumoral Tregs, highlighting potential opportunities for therapeutic intervention in cancer without impacting immune homeostasis.","We leveraged single-cell RNA sequencing (scRNA-seq) technology to provide a detailed view on the heterogeneity of Tregs in the TME by profiling CD4+ T cells from tumors and peripheral blood mononuclear cells (PBMC) taken from patients with HNSCC, and comparing them to CD4+ T cells isolated from inflamed tonsil tissues from patients with tonsilitis, and from non-inflamed tonsil tissues from patients with sleep apnea and to healthy donor (HD) PBMC. To dissect the phenotypic and functional effects of BATF in human activated Tregs, we performed RNA-seq of BATF KO activated Tregs and scrambled controls from six cord blood samples.",Expression profiling by high throughput sequencing,NextSeq 550 (Homo sapiens),Shan F;Cillo AR;Cardello C;Pennathur A;Luketich JD;Kirkwood JM;Bruno TC;Vignali DA,4126943757,USA,GSM7670880;GSM7670881;GSM7670882;GSM7670883;GSM7670884;GSM7670885;GSM7670886;GSM7670887;GSM7670888;GSM7670889;GSM7670890;GSM7670891;GSM7670892;GSM7670893;GSM7670894;GSM7670895;GSM7670896;GSM7670897;GSM7670898;GSM7670899;GSM7670900;GSM7670901;GSM7670902;GSM7670903;GSM7670904;GSM7670905;GSM7670906;GSM7670907;GSM7670908;GSM7670909;GSM7670910;GSM7670911;GSM7670912;GSM7670913;GSM7670914;GSM7670915;GSM7670916,"Aug 03, 2023","Aug 01, 2023","Aug 03, 2023"
GSE214865,Single-cell RNAseq uncovers cellular heterogeneity and provides a signature for pediatric sleep apnea ,36356973,"Obstructive Sleep Apnea (OSA) is a highly prevalent disease and a major cause of systemic inflammation leading to neurocognitive, behavioral, metabolic, and cardiovascular dysfunction in children and adults. However, the impact of OSA on the heterogeneity of circulating immune cells remains to be determined. scRNA-seq demonstrated OSA-induced heterogeneity in cellular composition and enabled the identification of previously undescribed cell types in PBMCs.","The OSA group consisted of 11 patients who were polysomnographically diagnosed with OSA (Apnea Hypopnea Index (AHI) >5 events/hour sleep). The Control group consisted of 11 asymptomatic individuals without OSA (AHI < 1 events/hour sleep). Participants were recruited from individuals undergoing PSG due to suspected OSA at the Pediatic Sleep Clinics at the University of Missouri. Inclusion criteria were 2-16 years of age; male and female, all ethnic groups and all BMIs. Exclusion criteria were individuals younger than 2 years and older than 16 years of age, presence of genetic disorders: cerebral palsy, neuromuscular diseases, genetic or any underlying systemic congenital disease.",Expression profiling by high throughput sequencing,Illumina NovaSeq 6000 (Homo sapiens),Cortese R;Adams TS;Cataldo KH;Hummel J;Kaminski N;Kheirandish-Gozal L;Gozal D,Child Health Research Institute,USA,GSM6616991;GSM6616992;GSM6616993;GSM6616994;GSM6616995;GSM6616996;GSM6616997;GSM6616998;GSM6616999;GSM6617000;GSM6617001;GSM6617002;GSM6617003;GSM6617004;GSM6617005;GSM6617006;GSM6617007;GSM6617008;GSM6617009;GSM6617010;GSM6617011;GSM6617012,"Aug 03, 2023","Oct 05, 2022","Aug 04, 2023"
GSE237779,Tumor-associated monocytes promote mesenchymal transformation through EGFR signaling in glioma,37652019,"The role of brain immune compartments in glioma evolution remains elusive. We profiled immune cells in glioma microenvironment and the matched peripheral blood from 11 patients at a single-cell level. Notably, glioblastoma exhibits specific infiltration of certain blood-originated monocytes expressing EGFR ligands including EREG and AREG, coined as tumor-associated monocytes (TAMo). TAMo infiltration is mutually exclusive with EGFR alterations (P = 0.019), while co-occurring with mesenchymal subtype (P = 4.7x10-7) and marking worse prognosis (P = 0.004 and 0.032 in two independent cohorts). Evolutionary analysis of initial-recurrent glioma pairs and single-cell study of a multi-centric glioblastoma reveals remarkable association between elevated TAMo and glioma mesenchymal transformation. Further analysis identifies FOSL2 as a master regulator of TAMo. The roles of FOSL2-EREG/AREG-EGFR signaling axis in promoting glioma invasion were verified experimentally. Collectively, we have identified TAMo in tumor microenvironment and revealed its driving role in activating EGFR signaling to shape glioma evolution.","The GB or peripheral blood cell suspension was loaded into Chromium microfluidic chips with 3’ (v3) chemistry and barcoded with a 10× Chromium Controller (10X Genomics). RNA from the barcoded cells was subsequently reverse-transcribed and sequencing libraries constructed with reagents from a Chromium Single Cell 3’ (v3) reagent kit (10X Genomics) according to the manufacturer’s recommendations. Sequencing was performed with Illumina (NovaSeq) according to the manufacturer’s recommendations (Illumina).-----Authors state:We are currently unable to deposit the raw data due to privacy concerns, but will have the raw data available once we obtain permission from our institutions.Please contact the submitter directly regarding access to raw data on a case-by-case basis.",Expression profiling by high throughput sequencing,Illumina NovaSeq 6000 (Homo sapiens),Cao Y;Wang J;Chen Y,HKUST,China,GSM7652068;GSM7652069;GSM7652070;GSM7652072;GSM7652073;GSM7652074;GSM7652075;GSM7652077;GSM7652078;GSM7652079;GSM7652080,"Aug 01, 2023","Jul 19, 2023","Sep 19, 2023"
GSE234352,Tumor-reactive clonotype dynamics dictate clinical response to TIL therapy in melanoma [TCR-Seq],,"Adoptive cell therapy (ACT) using tumor-infiltrating lymphocytes (TILs) is effective in cancer patients, yet the profiles, specificity and dynamics of tumor clonotypes remain opaque. Using single-cell RNA/TCR-sequencing, clonotypes were tracked from baseline tumors to ACT products (ACTP) and post-ACT blood and tumor samples from 13 metastatic melanoma patients (NCT03475134). Furthermore, a predictor of tumor-reactive clonotypes was derived from the transcriptomic profiles of tumor-specific or bystander clones. Patients with clinical responses had tumors enriched in tumor-reactive TILs, preferentially expanding in-vitro to generate larger and more tumoricidal products and preferentially re-infiltrating tumors post-ACT. Conversely, lack of responses was associated with tumors devoid of tumor-reactive clonotypes and with cell products mostly composed of blood-borne clonotypes. The exhaustion state characterizing intratumoral tumor-reactive TILs was attenuated during in-vitro expansion and restored after tumor re-engraftment only in responders. Thus, tumor-reactive clonotypes drive clinical response to TIL therapy, providing insight to select patients or improve TILs’ culture.","Bulk TCR repertoire of longitudinal blood, tumor and expanded TIL products of melanoma patients receiving TIL-ACT.",Other,Illumina MiSeq (Homo sapiens),Chiffelle J;Genolet R;Harari A;Coukos G,Centre hospitalier universitaire vaudois,Switzerland,GSM7465525;GSM7465526;GSM7465527;GSM7465528;GSM7465529;GSM7465530;GSM7465531;GSM7465532;GSM7465533;GSM7465534;GSM7465535;GSM7465536;GSM7465537;GSM7465538;GSM7465539;GSM7465540;GSM7465541;GSM7465542;GSM7465543;GSM7465544;GSM7465545;GSM7465546;GSM7465547;GSM7465548;GSM7465549;GSM7465550;GSM7465551;GSM7465552;GSM7465553;GSM7465554;GSM7465555;GSM7465556;GSM7465557;GSM7465558;GSM7465559;GSM7465560;GSM7465561;GSM7465562;GSM7465563;GSM7465564;GSM7465565;GSM7465566;GSM7465567;GSM7465568;GSM7465569;GSM7465570;GSM7465571;GSM7465572;GSM7465573;GSM7465574;GSM7465575;GSM7465576;GSM7465577;GSM7465578;GSM7465579;GSM7465580;GSM7465581;GSM7465582;GSM7465583;GSM7465584;GSM7465585;GSM7465586;GSM7465587,"Aug 01, 2023","Jun 07, 2023","Aug 02, 2023"
GSE218936,Single Cell Analysis Identifies Conserved Features of Immune Dysfunction in Simulated Microgravity and Spaceflight [scRNA-Seq],,"Microgravity is associated with immunological dysfunction, though the underlying mechanisms are poorly understood. Here, using single cell analysis of human peripheral blood mononuclear cells (PBMC)s exposed to short term (25 hours) simulated microgravity, we characterize altered genes and pathways across immune cells under basal and stimulated states with a Toll like Receptor-7/8 agonist. At basal state, simulated microgravity altered the transcriptional landscape across immune cells, with monocyte subsets showing most pathway changes. Remarkably, short term simulated microgravity was sufficient to increase endogenous retroviral and mycobacterial transcripts. Under stimulation in simulated microgravity, nearly all immune cells demonstrated differences in functional pathways. Results from single cell analysis were validated against additional PBMC samples, including by RNA sequencing and super-resolution microscopy, and against data from the Inspiration-4 (i4) mission, JAXA6 mission, Twins study, and spleens from mice housed on the international space station. Combined results show significant impacts of microgravity on pathways essential for optimal immunity, including the cytoskeleton, interferon signaling, pyroptosis, temperature-shock, nuclear receptors, IL-6 signaling, HIF1α, and sirtuin signaling. Using machine learning, we identified numerous compounds linking microgravity to immune cell transcription, and demonstrate that the flavonol, quercetin, can reverse most abnormal pathways. These results offer insight into maladaptation of the immune system in microgravity, and provide opportunities to develop countermeasures that maintain normal immunity in space.",Comparative gene expression profiling analysis of RNA-seq data for PBMCs under basal and stimulated states with a Toll like Receptor-7/8 agonist in simulated microgravity and normal gravity.,Expression profiling by high throughput sequencing,Illumina NovaSeq 6000 (Homo sapiens),Wu F;Du Z;Furman D;Winer D,Buck Institute for Research on Aging,USA,GSM6760291;GSM6760292;GSM6760293;GSM6760294;GSM6760295;GSM6760296;GSM6760297;GSM6760298,"Aug 01, 2023","Nov 28, 2022","Aug 01, 2023"
GSE218935,Single Cell Analysis Identifies Conserved Features of Immune Dysfunction in Simulated Microgravity and Spaceflight [RNA-Seq],,"Microgravity is associated with immunological dysfunction, though the underlying mechanisms are poorly understood. Here, using single cell analysis of human peripheral blood mononuclear cells (PBMC)s exposed to short term (25 hours) simulated microgravity, we characterize altered genes and pathways across immune cells under basal and stimulated states with a Toll like Receptor-7/8 agonist. At basal state, simulated microgravity altered the transcriptional landscape across immune cells, with monocyte subsets showing most pathway changes. Remarkably, short term simulated microgravity was sufficient to increase endogenous retroviral and mycobacterial transcripts. Under stimulation in simulated microgravity, nearly all immune cells demonstrated differences in functional pathways. Results from single cell analysis were validated against additional PBMC samples, including by RNA sequencing and super-resolution microscopy, and against data from the Inspiration-4 (i4) mission, JAXA6 mission, Twins study, and spleens from mice housed on the international space station. Combined results show significant impacts of microgravity on pathways essential for optimal immunity, including the cytoskeleton, interferon signaling, pyroptosis, temperature-shock, nuclear receptors, IL-6 signaling, HIF1α, and sirtuin signaling. Using machine learning, we identified numerous compounds linking microgravity to immune cell transcription, and demonstrate that the flavonol, quercetin, can reverse most abnormal pathways. These results offer insight into maladaptation of the immune system in microgravity, and provide opportunities to develop countermeasures that maintain normal immunity in space.",Comparative gene expression profiling analysis of RNA-seq data for PBMCs under basal and quercetin treatment in simulated microgravity and normal gravity.,Expression profiling by high throughput sequencing,Illumina NovaSeq 6000 (Homo sapiens),Wu F;Du Z;Furman D;Winer D,Buck Institute for Research on Aging,USA,GSM6760279;GSM6760280;GSM6760281;GSM6760282;GSM6760283;GSM6760284;GSM6760285;GSM6760286;GSM6760287;GSM6760288;GSM6760289;GSM6760290,"Aug 01, 2023","Nov 28, 2022","Aug 01, 2023"
GSE229431,Single-cell RNA sequencing reveals the transcriptomic characteristics of peripheral blood mononuclear cells in hepatitis B vaccine non-responders,,"The emergence of a vaccine against hepatitis B has proven to be an importantmilestone in the prevention of this disease; however, 5%–10% of vaccinatedindividuals do not generate an immune response to the vaccine, and itsmolecular mechanism has not been clarified. In this study, single-cell RNAsequencing was performed on peripheral blood mononuclear cells (PBMCs)from three volunteers with a high immune response (HR) and three with noimmune response (NR) to the hepatitis B vaccine. We found that the antigenpresenting activity scores of various antigen-presenting cells, the mitogenactivated protein kinase (MAPK) pathway activity scores of naive B cells, and the cell activity scores of three types of effector T cells were significantlydecreased, whereas the cytotoxicity scores of CD3highCD16lowKLRG1highnatural killer T (NKT) cells were significantly increased in the NR groupcompared with those in the HR group. Additionally, the expression levels ofsome classical molecules associated with distinct signaling pathways—includingHLA-B, HLA-DRB5, BLNK, BLK, IL4R, SCIMP, JUN, CEBPB, NDFIP1, and TXNIP—were significantly reduced in corresponding subsets of PBMCs from the NRgroup relative to those of the HR group. Furthermore, the expression of severalcytotoxicity-related effector molecules, such as GNLY, NKG7, GZMB, GZMM,KLRC1, KLRD1, PRF1, CST7, and CTSW, was significantly higher inCD3highCD16lowKLRG1high NKT cells derived from non-responders. Our study provides a molecular basis for the lack of response to the hepatitis B vaccine,including defective antigen presentation, decreased T cell activity, and reducedIL-4 secretion, as well as novel insight into the role of NKT cells in the immuneresponse to the hepatitis B vaccine.","Single-cell RNA sequencing was performed on peripheral blood mononuclear cells (PBMC) from 6 volunteers without any disease, including 3 volunteers with high immune response (HR) to hepatitis B vaccine (HBsAb >1000 mIU /ml) and 3 volunteers with no immune response (NR) to hepatitis B vaccine (HBsAb<10mIU/ml). HBsAb testing and sample collection were performed 1 month after hepatitis B vaccination according to the 0 , 1 , and 6 month schedule.",Expression profiling by high throughput sequencing,Illumina NovaSeq 6000 (Homo sapiens),Zhao M;Wang C;Li P;Sun T;Wang J;Zhang S;Ma Q;Ma F;Shi W;Shi M;Ma Y;Pan Y;Zhang H;Xie X,The first people's hospital of Lan Zhou,China,GSM7163458;GSM7163459;GSM7163460;GSM7163461;GSM7163462;GSM7163463,"Jul 30, 2023","Apr 11, 2023","Jul 31, 2023"
GSE239293,Metabolic Programs of T Cell Tissue Residency Empower Tumor Immunity [Human scRNA-seq],37648857,"Tissue-resident memory CD8 T cells (TRM) offer fast, robust, and long-term protection at sites of re-infection1. Tumor-infiltrating lymphocytes (TIL) with characteristics of TRM maintain enhanced effector functions, predict responses to immunotherapy, and accompany better prognoses2,3. Thus, an improved understanding of the metabolic strategies that enable tissue residency could inform new approaches to empower T cell responses in tissues and solid tumors. To systematically define the basis for the metabolic reprogramming supporting TRM differentiation, survival, and function, we leveraged in vivo functional genomics, untargeted metabolomics, and transcriptomics of virus-specific memory CD8 T cell populations. We found that memory CD8 T cells deployed a range of adaptations to tissue residency, including a marked reliance on non-steroidal products of the mevalonate/cholesterol pathway, such as Coenzyme Q (CoQ), driven by increased activity of the transcription factor Srebp2. This metabolic adaptation was most pronounced in the small intestine (SI), where TRM interface with dietary cholesterol and maintain a heightened state of activation4, and was shared by functional TIL in diverse tumor types in mice and humans. Enforcing CoQ synthesis through Fdft1 deletion or Pdss2 overexpression promoted mitochondrial respiration, memory formation upon viral infection, and enhanced antitumor immunity. In sum, through a systematic exploration of TRM metabolism, we reveal how these programs can be leveraged to empower CD8 T cell memory formation in the context of acute infections and enhance antitumor immunity.","Single-cell RNA-seq of immune cell from 5 human donors, profiled in the same human study contained in GSE125527.",Expression profiling by high throughput sequencing,Illumina HiSeq 4000 (Homo sapiens),Reina-Campos M;Goldrath AW;Chang JT;Boland BS,UCSD,USA,GSM7662895;GSM7662896;GSM7662897;GSM7662898;GSM7662899;GSM7662900;GSM7662901;GSM7662902;GSM7662903;GSM7662904;GSM7662905;GSM7662906;GSM7662907,"Jul 28, 2023","Jul 26, 2023","Sep 08, 2023"
GSE217010,Identification of human exTregs as CD16+CD56+ cytotoxic CD4+ T cells.,,"In chronic inflammatory diseases with an autoimmune component like atherosclerosis, some  regulatory T cells (Tregs) lose their regulatory function and become exTregs. The present study  was designed to identify surface markers specific of human exTregs, using an integrated  approach from sorted mouse exTregs bulk RNA-Seq to human scRNA-Seq with CITE-Seq, to  sort human exTregs and characterize them by transcriptome and function. We crossed inducible  Treg lineage tracker mice (FoxP3-eGFP-Cre-ERT2 ROSA26CAG-fl-stop-fl-tdTomato) to  atherosclerosis-prone Apoe -/- mice, sorted Tregs and exTregs from lymph nodes and spleens of  replicate mice and determined their transcriptomes by bulk RNA sequencing (RNA-Seq). A  support vector machine (SVM) approach identified the leading signature genes for exTregs as  CST7, NKG7, GZMA, PRF1, TBX21 and CCL4. Projecting these genes onto feature maps of  human PBMC single cell (sc)RNA-Seq with CITE-Seq from 61 subjects with and without  atherosclerosis showed that CST7, NKG7, GZMA, PRF1, TBX21 and CCL4 mapped to CD4 T  cells that expressed CD56 and CD16. This finding was validated in a second, independent  scRNA- and CITE-Seq dataset. Even in healthy volunteers, a subpopulation of CD4 T cells  expressed both CD56 and CD16. Bulk RNA-Seq identified these cells as cytotoxic CD4 T cells,  which was functionally confirmed in a cell killing assay. DNA sequencing for TCRβ showed  clonal expansion of Treg CDR3 sequences in CD16 + CD56 + exTregs. Taken together, we identify  mouse and human exTregs as cytotoxic CD4 T cells.",Low input bulk RNA-seq of on sorted cells from Mus musculus and Homo sapiens,Expression profiling by high throughput sequencing,Illumina NovaSeq 6000 (Mus musculus),Freuchet A;Armstrong SS;Roy P;Makings J;Wang E;Durant CP;Ali AJ;Ghosheh Y;Gulati R;Ley K,La Jolla Institute for Immunology,USA,GSM6703499;GSM6703500;GSM6703501;GSM6703502;GSM6703503;GSM6703504;GSM6703505;GSM6703506;GSM6703507;GSM6703508;GSM6703509;GSM6703510;GSM6703511;GSM6703512;GSM6703513;GSM6703514;GSM6703515;GSM6703516;GSM6703517;GSM6703518;GSM6703519;GSM6703520;GSM6703521;GSM6703522;GSM6703523;GSM6703524;GSM6703525;GSM6703526;GSM6703527;GSM6703528;GSM6703529;GSM6703530;GSM6703531;GSM6703532;GSM6703533;GSM6703534;GSM6703535;GSM6703536;GSM6703537;GSM6703538;GSM6703539;GSM6703540;GSM6703541;GSM6703542;GSM6703543;GSM6703544;GSM6703545;GSM6703546;GSM6703547;GSM6703548;GSM6703549;GSM6703550;GSM6703551;GSM6703552;GSM6703553;GSM6703554,"Jul 25, 2023","Nov 01, 2022","Jul 25, 2023"
GSE224579,Scalable single-cell profiling of chromatin modifications with sciCUT&Tag,,"Cleavage Under Targets & Tagmentation (CUT&Tag) is an antibody-directed in situ chromatin profiling strategy that is rapidly replacing precipitation-based methods. The efficiency of the method enabled chromatin profiling in single cells but is limited by the numbers of cells that can be profiled.  Here, we describe a combinatorial barcoding strategy for CUT&Tag that harnesses a nanowell dispenser for simple, high-resolution high-throughput single-cell chromatin profiling. We describe a pipeline for single-cell indexed CUT&Tag (sciCUT&Tag) that uses SNPs to facilitate doublet-cell removal and minimize batch effects. We illustrate the optimized protocol by analysis of mouse and human cell lines, as well as human peripheral blood mononuclear cells. We have also used sciCUT&Tag for simultaneous profiling of multiple chromatin epitopes in single cells. The reduced cost, improved resolution and scalability of sciCUT&Tag make it an attractive platform to profile chromatin features in single cells.","We used Cleavage under targets and Tagmentation (Cut-and-Tag), a chromatin profiling strategy in which antibody-targeted controlled integration of DNA sequencing adapters produces libraries for paired-end DNA sequencing.",Genome binding/occupancy profiling by high throughput sequencing,NextSeq 2000 (Homo sapiens),Greene J;Janssens DH;Wu SJ;Codomo CA;Minot S;Furlan SN;Ahmad K;Henikoff S,206-667-4850,USA,GSM7026602;GSM7026603;GSM7026604;GSM7026605;GSM7026606;GSM7026607;GSM7026608;GSM7026609;GSM7026610;GSM7026611;GSM7026612;GSM7026613;GSM7026614;GSM7026615;GSM7026616;GSM7026617;GSM7026618;GSM7026619;GSM7026620;GSM7026621;GSM7026622;GSM7026623;GSM7026624;GSM7026625;GSM7026626;GSM7026627;GSM7026628;GSM7026629;GSM7026630;GSM7026631;GSM7026632;GSM7026633;GSM7026634;GSM7026635,"Jul 13, 2023","Feb 06, 2023","Jul 14, 2023"
GSE194078,AXL+SIGLEC6+ dendritic cells in cerebrospinal fluid and brain tissues of patients with autoimmune inflammatory demyelinating disease of CNS,37414380,"Inflammatory demyelinating disease of the CNS (IDD) is a heterogeneous group of autoimmune diseases, and multiple sclerosis is the most common type. Dendritic cells (DCs), major antigen-presenting cells, have been proposed to play a central role in the pathogenesis of IDD. The AXL+SIGLEC6+ DC (ASDC) has been only recently identified in humans and has a high capability of T cell activation. Nevertheless, its contribution to CNS autoimmunity remains still obscure. Here, we aimed to identify the ASDC in diverse sample types from IDD patients and experimental autoimmune encephalomyelitis (EAE). A detailed analysis of DC subpopulations using single-cell transcriptomics for the paired cerebrospinal fluid (CSF) and blood samples of IDD patients (total n = 9) revealed that three subtypes of DCs (ASDCs, ACY3+ DCs, and LAMP3+ DCs) were overrepresented in CSF compared with their paired blood. Among these DCs, ASDCs were also more abundant in CSF of IDD patients than in controls, manifesting poly-adhesional and stimulatory characteristics. In the brain biopsied tissues of IDD patients, obtained at the acute attack of disease, ASDC were also frequently found in close contact with T cells. Lastly, the frequency of ASDC was found to be temporally more abundant in acute attack of disease both in CSF samples of IDD patients and in tissues of EAE, an animal model for CNS autoimmunity. Our analysis suggests that the ASDC might be involved in the pathogenesis of CNS autoimmunity.",We have generated a single-cell transcriptome dataset for paired cerebrospinal fluid and PBMC samples from 9 Inflammatory demyelinating disease patients and 2 healthy controls without inflammatory disease of the central nervous system.,Expression profiling by high throughput sequencing,HiSeq X Ten (Homo sapiens),Kim S;Choi S;Kim M,Korea Advanced Institute of Science and Technology,South Korea,GSM5827375;GSM5827376;GSM5827377;GSM5827378;GSM5827379;GSM5827380;GSM5827381;GSM5827382;GSM5827383;GSM5827384;GSM5827385;GSM5827386;GSM5827387;GSM5827388;GSM5827389;GSM5827390;GSM5827391;GSM5827392;GSM5827393;GSM5827394;GSM5827395;GSM5827396,"Jul 10, 2023","Jan 20, 2022","Jul 11, 2023"
GSE219098,Tracking B Cell Responses to the SARS-CoV-2 mRNA-1273 Vaccine,37440409,"The COVID-19 pandemic left an unprecedented social and economic impact on the world. This rapidly evolving global instigated a worldwide effort to develop an effective vaccine. Despite the generation of a protective antibody response in most individuals after two doses of an anti-spike mRNA vaccine, some studies have shown that a poorer response is elicited in some individuals, particularly those that are immunocompromised or elderly. To gain further insight into the cellular mechanisms driving B cell evolution in response to vaccination against SARS-CoV-2, we performed longitudinal single-cell transcriptomic, epitope sequencing (CITE-seq), and repertoire profiling of three COVID-19 vaccinees. Spike-specific (S-2P+) B cells showed early immune activation at v1D14 (14 days after vaccine dose 1) and accumulation of somatic hyper mutation (SHM) up to v2M6 (months 6). At v2D6, the S-2P+ cells expanded into memory B cell (MBC) cluster 5 with a dynamic kinetics over time. At v2M6, majority of S-2P+ cells were into resting memory (RM) subset within cluster 5. Analysis of B cell receptor (BCR) repertoire showed selection of genes commonly detected in neutralizing monoclonal antibodies from COVID-19 patients. Tracking of S-2P+ B cell response showed clonal association between earlier activated CD38+ memory, as well as tissue-like memory, with RM B cells at v2M6. These clones showed evolving signal with progressive accumulation of SHM over time. The presence of early plasmablast (PB) within these clones corroborates our previous report that associates PB response with sustained immunity. This integrated analysis allowed us to characterize the transcriptional activity underpinning the development of B cells involved in inducing an immune response to the COVID-19 vaccine.","B cells of COVID-uninfected individuals who received Moderna mRNA-1273 vaccine were isolated from thawed cryopreserved PBMC. Spike-specific and non-specific B cells, and total plasmablast were sorted. Cells from all individuals were pooled evenly before cell sorting. Multiple cell pools were prepared, such that cells from the same donors but different time points were in different pools. After cell sorting, cell pools were Fc blocked, CITE-seq and hashtag stained with custom TotalSeq-C cocktail antibodies. Single-cell gene expression (GEX), cell surface protein (ADT) and B cell receptor (BCR) libraries were prepared as instructed by 10x Genomics Single Cell Immune Profiling kit v.2 user guide and sequenced on Illumina NovaSeq 6000 platform. Cells from each donor were demultiplexed in silico using donor-specific single nucleotide polymorphism (SNP) information collected during data analysis. Data were analyzed using Seurat package in R.",Expression profiling by high throughput sequencing,Illumina NovaSeq 6000 (Homo sapiens),Assis F;Hoehn K;Zhang X;El Merhebi O;Kardava L;Smith C;Buckner CM;Wang W;Chen V;Schaughency P;Cheung F;Lack J;Kleinstein S;Moir S,NIH,USA,GSM6771450;GSM6771451;GSM6771452;GSM6771453;GSM6771454;GSM6771455;GSM6771456;GSM6771457;GSM6771458;GSM6771459;GSM6771460;GSM6771461;GSM6771462;GSM6771463;GSM6771464;GSM6771465;GSM6771466;GSM6771467;GSM6771468;GSM6771469;GSM6771470;GSM6771471;GSM6771472;GSM6771473;GSM6771474;GSM6771475;GSM6771476;GSM6771477;GSM6771478;GSM6771479;GSM6771480;GSM6771481;GSM6771482;GSM6771483;GSM6771484;GSM6771485;GSM6771486;GSM6771487;GSM6771488;GSM6771489;GSM6771490;GSM6771491;GSM6771492;GSM6771493;GSM6771494;GSM6771495;GSM6771496;GSM6771497;GSM6771498;GSM6771499;GSM6771500;GSM6771501;GSM6771502;GSM6771503;GSM6771504;GSM6771505;GSM6771506;GSM6771507;GSM6771508;GSM6771509;GSM6771510;GSM6771511;GSM6771512;GSM6771513;GSM6771514;GSM6771515;GSM6771516;GSM6771517;GSM6771518;GSM6771519;GSM6771520;GSM6771521;GSM6771522;GSM6771523;GSM6771524;GSM6771525;GSM6771526;GSM6771527;GSM6771528;GSM6771529;GSM6771530,"Jul 07, 2023","Nov 30, 2022","Oct 03, 2023"
GSE234505,Single cell RNAseq of peripheral blood mononuclear cells from children with mitochondrial disease,37483601,"Mitochondria are nearly ubiquitous in all cells, suggesting that mitochondrial dysfunction may extend to the immune system.  In this study, we utilized Single-Cell RNA sequencing (scRNA-seq) to characterize cellular heterogeneity and the pathologic underpinnings of mitochondrial disease in peripheral blood mononuclear cells from pediatric patients. Transcriptomes of individual cells from affected and healthy tissue samples revealed marked reductions in select populations involved in the humoral immune response, especially antigen presenting cells, B cell and plasma populations, with sparing of T cell populations. MTRNR2L8, a marker of bioenergetic stress, was significantly elevated in populations that were most depleted. mir4485, a miRNA contained in the intron of MTRNR2L8, was co-expressed. mir4485 was found to have a role in promoting survival by modulating apoptosis. The results highlight distinct molecular phenotypes and identify previously unrecognized in mitochondrial diseases.",Case-control single cell RNAseqcontributor: NISC Comparative Sequencing Program>>>Submitter states: Raw data not available due to patient privacy concerns. Raw data will be submitted to dbGaP.<<<,Expression profiling by high throughput sequencing,Illumina NovaSeq 6000 (Homo sapiens),McGuire PJ;Banerjee P,NHGRI,USA,GSM7469838;GSM7469839;GSM7469840;GSM7469841;GSM7469842;GSM7469843;GSM7469844;GSM7469845,"Jul 06, 2023","Jun 08, 2023","Sep 12, 2023"
