PMID,DOI,Title,Abstract,Author 1st,Affiliation 1st,Journel,Publication time
34062119,10.1016/j.cell.2021.04.048,"The simultaneous measurement of multiple modalities represents an exciting frontier for single-cell genomics and necessitates computational methods that can define cellular states based on multimodal data. Here, we introduce ""weighted-nearest neighbor"" analysis, an unsupervised framework to learn the relative utility of each data type in each cell, enabling an integrative analysis of multiple modalities. We apply our procedure to a CITE-seq dataset of 211,000 human peripheral blood mononuclear cells (PBMCs) with panels extending to 228 antibodies to construct a multimodal reference atlas of the circulating immune system. Multimodal analysis substantially improves our ability to resolve cell states, allowing us to identify and validate previously unreported lymphoid subpopulations. Moreover, we demonstrate how to leverage this reference to rapidly map new datasets and to interpret immune responses to vaccination and coronavirus disease 2019 (COVID-19). Our approach represents a broadly applicable strategy to analyze single-cell multimodal datasets and to look beyond the transcriptome toward a unified and multimodal definition of cellular identity.","The simultaneous measurement of multiple modalities represents an exciting frontier for single-cell genomics and necessitates computational methods that can define cellular states based on multimodal data. Here, we introduce ""weighted-nearest neighbor"" analysis, an unsupervised framework to learn the relative utility of each data type in each cell, enabling an integrative analysis of multiple modalities. We apply our procedure to a CITE-seq dataset of 211,000 human peripheral blood mononuclear cells (PBMCs) with panels extending to 228 antibodies to construct a multimodal reference atlas of the circulating immune system. Multimodal analysis substantially improves our ability to resolve cell states, allowing us to identify and validate previously unreported lymphoid subpopulations. Moreover, we demonstrate how to leverage this reference to rapidly map new datasets and to interpret immune responses to vaccination and coronavirus disease 2019 (COVID-19). Our approach represents a broadly applicable strategy to analyze single-cell multimodal datasets and to look beyond the transcriptome toward a unified and multimodal definition of cellular identity.","Hao, Yuhan","Center for Genomics and Systems Biology, New York University, New York, NY 10003, USA; New York Genome Center, New York, NY 10013, USA.",Cell,2021 Jun 24
35169146,10.1038/s41467-022-28505-3,"SARS-CoV-2 triggers a complex systemic immune response in circulating blood mononuclear cells. The relationship between immune cell activation of the peripheral compartment and survival in critical COVID-19 remains to be established. Here we use single-cell RNA sequencing and Cellular Indexing of Transcriptomes and Epitomes by sequence mapping to elucidate cell type specific transcriptional signatures that associate with and predict survival in critical COVID-19. Patients who survive infection display activation of antibody processing, early activation response, and cell cycle regulation pathways most prominent within B-, T-, and NK-cell subsets. We further leverage cell specific differential gene expression and machine learning to predict mortality using single cell transcriptomes. We identify interferon signaling and antigen presentation pathways within cDC2 cells, CD14 monocytes, and CD16 monocytes as predictors of mortality with 90% accuracy. Finally, we validate our findings in an independent transcriptomics dataset and provide a framework to elucidate mechanisms that promote survival in critically ill COVID-19 patients. Identifying prognostic indicators among critical COVID-19 patients holds tremendous value in risk stratification and clinical management.","SARS-CoV-2 triggers a complex systemic immune response in circulating blood mononuclear cells. The relationship between immune cell activation of the peripheral compartment and survival in critical COVID-19 remains to be established. Here we use single-cell RNA sequencing and Cellular Indexing of Transcriptomes and Epitomes by sequence mapping to elucidate cell type specific transcriptional signatures that associate with and predict survival in critical COVID-19. Patients who survive infection display activation of antibody processing, early activation response, and cell cycle regulation pathways most prominent within B-, T-, and NK-cell subsets. We further leverage cell specific differential gene expression and machine learning to predict mortality using single cell transcriptomes. We identify interferon signaling and antigen presentation pathways within cDC2 cells, CD14 monocytes, and CD16 monocytes as predictors of mortality with 90% accuracy. Finally, we validate our findings in an independent transcriptomics dataset and provide a framework to elucidate mechanisms that promote survival in critically ill COVID-19 patients. Identifying prognostic indicators among critical COVID-19 patients holds tremendous value in risk stratification and clinical management.","Amrute, Junedh M","Department of Medicine, Washington University School of Medicine, St. Louis, MO, 63110, USA.",Nat Commun,2022 Feb 15
34558746,10.1002/JLB.5MA0721-825R,"Systemic infections, especially in patients with chronic diseases, may result in sepsis: an explosive, uncoordinated immune response that can lead to multisystem organ failure with a high mortality rate. Patients with similar clinical phenotypes or sepsis biomarker expression upon diagnosis may have different outcomes, suggesting that the dynamics of sepsis is critical in disease progression. A within-subject study of patients with Gram-negative bacterial sepsis with surviving and fatal outcomes was designed and single-cell transcriptomic analyses of peripheral blood mononuclear cells (PBMC) collected during the critical period between sepsis diagnosis and 6 h were performed. The single-cell observations in the study are consistent with trends from public datasets but also identify dynamic effects in individual cell subsets that change within hours. It is shown that platelet and erythroid precursor responses are drivers of fatal sepsis, with transcriptional signatures that are shared with severe COVID-19 disease. It is also shown that hypoxic stress is a driving factor in immune and metabolic dysfunction of monocytes and erythroid precursors. Last, the data support CD52 as a prognostic biomarker and therapeutic target for sepsis as its expression dynamically increases in lymphocytes and correlates with improved sepsis outcomes. In conclusion, this study describes the first single-cell study that analyzed short-term temporal changes in the immune cell populations and their characteristics in surviving or fatal sepsis. Tracking temporal expression changes in specific cell types could lead to more accurate predictions of sepsis outcomes and identify molecular biomarkers and pathways that could be therapeutically controlled to improve the sepsis trajectory toward better outcomes.","Systemic infections, especially in patients with chronic diseases, may result in sepsis: an explosive, uncoordinated immune response that can lead to multisystem organ failure with a high mortality rate. Patients with similar clinical phenotypes or sepsis biomarker expression upon diagnosis may have different outcomes, suggesting that the dynamics of sepsis is critical in disease progression. A within-subject study of patients with Gram-negative bacterial sepsis with surviving and fatal outcomes was designed and single-cell transcriptomic analyses of peripheral blood mononuclear cells (PBMC) collected during the critical period between sepsis diagnosis and 6 h were performed. The single-cell observations in the study are consistent with trends from public datasets but also identify dynamic effects in individual cell subsets that change within hours. It is shown that platelet and erythroid precursor responses are drivers of fatal sepsis, with transcriptional signatures that are shared with severe COVID-19 disease. It is also shown that hypoxic stress is a driving factor in immune and metabolic dysfunction of monocytes and erythroid precursors. Last, the data support CD52 as a prognostic biomarker and therapeutic target for sepsis as its expression dynamically increases in lymphocytes and correlates with improved sepsis outcomes. In conclusion, this study describes the first single-cell study that analyzed short-term temporal changes in the immune cell populations and their characteristics in surviving or fatal sepsis. Tracking temporal expression changes in specific cell types could lead to more accurate predictions of sepsis outcomes and identify molecular biomarkers and pathways that could be therapeutically controlled to improve the sepsis trajectory toward better outcomes.","Qiu, Xinru","Graduate Program in Genetics, Genomics and Bioinformatics, University of California Riverside, Riverside, California, USA.",J Leukoc Biol,2021 Dec
33811047,10.1158/2159-8290.CD-20-0555,"Disruption of splicing patterns due to mutations of genes coding splicing factors in tumors represents a potential source of tumor neoantigens, which would be both public (shared between patients) and tumor-specific (not expressed in normal tissues). In this study, we show that mutations of the splicing factor SF3B1 in uveal melanoma generate such immunogenic neoantigens. Memory CD8(+) T cells specific for these neoantigens are preferentially found in 20% of patients with uveal melanoma bearing SF3B1-mutated tumors. Single-cell analyses of neoepitope-specific T cells from the blood identified large clonal T-cell expansions, with distinct effector transcription patterns. Some of these expanded T-cell receptors are also present in the corresponding tumors. CD8(+) T-cell clones specific for the neoepitopes specifically recognize and kill SF3B1-mutated tumor cells, supporting the use of this new family of neoantigens as therapeutic targets. SIGNIFICANCE: Mutations of the splicing factor SF3B1 in uveal melanoma generate shared neoantigens that are uniquely expressed by tumor cells, leading to recognition and killing by specific CD8 T cells. Mutations in splicing factors can be sources of new therapeutic strategies applicable to diverse tumors.This article is highlighted in the In This Issue feature, p. 1861.","Disruption of splicing patterns due to mutations of genes coding splicing factors in tumors represents a potential source of tumor neoantigens, which would be both public (shared between patients) and tumor-specific (not expressed in normal tissues). In this study, we show that mutations of the splicing factor SF3B1 in uveal melanoma generate such immunogenic neoantigens. Memory CD8(+) T cells specific for these neoantigens are preferentially found in 20% of patients with uveal melanoma bearing SF3B1-mutated tumors. Single-cell analyses of neoepitope-specific T cells from the blood identified large clonal T-cell expansions, with distinct effector transcription patterns. Some of these expanded T-cell receptors are also present in the corresponding tumors. CD8(+) T-cell clones specific for the neoepitopes specifically recognize and kill SF3B1-mutated tumor cells, supporting the use of this new family of neoantigens as therapeutic targets. SIGNIFICANCE: Mutations of the splicing factor SF3B1 in uveal melanoma generate shared neoantigens that are uniquely expressed by tumor cells, leading to recognition and killing by specific CD8 T cells. Mutations in splicing factors can be sources of new therapeutic strategies applicable to diverse tumors.This article is highlighted in the In This Issue feature, p. 1861.","Bigot, Jeremy","INSERM U932, PSL University, Institut Curie, Paris, France.",Cancer Discov,2021 Aug
35108339,10.1371/journal.ppat.1010282,"Immunization with radiation-attenuated sporozoites (RAS) can confer sterilizing protection against malaria, although the mechanisms behind this protection are incompletely understood. We performed a systems biology analysis of samples from the Immunization by Mosquito with Radiation Attenuated Sporozoites (IMRAS) trial, which comprised P. falciparum RAS-immunized (PfRAS), malaria-naive participants whose protection from malaria infection was subsequently assessed by controlled human malaria infection (CHMI). Blood samples collected after initial PfRAS immunization were analyzed to compare immune responses between protected and non-protected volunteers leveraging integrative analysis of whole blood RNA-seq, high parameter flow cytometry, and single cell CITEseq of PBMCs. This analysis revealed differences in early innate immune responses indicating divergent paths associated with protection. In particular, elevated levels of inflammatory responses early after the initial immunization were detrimental for the development of protective adaptive immunity. Specifically, non-classical monocytes and early type I interferon responses induced within 1 day of PfRAS vaccination correlated with impaired immunity. Non-protected individuals also showed an increase in Th2 polarized T cell responses whereas we observed a trend towards increased Th1 and T-bet+ CD8 T cell responses in protected individuals. Temporal differences in genes associated with natural killer cells suggest an important role in immune regulation by these cells. These findings give insight into the immune responses that confer protection against malaria and may guide further malaria vaccine development. Trial registration: ClinicalTrials.gov NCT01994525.","Immunization with radiation-attenuated sporozoites (RAS) can confer sterilizing protection against malaria, although the mechanisms behind this protection are incompletely understood. We performed a systems biology analysis of samples from the Immunization by Mosquito with Radiation Attenuated Sporozoites (IMRAS) trial, which comprised P. falciparum RAS-immunized (PfRAS), malaria-naive participants whose protection from malaria infection was subsequently assessed by controlled human malaria infection (CHMI). Blood samples collected after initial PfRAS immunization were analyzed to compare immune responses between protected and non-protected volunteers leveraging integrative analysis of whole blood RNA-seq, high parameter flow cytometry, and single cell CITEseq of PBMCs. This analysis revealed differences in early innate immune responses indicating divergent paths associated with protection. In particular, elevated levels of inflammatory responses early after the initial immunization were detrimental for the development of protective adaptive immunity. Specifically, non-classical monocytes and early type I interferon responses induced within 1 day of PfRAS vaccination correlated with impaired immunity. Non-protected individuals also showed an increase in Th2 polarized T cell responses whereas we observed a trend towards increased Th1 and T-bet+ CD8 T cell responses in protected individuals. Temporal differences in genes associated with natural killer cells suggest an important role in immune regulation by these cells. These findings give insight into the immune responses that confer protection against malaria and may guide further malaria vaccine development. Trial registration: ClinicalTrials.gov NCT01994525.","Du, Ying","Center for Global Infectious Disease Research, Seattle Children's Research Institute, Seattle, Washington, United States of America.",PLoS Pathog,2022 Feb 2
30718356,10.1158/1078-0432.CCR-18-3309,"PURPOSE: Cutaneous T-cell lymphomas (CTCL), encompassing a spectrum of T-cell lymphoproliferative disorders involving the skin, have collectively increased in incidence over the last 40 years. Sezary syndrome is an aggressive form of CTCL characterized by significant presence of malignant cells in both the blood and skin. The guarded prognosis for Sezary syndrome reflects a lack of reliably effective therapy, due, in part, to an incomplete understanding of disease pathogenesis. EXPERIMENTAL DESIGN: Using single-cell sequencing of RNA and the machine-learning reverse graph embedding approach in the Monocle package, we defined a model featuring distinct transcriptomic states within Sezary syndrome. Gene expression used to differentiate the unique transcriptional states were further used to develop a boosted tree classification for early versus late CTCL disease. RESULTS: Our analysis showed the involvement of FOXP3 (+) malignant T cells during clonal evolution, transitioning from FOXP3 (+) T cells to GATA3 (+) or IKZF2 (+) (HELIOS) tumor cells. Transcriptomic diversities in a clonal tumor can be used to predict disease stage, and we were able to characterize a gene signature that predicts disease stage with close to 80% accuracy. FOXP3 was found to be the most important factor to predict early disease in CTCL, along with another 19 genes used to predict CTCL stage. CONCLUSIONS: This work offers insight into the heterogeneity of Sezary syndrome, providing better understanding of the transcriptomic diversities within a clonal tumor. This transcriptional heterogeneity can predict tumor stage and thereby offer guidance for therapy.","PURPOSE: Cutaneous T-cell lymphomas (CTCL), encompassing a spectrum of T-cell lymphoproliferative disorders involving the skin, have collectively increased in incidence over the last 40 years. Sezary syndrome is an aggressive form of CTCL characterized by significant presence of malignant cells in both the blood and skin. The guarded prognosis for Sezary syndrome reflects a lack of reliably effective therapy, due, in part, to an incomplete understanding of disease pathogenesis. EXPERIMENTAL DESIGN: Using single-cell sequencing of RNA and the machine-learning reverse graph embedding approach in the Monocle package, we defined a model featuring distinct transcriptomic states within Sezary syndrome. Gene expression used to differentiate the unique transcriptional states were further used to develop a boosted tree classification for early versus late CTCL disease. RESULTS: Our analysis showed the involvement of FOXP3 (+) malignant T cells during clonal evolution, transitioning from FOXP3 (+) T cells to GATA3 (+) or IKZF2 (+) (HELIOS) tumor cells. Transcriptomic diversities in a clonal tumor can be used to predict disease stage, and we were able to characterize a gene signature that predicts disease stage with close to 80% accuracy. FOXP3 was found to be the most important factor to predict early disease in CTCL, along with another 19 genes used to predict CTCL stage. CONCLUSIONS: This work offers insight into the heterogeneity of Sezary syndrome, providing better understanding of the transcriptomic diversities within a clonal tumor. This transcriptional heterogeneity can predict tumor stage and thereby offer guidance for therapy.","Borcherding, Nicholas","Department of Pathology, University of Iowa, College of Medicine, Iowa City, Iowa.",Clin Cancer Res,2019 May 15
35064122,10.1038/s41467-021-27716-4,"Dysregulated immune responses against the SARS-CoV-2 virus are instrumental in severe COVID-19. However, the immune signatures associated with immunopathology are poorly understood. Here we use multi-omics single-cell analysis to probe the dynamic immune responses in hospitalized patients with stable or progressive course of COVID-19, explore V(D)J repertoires, and assess the cellular effects of tocilizumab. Coordinated profiling of gene expression and cell lineage protein markers shows that S100A(hi)/HLA-DR(lo) classical monocytes and activated LAG-3(hi) T cells are hallmarks of progressive disease and highlights the abnormal MHC-II/LAG-3 interaction on myeloid and T cells, respectively. We also find skewed T cell receptor repertories in expanded effector CD8(+) clones, unmutated IGHG(+) B cell clones, and mutated B cell clones with stable somatic hypermutation frequency over time. In conclusion, our in-depth immune profiling reveals dyssynchrony of the innate and adaptive immune interaction in progressive COVID-19.","Dysregulated immune responses against the SARS-CoV-2 virus are instrumental in severe COVID-19. However, the immune signatures associated with immunopathology are poorly understood. Here we use multi-omics single-cell analysis to probe the dynamic immune responses in hospitalized patients with stable or progressive course of COVID-19, explore V(D)J repertoires, and assess the cellular effects of tocilizumab. Coordinated profiling of gene expression and cell lineage protein markers shows that S100A(hi)/HLA-DR(lo) classical monocytes and activated LAG-3(hi) T cells are hallmarks of progressive disease and highlights the abnormal MHC-II/LAG-3 interaction on myeloid and T cells, respectively. We also find skewed T cell receptor repertories in expanded effector CD8(+) clones, unmutated IGHG(+) B cell clones, and mutated B cell clones with stable somatic hypermutation frequency over time. In conclusion, our in-depth immune profiling reveals dyssynchrony of the innate and adaptive immune interaction in progressive COVID-19.","Unterman, Avraham","Section of Pulmonary, Critical Care and Sleep Medicine, Department of Internal Medicine, School of Medicine, Yale University, New Haven, CT, USA. ramiu@tlvmc.gov.il.",Nat Commun,2022 Jan 21
33713619,10.1016/j.cell.2021.02.018,"COVID-19 exhibits extensive patient-to-patient heterogeneity. To link immune response variation to disease severity and outcome over time, we longitudinally assessed circulating proteins as well as 188 surface protein markers, transcriptome, and T cell receptor sequence simultaneously in single peripheral immune cells from COVID-19 patients. Conditional-independence network analysis revealed primary correlates of disease severity, including gene expression signatures of apoptosis in plasmacytoid dendritic cells and attenuated inflammation but increased fatty acid metabolism in CD56(dim)CD16(hi) NK cells linked positively to circulating interleukin (IL)-15. CD8(+) T cell activation was apparent without signs of exhaustion. Although cellular inflammation was depressed in severe patients early after hospitalization, it became elevated by days 17-23 post symptom onset, suggestive of a late wave of inflammatory responses. Furthermore, circulating protein trajectories at this time were divergent between and predictive of recovery versus fatal outcomes. Our findings stress the importance of timing in the analysis, clinical monitoring, and therapeutic intervention of COVID-19.","COVID-19 exhibits extensive patient-to-patient heterogeneity. To link immune response variation to disease severity and outcome over time, we longitudinally assessed circulating proteins as well as 188 surface protein markers, transcriptome, and T cell receptor sequence simultaneously in single peripheral immune cells from COVID-19 patients. Conditional-independence network analysis revealed primary correlates of disease severity, including gene expression signatures of apoptosis in plasmacytoid dendritic cells and attenuated inflammation but increased fatty acid metabolism in CD56(dim)CD16(hi) NK cells linked positively to circulating interleukin (IL)-15. CD8(+) T cell activation was apparent without signs of exhaustion. Although cellular inflammation was depressed in severe patients early after hospitalization, it became elevated by days 17-23 post symptom onset, suggestive of a late wave of inflammatory responses. Furthermore, circulating protein trajectories at this time were divergent between and predictive of recovery versus fatal outcomes. Our findings stress the importance of timing in the analysis, clinical monitoring, and therapeutic intervention of COVID-19.","Liu, Can","Multiscale Systems Biology Section, Laboratory of Immune System Biology, NIAID, NIH, Bethesda, MD 20892, USA; Graduate Program in Biological Sciences, University of Maryland, College Park, MD 20742, USA.",Cell,2021 Apr 1
32051003,10.1186/s13059-020-1949-z,"BACKGROUND: Many functional analysis tools have been developed to extract functional and mechanistic insight from bulk transcriptome data. With the advent of single-cell RNA sequencing (scRNA-seq), it is in principle possible to do such an analysis for single cells. However, scRNA-seq data has characteristics such as drop-out events and low library sizes. It is thus not clear if functional TF and pathway analysis tools established for bulk sequencing can be applied to scRNA-seq in a meaningful way. RESULTS: To address this question, we perform benchmark studies on simulated and real scRNA-seq data. We include the bulk-RNA tools PROGENy, GO enrichment, and DoRothEA that estimate pathway and transcription factor (TF) activities, respectively, and compare them against the tools SCENIC/AUCell and metaVIPER, designed for scRNA-seq. For the in silico study, we simulate single cells from TF/pathway perturbation bulk RNA-seq experiments. We complement the simulated data with real scRNA-seq data upon CRISPR-mediated knock-out. Our benchmarks on simulated and real data reveal comparable performance to the original bulk data. Additionally, we show that the TF and pathway activities preserve cell type-specific variability by analyzing a mixture sample sequenced with 13 scRNA-seq protocols. We also provide the benchmark data for further use by the community. CONCLUSIONS: Our analyses suggest that bulk-based functional analysis tools that use manually curated footprint gene sets can be applied to scRNA-seq data, partially outperforming dedicated single-cell tools. Furthermore, we find that the performance of functional analysis tools is more sensitive to the gene sets than to the statistic used.","BACKGROUND: Many functional analysis tools have been developed to extract functional and mechanistic insight from bulk transcriptome data. With the advent of single-cell RNA sequencing (scRNA-seq), it is in principle possible to do such an analysis for single cells. However, scRNA-seq data has characteristics such as drop-out events and low library sizes. It is thus not clear if functional TF and pathway analysis tools established for bulk sequencing can be applied to scRNA-seq in a meaningful way. RESULTS: To address this question, we perform benchmark studies on simulated and real scRNA-seq data. We include the bulk-RNA tools PROGENy, GO enrichment, and DoRothEA that estimate pathway and transcription factor (TF) activities, respectively, and compare them against the tools SCENIC/AUCell and metaVIPER, designed for scRNA-seq. For the in silico study, we simulate single cells from TF/pathway perturbation bulk RNA-seq experiments. We complement the simulated data with real scRNA-seq data upon CRISPR-mediated knock-out. Our benchmarks on simulated and real data reveal comparable performance to the original bulk data. Additionally, we show that the TF and pathway activities preserve cell type-specific variability by analyzing a mixture sample sequenced with 13 scRNA-seq protocols. We also provide the benchmark data for further use by the community. CONCLUSIONS: Our analyses suggest that bulk-based functional analysis tools that use manually curated footprint gene sets can be applied to scRNA-seq data, partially outperforming dedicated single-cell tools. Furthermore, we find that the performance of functional analysis tools is more sensitive to the gene sets than to the statistic used.","Holland, Christian H","Institute for Computational Biomedicine, Bioquant, Heidelberg University, Faculty of Medicine, and Heidelberg University Hospital, Heidelberg, Germany.",Genome Biol,2020 Feb 12
34465366,10.1186/s13059-021-02469-x,"Detecting multiplets in single nucleus (sn)ATAC-seq data is challenging due to data sparsity and limited dynamic range. AMULET (ATAC-seq MULtiplet Estimation Tool) enumerates regions with greater than two uniquely aligned reads across the genome to effectively detect multiplets. We evaluate the method by generating snATAC-seq data in the human blood and pancreatic islet samples. AMULET has high precision, estimated via donor-based multiplexing, and high recall, estimated via simulated multiplets, compared to alternatives and identifies multiplets most effectively when a certain read depth of 25K median valid reads per nucleus is achieved.","Detecting multiplets in single nucleus (sn)ATAC-seq data is challenging due to data sparsity and limited dynamic range. AMULET (ATAC-seq MULtiplet Estimation Tool) enumerates regions with greater than two uniquely aligned reads across the genome to effectively detect multiplets. We evaluate the method by generating snATAC-seq data in the human blood and pancreatic islet samples. AMULET has high precision, estimated via donor-based multiplexing, and high recall, estimated via simulated multiplets, compared to alternatives and identifies multiplets most effectively when a certain read depth of 25K median valid reads per nucleus is achieved.","Thibodeau, Asa","The Jackson Laboratory for Genomic Medicine, Farmington, CT, 06032, USA.",Genome Biol,2021 Sep 1
34411378,10.1111/aji.13495,"PROBLEM: Mucosal-Associated Invariant T (MAIT) cells have been recently identified at the maternal-fetal interface. However, transcriptional programming of decidual MAIT cells in pregnancy remains poorly understood. METHOD OF STUDY: We employed a multiomic approach to address this question. Mononuclear cells from the decidua basalis and parietalis, and control PBMCs, were analyzed via flow cytometry to investigate MAIT cells in the decidua and assess their transcription factor expression. In a separate study, both decidual and matched peripheral MAIT cells were analyzed using Cellular Indexing of Transcriptomes and Epitopes by Sequencing (CITE-seq) coupled with gene expression analysis. Lastly, decidual MAIT cells were stimulated with E.coli and expression of MR1 by antigen presenting cells was measured to evaluate decidual MAIT cell function. RESULTS: First, we identified MAIT cells in both the decidua basalis and parietalis. CITE-seq, coupled with scRNA-seq gene expression analysis, highlighted transcriptional programming differences between decidual and matched peripheral MAIT cells at a single cell resolution. Transcription factor expression analysis further highlighted transcriptional differences between decidual MAIT cells and non-matched peripheral MAIT cells. Functionally, MAIT cells are skewed towards IFNgamma and TNFalpha production upon stimulation, with E.coli leading to IFNgamma production. Lastly, we demonstrate that MR1, the antigen presenting molecule restricting MAIT cells, is expressed by decidual APCs. CONCLUSION: MAIT cells are present in the decidua basalis and obtain a unique gene expression profile. The presence of MR1 on APCs coupled with in vitro activation by E.coli suggests that MAIT cells might be involved in tissue-repair mechanisms at the maternal-fetal interface.","PROBLEM: Mucosal-Associated Invariant T (MAIT) cells have been recently identified at the maternal-fetal interface. However, transcriptional programming of decidual MAIT cells in pregnancy remains poorly understood. METHOD OF STUDY: We employed a multiomic approach to address this question. Mononuclear cells from the decidua basalis and parietalis, and control PBMCs, were analyzed via flow cytometry to investigate MAIT cells in the decidua and assess their transcription factor expression. In a separate study, both decidual and matched peripheral MAIT cells were analyzed using Cellular Indexing of Transcriptomes and Epitopes by Sequencing (CITE-seq) coupled with gene expression analysis. Lastly, decidual MAIT cells were stimulated with E.coli and expression of MR1 by antigen presenting cells was measured to evaluate decidual MAIT cell function. RESULTS: First, we identified MAIT cells in both the decidua basalis and parietalis. CITE-seq, coupled with scRNA-seq gene expression analysis, highlighted transcriptional programming differences between decidual and matched peripheral MAIT cells at a single cell resolution. Transcription factor expression analysis further highlighted transcriptional differences between decidual MAIT cells and non-matched peripheral MAIT cells. Functionally, MAIT cells are skewed towards IFNgamma and TNFalpha production upon stimulation, with E.coli leading to IFNgamma production. Lastly, we demonstrate that MR1, the antigen presenting molecule restricting MAIT cells, is expressed by decidual APCs. CONCLUSION: MAIT cells are present in the decidua basalis and obtain a unique gene expression profile. The presence of MR1 on APCs coupled with in vitro activation by E.coli suggests that MAIT cells might be involved in tissue-repair mechanisms at the maternal-fetal interface.","Vazquez, Jessica","Department of Obstetrics and Gynecology, University of Wisconsin-Madison, Madison, Wisconsin, USA.",Am J Reprod Immunol,2021 Dec
35979368,10.3389/fimmu.2022.920865,"OBJECTIVES: To investigate the differences between the vector vaccine ChAdOx1 nCoV-19/AZD1222 (Oxford-AstraZeneca) and mRNA-based vaccine mRNA-1273 (Moderna) in patients with autoimmune rheumatic diseases (AIRD), and to explore the cell-cell interactions between high and low anti-SARS-CoV-2 IgG levels in patients with rheumatic arthritis (RA) using single-cell RNA sequencing (scRNA-seq). METHODS: From September 16 to December 10, 2021, we consecutively enrolled 445 participants (389 patients with AIRD and 56 healthy controls), of whom 236 were immunized with AZD1222 and 209 with mRNA-1273. The serum IgG antibodies to the SARS-CoV-2 receptor-binding domain was quantified by electrochemiluminescence immunoassay at 4-6 weeks after vaccination. Moreover, peripheral blood mononuclear cells (PBMCs) were isolated from RA patients at 4-6 weeks after vaccination for scRNA-seq and further analyzed by CellChat. ScRNA-seq of PBMCs samples from GSE201534 in the Gene Expression Omnibus (GEO) database were also extracted for analysis. RESULTS: The anti-SARS-CoV-2 IgG seropositivity rate was 85.34% for AIRD patients and 98.20% for healthy controls. The anti-SARS-CoV-2 IgG level was higher in patients receiving mRNA-1273 than those receiving AZD1222 (beta: 35.25, 95% CI: 14.81-55.68, p=0.001). Prednisolone-equivalent dose &gt;5 mg/day and methotrexate use in AIRD patients, and non-anti-tumor necrosis factor-alpha biologics and Janus kinase inhibitor use in RA patients were associated with inferior immunogenicity. ScRNA-seq revealed CD16(-)monocytes were predominant in RA patients with high anti-SARS-CoV2-IgG antibodies, and enriched pathways related to antigen presentation via MHC class II were found. HLA-DRA and CD4 interaction was enhanced in high anti-SARS-CoV2-IgG group. CONCLUSIONS: mRNA-1273 and AZD1222 vaccines exhibited differential immunogenicity in AIRD patients. Enriched pathways related to antigen presentation via MHC class II in CD16(-)monocytes might be associated with higher anti-SARS-CoV2-IgG level in RA patients and further study is warranted.","OBJECTIVES: To investigate the differences between the vector vaccine ChAdOx1 nCoV-19/AZD1222 (Oxford-AstraZeneca) and mRNA-based vaccine mRNA-1273 (Moderna) in patients with autoimmune rheumatic diseases (AIRD), and to explore the cell-cell interactions between high and low anti-SARS-CoV-2 IgG levels in patients with rheumatic arthritis (RA) using single-cell RNA sequencing (scRNA-seq). METHODS: From September 16 to December 10, 2021, we consecutively enrolled 445 participants (389 patients with AIRD and 56 healthy controls), of whom 236 were immunized with AZD1222 and 209 with mRNA-1273. The serum IgG antibodies to the SARS-CoV-2 receptor-binding domain was quantified by electrochemiluminescence immunoassay at 4-6 weeks after vaccination. Moreover, peripheral blood mononuclear cells (PBMCs) were isolated from RA patients at 4-6 weeks after vaccination for scRNA-seq and further analyzed by CellChat. ScRNA-seq of PBMCs samples from GSE201534 in the Gene Expression Omnibus (GEO) database were also extracted for analysis. RESULTS: The anti-SARS-CoV-2 IgG seropositivity rate was 85.34% for AIRD patients and 98.20% for healthy controls. The anti-SARS-CoV-2 IgG level was higher in patients receiving mRNA-1273 than those receiving AZD1222 (beta: 35.25, 95% CI: 14.81-55.68, p=0.001). Prednisolone-equivalent dose &gt;5 mg/day and methotrexate use in AIRD patients, and non-anti-tumor necrosis factor-alpha biologics and Janus kinase inhibitor use in RA patients were associated with inferior immunogenicity. ScRNA-seq revealed CD16(-)monocytes were predominant in RA patients with high anti-SARS-CoV2-IgG antibodies, and enriched pathways related to antigen presentation via MHC class II were found. HLA-DRA and CD4 interaction was enhanced in high anti-SARS-CoV2-IgG group. CONCLUSIONS: mRNA-1273 and AZD1222 vaccines exhibited differential immunogenicity in AIRD patients. Enriched pathways related to antigen presentation via MHC class II in CD16(-)monocytes might be associated with higher anti-SARS-CoV2-IgG level in RA patients and further study is warranted.","Chen, Yen-Ju","Division of Allergy, Immunology, and Rheumatology, Department of Internal Medicine, Taichung Veterans General Hospital, Taichung, Taiwan.",Front Immunol,2022 Aug 1
