RON,S.ZORB.CAL_H2.PV,S.ZORB.PDI_2102.PV,S.ZORB.PT_2801.PV,S.ZORB.FC_2801.PV,S.ZORB.TE_2103.PV,S.ZORB.TE_2005.PV,S.ZORB.PT_2101.PV,S.ZORB.PDT_2104.PV,S.ZORB.SIS_PDT_2103B.PV,S.ZORB.TC_2101.PV,S.ZORB.TE_2301.PV,S.ZORB.PT_2301.PV,S.ZORB.PC_2105.PV,S.ZORB.PC_5101.PV,S.ZORB.TC_5005.PV,S.ZORB.LC_5001.PV,S.ZORB.LC_5101.PV,S.ZORB.TE_5102.PV,S.ZORB.TE_5202.PV,S.ZORB.FC_5202.PV,S.ZORB.AT_5201.PV,S.ZORB.PT_9301.PV,S.ZORB.FT_9301.PV,S.ZORB.FT_5101.PV,S.ZORB.TE_9001.PV,S.ZORB.PT_9001.PV,S.ZORB.FT_9001.PV,S.ZORB.FT_9403.PV,S.ZORB.PT_9403.PV,S.ZORB.TE_9301.PV,S.ZORB.FT_9201.PV,S.ZORB.FT_9202.PV,S.ZORB.FT_9302.PV,S.ZORB.FT_3301.PV,S.ZORB.FT_9402.PV,S.ZORB.PT_9402.PV,S.ZORB.FT_9401.PV,S.ZORB.PT_9401.PV,S.ZORB.PDC_2502.PV,S.ZORB.FC_2501.PV
88.9,0.2888,28.406,2.4944,648.6645,420.7584,418.0324,2.3532,108.7013,30.1241,240.4257,381.1669,2.3641,4.8989,0.652,127.4696,54.9999,50.0319,29.294,35.2843,106.5064,-0.1046,0.8865,1489.9372,632.5331,22.5191,0.4148,462.1299,482.0938,0.9948,198.6306,399.2801,393.1378,5052.5876,51.9937,203.1518,0.6205,104.0642,0.5138,17.1062,30.0438
88.9,0.289,28.3076,2.4951,650.0539,420.8079,418.0571,2.3541,108.8991,30.433,240.4544,381.589,2.3652,4.9408,0.6521,127.8682,54.9492,50.0705,31.9227,35.5993,105.8954,0.81,0.7866,2305.7632,771.1941,23.5668,0.4154,480.457,510.3672,0.995,184.9157,397.147,390.7303,6167.5641,26.0764,175.6502,0.6256,100.6043,0.5184,20.4771,29.9581
87.7,0.2887,27.7303,2.492,649.8609,420.8898,417.9419,2.3519,107.892,29.6733,239.8556,378.0601,2.3638,4.9809,0.6522,125.3812,54.9569,50.794,34.2631,34.9972,107.3517,1.0265,0.8019,2969.4384,1000.824,27.8984,0.4236,491.9229,581.589,0.9948,187.1825,417.8769,410.4157,4502.2784,11.3004,227.8217,0.6241,98.8708,0.5273,24.6466,40.049
85.4,0.289,27.6325,2.4909,651.94,423.4646,419.4771,2.3532,105.5915,29.5314,239.5974,382.0558,2.3646,4.9348,0.6518,128.889,55.0186,50.7229,34.2207,34.7634,105.0665,2.4991,0.7599,3068.7079,1048.4443,27.7315,0.4167,458.8652,491.0643,0.9944,199.8772,420.0646,412.6357,4514.6351,95.3401,260.423,0.6263,98.7427,0.5287,17.5534,40.0811
86.1,0.2889,27.1476,2.4858,649.9375,421.7744,418.4399,2.3551,99.3694,29.0765,239.9245,381.9885,2.3661,4.9734,0.6599,123.8879,55.0528,50.0937,32.6388,35.1311,107.4318,0.2037,0.8443,1914.8832,854.1842,25.5973,0.4882,454.9916,519.3539,0.9934,196.3017,424.0715,417.3174,4526.573,99.8502,275.889,0.618,107.6596,0.5296,12.7046,39.9202
86.7,0.2886,26.947,2.4876,650.8043,424.6109,420.3491,2.355,101.3524,28.8372,240.1177,385.5168,2.366,4.9442,0.66,124.5075,54.9483,49.9999,31.199,35.0154,107.0769,-0.1224,0.9207,1437.5144,769.4439,23.3719,0.4117,440.1785,523.8891,0.9957,199.3361,422.2704,414.6591,4581.6383,128.577,286.6553,0.62,103.5314,0.5393,4.751,39.9413
86.1,0.2881,26.6714,2.4859,648.5431,423.1878,419.4531,2.354,101.0261,28.582,240.0524,384.044,2.365,4.9736,0.66,123.7441,54.9735,49.9707,32.818,34.959,106.9019,-0.3156,0.8668,1785.1482,911.1237,24.0617,0.4155,451.7919,520.3065,0.9938,197.2444,422.4048,414.6394,4546.9627,140.2049,309.5247,0.6152,104.3729,0.522,10.5866,40.0132
86.49,0.2924,26.0051,2.5011,652.0062,423.7137,420.2352,2.3713,99.0746,28.3185,240.0003,370.7769,2.3815,4.9485,0.6601,124.041,55.0006,50.0344,30.1944,34.4814,106.8136,-0.3101,0.7041,1945.4543,785.3731,20.9901,0.4115,465.6533,538.8559,0.9929,193.0156,422.6477,415.2488,4540.0587,123.1419,237.2485,0.6212,103.2887,0.5332,20.7884,39.9848
87.09,0.2802,27.5109,2.5278,652.2489,423.5791,419.465,2.3975,98.6686,29.4399,239.9526,376.5921,2.409,4.9702,0.66,124.401,55.0549,50.0534,33.8743,35.8873,112.4636,-0.3202,0.7399,1682.8544,869.6207,25.5155,0.4154,479.154,524.6294,0.9938,196.294,424.6039,416.5155,4475.5709,174.3189,329.2847,0.6112,103.5305,0.523,10.0011,40.0218
87.59,0.2693,28.631,2.5719,649.6193,424.1063,419.5596,2.4423,98.0848,30.5421,239.6552,382.4377,2.4544,5.0605,0.6599,124.8796,54.9985,50.0438,33.2839,35.5574,118.5779,-0.3136,0.9355,1338.5642,873.3973,24.1749,0.4144,482.3903,530.8309,0.9939,199.4194,424.5219,417.1645,4549.1337,224.5639,364.4124,0.6102,100.2982,0.5219,15.0319,40.0375
86.59,0.2739,28.5826,2.5708,650.3796,423.5726,418.8578,2.44,98.1386,30.4078,239.78,382.8807,2.4524,5.0742,0.66,124.9698,55.0529,49.9891,33.6303,33.4084,118.6544,-0.3143,0.804,1723.8184,934.1116,25.9864,0.417,488.9949,507.1054,0.9985,204.8057,424.2113,415.9011,4500.7443,179.1805,264.6772,0.6211,102.0522,0.5257,19.1125,40.0788
87.19,0.278,30.0042,2.5748,649.393,420.743,416.6342,2.4471,95.8454,32.0237,239.5479,374.6345,2.4676,5.0648,0.6599,125.5952,54.9575,49.9471,32.3852,34.1246,121.7795,-0.2982,0.8301,1787.3994,922.1918,25.4142,0.4172,520.4135,505.118,0.9951,206.2919,423.8136,416.0399,4511.9544,103.9196,200.7191,0.6211,103.1444,0.5292,36.2642,40.1294
87.99,0.2788,32.2152,2.579,649.6058,423.7246,419.2891,2.4528,95.498,34.3179,240.1561,387.3844,2.464,5.0295,0.6599,127.2134,55.02,49.8267,34.005,36.7041,119.8853,-0.1815,0.9041,1175.8191,1066.9212,26.0722,0.412,472.7683,508.6103,0.9927,202.6092,428.7358,420.4269,4583.716,226.3907,382.8701,0.6092,101.1764,0.5143,12.1783,40.0025
87.59,0.2784,31.8233,2.578,650.7282,424.8688,420.1086,2.4519,95.7409,33.8982,240.5488,382.9351,2.4638,5.044,0.6601,126.8921,55.0044,50.0602,30.2905,32.7082,120.6016,-0.3077,0.8369,1798.8484,943.0344,21.6152,0.417,463.9634,507.4962,0.9938,212.4671,431.1769,422.567,4618.4673,220.3327,344.307,0.6073,101.9994,0.5113,18.7675,39.9415
87.89,0.2786,30.7277,2.5765,650.0732,425.8832,420.3669,2.4493,96.3538,32.9555,239.5703,387.5777,2.4614,5.0765,0.6602,125.8998,55.0404,50.067,32.1964,37.1212,120.745,-0.3007,0.866,1691.2024,1182.6107,23.43,0.4166,448.0759,501.1759,0.9951,188.7196,490.4369,480.8927,4596.4395,220.8044,331.3939,0.6105,101.6958,0.5107,15.1786,40.0098
87.69,0.2764,32.9681,2.5784,650.4197,424.4571,419.5148,2.452,95.3433,34.814,239.8489,384.9361,2.4631,4.98,0.6601,126.622,55.0601,49.9886,31.6842,37.0127,122.38,-0.282,0.8663,1451.9079,968.5629,22.2981,0.4168,465.3616,515.9517,0.9938,192.2757,490.5818,480.8049,4651.5628,235.4773,391.242,0.6092,100.9721,0.5119,27.7614,45.1573
87.29,0.2762,31.6978,2.5789,648.9069,423.6817,418.9358,2.4513,95.7483,33.5675,239.771,379.9415,2.4637,4.975,0.66,126.6139,55.0459,50.0454,32.7913,37.2343,121.9614,-0.301,0.8036,1561.7009,1002.8725,24.0292,0.4215,480.7801,519.0395,0.9947,179.3194,493.3509,483.5405,4564.5046,224.9505,360.4507,0.6063,107.6634,0.5151,30.8017,45.0237
87.89,0.2758,30.7684,2.5792,651.0819,423.6714,419.0045,2.451,96.1417,32.451,239.7158,384.151,2.4636,4.9559,0.6597,126.0949,55.0304,49.439,36.9693,35.8132,120.3052,-0.2555,0.8722,1615.1985,1359.5892,30.8217,0.4209,488.3751,514.5043,0.9951,183.6354,493.1984,482.1656,4533.7025,263.1827,478.526,0.6119,117.4766,0.5203,18.1492,44.9724
88.29,0.2762,27.2341,2.5795,649.0996,424.7334,419.0547,2.4502,97.7578,29.2897,240.3052,383.2741,2.4631,4.948,0.6601,126.8268,55.0103,50.1337,32.7057,37.0602,122.3501,0.3296,0.8144,1395.3827,973.7501,23.4414,0.4174,468.5853,513.6368,0.9938,228.6175,496.1967,485.7395,4598.0201,299.0277,434.8514,0.6037,108.224,0.5136,16.3842,44.8716
87.99,0.2744,31.5499,2.5824,648.3004,423.4821,418.8804,2.4554,95.7554,33.6699,240.1591,385.6219,2.4681,4.9362,0.66,126.6816,55.0412,50.0175,29.0664,37.6458,123.429,-0.2734,0.8001,1421.445,926.4363,20.0928,0.4248,466.7629,508.3974,0.9942,193.895,496.5326,486.5688,4615.0658,310.1451,432.8633,0.603,109.2532,0.5105,25.2716,44.7826
87.39,0.2765,30.5777,2.58,651.2096,422.7597,418.351,2.4517,96.4343,32.493,239.9992,384.7125,2.4638,5.0546,0.66,126.9113,54.9984,49.9424,35.0201,37.3719,123.0886,-0.2956,0.8769,1232.2202,1250.6692,27.5451,0.4208,490.3037,523.5835,0.9942,192.1121,493.9978,483.1826,4564.5035,310.4839,475.1726,0.6107,112.4885,0.5154,15.2351,44.9866
87.09,0.2741,27.2219,2.5612,649.6513,425.9233,420.3165,2.43,98.773,29.534,239.8849,384.5996,2.4428,4.9589,0.6601,126.5277,55.0492,50.0468,32.4386,35.8967,124.8777,-0.2728,0.8336,1554.9619,1092.0016,24.017,0.4264,472.7566,526.7618,0.994,188.4125,493.6799,483.2989,4562.2682,320.4786,450.7115,0.6099,109.7108,0.513,16.6479,44.8961
87.29,0.2734,26.8938,2.5626,649.903,425.1409,419.8894,2.4317,98.8992,29.0756,240.3541,386.2701,2.4451,4.9177,0.6598,126.2974,54.9752,49.9083,30.8281,35.0011,124.4658,-0.1921,0.9074,1440.2242,1064.6772,22.2747,0.4314,468.4855,516.0209,0.9957,197.2988,494.0249,484.3104,4611.0522,329.4508,472.0634,0.6134,111.7228,0.5126,14.2308,45.061
87.19,0.2734,26.9555,2.5651,648.4305,425.0085,419.8426,2.4331,99.464,29.0261,240.2656,387.6213,2.4464,4.9,0.6601,126.5908,55.0186,49.8982,32.321,35.1132,125.3819,-0.2015,0.8838,1358.4131,1170.4402,23.7467,0.4171,481.3623,521.3947,0.9933,195.9923,492.9824,483.1006,4570.5396,341.7013,471.3312,0.6106,113.2893,0.5119,14.9826,44.8525
87.59,0.2738,26.4619,2.563,648.3171,425.7238,420.4194,2.4312,99.8419,28.3848,239.5803,382.975,2.4446,4.9754,0.66,125.9392,55.0356,50.0984,32.0875,35.175,126.1386,0.016,0.854,1646.946,1220.7938,23.5241,0.4327,464.4407,521.5521,0.9943,192.9326,493.5273,483.8091,4596.747,339.7737,465.6229,0.6097,112.1849,0.5072,15.751,44.9276
86.09,0.2723,25.9703,2.5623,650.0295,426.1589,420.4908,2.4307,99.8665,28.1338,239.8121,379.8066,2.444,4.9905,0.66,126.8988,55.0039,49.9976,31.0456,34.9366,127.3864,0.1729,1.2796,1353.1861,943.4647,20.3402,0.4178,464.7978,519.6508,0.9939,189.3527,491.1263,481.3055,4574.5112,352.4637,450.8618,0.6116,115.732,0.5147,14.6095,44.8375
88.09,0.2727,26.3581,2.5624,651.2326,424.8555,419.849,2.4295,100.6702,28.3008,239.6255,384.9907,2.4431,4.9456,0.66,127.2841,54.9423,50.0425,33.702,36.2831,128.2735,0.2052,0.8774,1084.8625,1015.5025,23.7874,0.4129,474.0647,550.1196,0.9929,182.4582,491.0969,480.7521,4565.3272,388.7099,501.0795,0.6133,113.5213,0.5187,10.8925,44.9814
87.79,0.2842,26.8192,2.5638,649.1929,425.5259,420.4703,2.4323,98.3385,28.7508,240.4488,335.6784,2.4487,4.9552,0.6601,127.3513,54.9508,50.1083,31.7478,35.1889,129.4989,0.0528,0.8859,1051.6862,965.3377,22.1936,0.4163,464.7525,564.4131,0.993,191.8654,489.9533,480.1844,4570.1413,287.7922,459.2718,0.6132,117.4503,0.5192,29.7736,45.0858
88.26,0.2815,25.7806,2.6026,651.1156,428.615,421.8372,2.4708,99.2758,27.6973,240.117,388.2263,2.4843,4.9197,0.6599,122.0284,55.5872,48.2811,30.2614,34.766,126.72,-0.2834,0.7963,557.6241,1163.426,20.6146,0.4082,445.0578,571.3368,0.9937,178.9637,510.1024,499.6079,4541.7849,395.5857,516.3007,0.6072,114.8376,0.5084,14.0147,45.1589
88.26,0.2817,25.8546,2.6015,649.0643,425.9529,420.2539,2.4703,98.2631,27.6696,239.9024,381.745,2.4834,4.9926,0.6599,122.3722,55.6073,45.8378,30.9952,35.4174,128.7605,-0.1789,0.8318,468.6082,1135.1003,21.6122,0.4095,464.9284,591.1565,0.9925,179.6558,489.4003,479.5535,4593.5807,332.8246,489.6857,0.6152,118.3494,0.5151,14.94,45.1528
87.66,0.2936,26.542,2.6011,648.3041,427.7962,421.7911,2.4704,97.9559,27.9046,240.1034,379.5974,2.4834,4.9346,0.66,127.8824,55.0448,57.421,29.8459,34.5275,130.4805,-0.2884,0.8102,1051.1817,1051.7201,24.7698,0.41,455.1097,578.4467,0.9938,192.9075,494.1567,483.2307,4491.5879,328.676,496.2385,0.5964,114.8297,0.5026,15.5624,45.1405
88.58,0.2851,26.3144,2.5411,648.7336,424.4984,419.3199,2.4123,96.1577,28.1061,240.0403,382.6756,2.4253,4.9378,0.6518,125.2367,46.0849,49.9411,32.5073,34.9203,135.2826,4.8359,0.8445,851.7678,877.3909,24.0874,0.4041,470.1341,518.3192,0.9934,183.6474,485.9584,476.0103,4557.078,312.249,493.3314,0.6013,118.0397,0.5068,17.0681,45.0991
88.06,0.2924,25.1899,2.5391,649.2709,431.1952,424.3779,2.4121,93.9537,27.5411,240.3696,326.1363,2.4279,4.9854,0.6521,118.9947,46.0013,48.631,22.9455,33.2625,130.5979,-0.2733,0.8101,878.3593,970.3805,12.9721,0.4034,443.0404,524.5949,0.9939,192.0912,488.9052,479.6065,4584.6563,546.4938,617.3841,0.6076,116.1377,0.5072,31.5143,44.7335
88.1,0.2852,24.7106,2.5401,650.5785,426.634,420.9196,2.4105,96.94,26.9317,240.0378,375.2066,2.4232,4.9888,0.652,117.4953,46.0231,50.0074,27.8338,34.8072,135.71,-0.1916,0.8416,678.0919,602.3281,18.3271,0.4206,434.137,525.3038,0.9944,187.9251,500.6887,491.0889,4584.8229,298.8117,404.6645,0.6122,120.636,0.5149,22.5761,45.072
88.5,0.281,25.3329,2.5358,651.27,424.1333,419.8735,2.4084,94.6226,26.9712,240.1717,373.2388,2.4207,4.9266,0.6521,123.5958,54.9593,50.0195,29.6204,34.9073,135.3007,4.8358,0.8322,917.6547,711.6584,21.7517,0.4205,473.1749,503.3155,0.9942,182.5949,497.4127,486.6664,4587.1487,203.3384,423.6312,0.5985,109.5382,0.5023,18.7672,45.1065
88.3,0.2801,27.4926,2.5309,651.7649,422.9105,419.2652,2.4093,90.3981,29.2922,239.9991,374.5803,2.4205,4.9812,0.652,123.013,53.8948,50.063,30.2465,35.4742,135.077,3.4595,0.8111,1014.4283,713.18,20.9682,0.4218,486.2552,501.3608,0.9962,199.2893,494.5678,485.0667,4478.2035,176.5024,315.7937,0.6153,111.392,0.5194,28.3717,44.9961
88.3,0.2875,26.0534,2.534,651.8215,428.8828,422.9198,2.4101,90.3458,27.5739,240.064,326.8122,2.4265,4.9939,0.652,119.7987,55.0063,49.934,30.9793,34.5891,135.9959,-0.1739,0.8373,503.6892,724.7799,24.7607,0.4143,442.6232,520.3414,0.9956,195.0073,491.9302,481.3467,4577.6246,514.9606,688.7119,0.611,116.5623,0.5221,31.522,45.0782
88.8,0.2853,24.916,2.5365,650.2426,423.2242,419.4106,2.4117,91.1588,26.6245,239.8356,317.8125,2.4261,4.9727,0.6519,119.8462,55.0081,49.8591,30.7553,36.773,136.4058,8.7417,0.8231,653.4311,644.3644,23.4478,0.4127,495.6463,511.0476,0.9932,193.7645,487.7607,477.5795,4517.8741,491.8663,699.0581,0.6077,110.9862,0.5109,29.4649,44.9767
89.1,0.2823,25.0791,2.5357,649.7777,421.583,418.2156,2.4095,93.9209,26.5447,239.9502,370.4444,2.4213,4.9695,0.6521,118.5026,55.0086,50.0335,29.6001,34.9648,136.1799,3.8789,0.8577,284.8948,532.7799,22.2965,0.4084,499.4288,520.3258,0.9952,215.8354,481.7706,472.0306,4561.4338,263.2389,445.5747,0.6123,112.7606,0.5125,9.3527,44.9274
88.6,0.2822,24.5903,2.5384,648.1439,420.5761,417.6359,2.415,91.91,26.2283,240.0057,371.4014,2.4258,4.912,0.6519,118.6617,54.9849,49.9437,25.2865,34.9012,135.6263,1.2453,0.8476,408.3109,431.64,15.6425,0.4039,498.2932,529.8442,0.9936,213.948,479.3869,470.1528,4566.2136,214.151,367.8787,0.6118,118.3209,0.5104,11.1562,44.7943
88.42,0.2711,24.4798,2.54,650.2045,422.1723,419.0029,2.4147,92.2351,26.6362,240.0358,375.1672,2.4258,4.9322,0.652,117.4872,54.9643,49.9953,26.5683,34.7304,136.1779,1.2466,0.8373,502.3512,445.7189,15.7722,0.4095,489.9913,520.2954,0.9952,217.426,480.7219,471.7085,4584.4762,152.5133,310.1464,0.612,117.7177,0.5156,11.1597,44.7846
88.7,0.2708,25.582,2.5328,649.0071,422.4994,419.2753,2.4131,88.6515,26.9829,240.1878,376.1774,2.4241,4.9917,0.6521,119.4129,55.0138,50.0692,27.683,34.1564,135.0679,-0.2395,0.8362,693.4433,589.8618,19.6713,0.4111,503.1902,562.1715,0.9937,194.2055,419.9532,411.6188,4498.1421,175.7922,344.4588,0.6114,115.33,0.5138,9.5155,42.8397
89,0.2665,25.5138,2.5403,649.379,421.8203,418.4504,2.4206,88.3611,26.9569,239.9707,375.0484,2.4317,4.9642,0.652,118.6655,55.0191,49.9675,27.0909,33.6995,135.2763,-0.2648,0.838,507.0177,508.2456,18.8147,0.4083,485.2248,531.9169,0.9946,219.8768,426.4459,418.1235,4530.3699,187.2091,347.0562,0.6082,119.2063,0.5149,8.706,42.9986
88.9,0.2661,25.9466,2.5415,650.4225,421.7167,418.2315,2.4199,89.1117,27.1617,239.7925,378.9498,2.4314,4.9343,0.652,122.1561,55.0072,50.0447,33.7618,37.5488,136.1129,-0.1884,0.8364,132.6507,571.8775,26.5544,0.4226,479.698,531.4707,0.9949,213.1529,423.2304,414.0252,4514.4223,206.2007,361.8447,0.6117,109.9266,0.5177,9.2371,43.1555
88.6,0.2664,25.1236,2.5414,652.4576,423.0145,418.8877,2.4203,89.1506,26.7966,239.9831,372.7297,2.4319,4.9965,0.6519,119.749,55.0272,50.0434,26.6007,37.2687,136.2795,-0.2486,0.8292,348.3118,448.0092,17.7174,0.4122,477.9553,535.609,0.993,203.5035,424.0181,416.3875,4501.9924,207.7254,289.0825,0.607,115.3372,0.5127,9.1301,42.9332
88.2,0.2655,25.6027,2.5441,649.8398,422.4274,418.5352,2.4227,89.4925,26.9686,240.0973,366.768,2.4347,4.9983,0.6518,122.1864,55.0021,50.0618,33.9681,36.207,135.4514,-0.271,0.8272,457.235,742.3875,26.148,0.4118,492.7423,578.5781,0.9931,198.6117,422.7791,414.5333,4493.0313,183.8985,336.8335,0.6062,108.1864,0.5095,12.6181,42.9793
88.3,0.2661,26.2678,2.5457,651.1029,420.8568,417.6515,2.4235,90.1093,27.4035,239.9907,366.7075,2.4351,4.9265,0.652,119.989,54.979,50.0154,32.4093,36.5488,136.4978,0.0746,0.8144,290.5217,600.147,26.0868,0.4112,492.3488,532.3763,0.9946,186.8901,414.4223,406.257,4473.9639,236.24,377.5706,0.604,106.848,0.5089,13.2531,43.013
87.45,0.2799,23.4807,2.5315,648.5407,423.2923,420.4539,2.4064,90.9993,24.4814,239.8555,327.7186,2.4186,4.9966,0.6519,119.2001,55.03,49.9391,29.82,35.9915,137.7347,-0.0902,0.7985,517.7895,452.9703,22.1235,0.4081,444.6295,540.4673,0.9944,193.469,416.0389,407.1638,4488.9479,279.902,379.253,0.6058,109.9623,0.5108,18.86,43.1285
87.65,0.2888,21.3502,2.5015,653.2246,424.5229,422.0891,2.3761,91.2092,22.5171,239.9843,320.6925,2.387,4.9943,0.652,126.4123,55.0212,50.0239,31.9751,34.5701,127.2315,0.0257,0.8123,620.7044,477.0532,23.016,0.4132,412.7557,538.1766,0.9943,194.5063,415.0851,406.2453,4480.1739,266.4779,363.4806,0.6086,115.3632,0.5099,15.8299,43.0659
88.02,0.2879,21.6225,2.5028,647.8291,425.2688,422.6686,2.3769,91.397,22.5406,240.0137,326.2418,2.3881,4.9737,0.6521,124.013,54.9859,50.013,33.478,35.6727,124.6616,0.0707,0.8367,507.6029,549.0304,26.1196,0.4141,409.2323,560.0719,0.9937,207.4932,414.1534,405.1036,4482.6138,321.5843,425.9231,0.6057,113.746,0.5065,17.1168,42.9627
88.02,0.306,21.3704,2.5043,648.0362,425.1186,422.3147,2.3783,91.9427,22.3954,240.0113,308.6226,2.3891,5.0009,0.652,128.9427,55.0159,50.0155,33.7978,34.7867,125.3537,1.2216,0.8279,851.1044,586.7748,24.7235,0.4116,419.9561,557.8202,0.9944,211.6751,416.1795,407.0773,4453.9094,247.2657,407.3498,0.5969,108.3659,0.4972,16.1294,43.0268
87.22,0.3061,21.5592,2.5037,650.2122,423.9956,421.9001,2.3774,91.5763,22.5045,240.0514,316.7591,2.3883,4.953,0.6521,128.9149,54.9555,49.9849,34.1698,35.9412,124.1869,1.3136,0.8444,862.4216,678.9923,26.9639,0.4073,427.1672,574.0023,0.9945,231.0963,424.3341,415.7665,4469.7913,239.7969,426.035,0.5857,108.3118,0.4903,16.1727,43.1786
